Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
47,361.99,361.13,361.58,362.1,361.58,363.62,361.12,362.11,357.91,331.28,228.93,309.835301131332,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,360.943392508683,0.1575,19400,3,0.76
48,361.97,361.16,361.59,362.06,361.57,363.6,361.22,362.05,357.93,331.39,229.34,309.865594098586,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,360.976389070203,0.1575,19400,3,0.76
49,361.95,361.21,361.61,362.03,361.57,363.56,361.35,362.02,357.94,331.51,229.62,309.895884636885,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,361.009383266994,0.1575,19400,3,0.76
50,361.95,361.23,361.61,361.99,361.56,363.54,361.44,362.04,357.93,331.63,229.94,309.926172746114,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,361.042375098878,0.1575,19400,3,0.76
51,361.95,361.24,361.62,361.97,361.56,363.53,361.49,362.14,357.92,331.77,230.32,309.956458426158,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,361.075364565676,0.1575,19400,3,0.76
52,361.95,361.24,361.62,361.96,361.54,363.52,361.48,362.18,357.94,331.9,230.56,309.986741676899,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,361.108351667208,0.1575,19400,3,0.76
53,361.96,361.22,361.63,361.95,361.54,363.51,361.48,362.21,357.97,332.05,230.92,310.017022498225,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,361.141336403296,0.1575,19400,3,0.76
54,361.98,361.22,361.62,361.95,361.53,363.5,361.5,362.2,358.01,332.21,231.1,310.047300890018,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,361.174318773761,0.1575,19400,3,0.76
55,362.03,361.19,361.62,361.94,361.55,363.5,361.55,362.12,358.06,332.5,231.33,310.077576852164,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,361.207298778423,0.1575,19400,3,0.76
56,362.07,361.16,361.63,361.96,361.54,363.5,361.61,362.03,358.08,332.78,231.7,310.107850384546,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,361.240276417106,0.1575,19400,3,0.76
57,362.09,361.13,361.63,361.98,361.55,363.51,361.64,362.03,358.15,332.95,232.04,310.138121487049,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,361.273251689629,0.1575,19400,3,0.76
