Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
457,364.31,362.33,364.72,365.19,364.63,366.55,365.96,366.29,366.91,356.18,262.61,335.069639991193,354.758661741405,354.758661741405,354.758661741405,354.758661741405,354.758661741405,354.758661741405,354.758661741405,354.758661741405,354.758661741405,396.701166539696,0.1575,25900,3,0.76
458,364.39,362.32,364.74,365.19,364.65,366.56,365.97,366.23,366.94,356.24,262.67,335.111349253105,354.804422862718,354.804422862718,354.804422862718,354.804422862718,354.804422862718,354.804422862718,354.804422862718,354.804422862718,354.804422862718,396.746927661008,0.1575,25900,3,0.76
459,364.39,362.28,364.73,365.2,364.69,366.55,366.03,366.19,366.99,356.32,262.55,335.153054638299,354.850180286488,354.850180286488,354.850180286488,354.850180286488,354.850180286488,354.850180286488,354.850180286488,354.850180286488,354.850180286488,396.792685084778,0.1575,25900,3,0.76
460,364.33,362.25,364.72,365.21,364.71,366.55,366.08,366.15,367.03,356.39,262.58,335.194756146501,354.895934012297,354.895934012297,354.895934012297,354.895934012297,354.895934012297,354.895934012297,354.895934012297,354.895934012297,354.895934012297,396.838438810588,0.1575,25900,3,0.76
461,364.26,362.22,364.72,365.21,364.72,366.54,366.13,366.12,367.09,356.44,262.79,335.236453777437,354.941684039729,354.941684039729,354.941684039729,354.941684039729,354.941684039729,354.941684039729,354.941684039729,354.941684039729,354.941684039729,396.884188838019,0.1575,25900,3,0.76
462,364.2,362.19,364.7,365.21,364.72,366.53,366.17,366.14,367.14,356.5,262.17,335.278147530834,354.987430368367,354.987430368367,354.987430368367,354.987430368367,354.987430368367,354.987430368367,354.987430368367,354.987430368367,354.987430368367,396.929935166658,0.1575,25900,3,0.76
463,364.14,362.14,364.69,365.21,364.7,366.53,366.19,366.21,367.19,356.53,261.94,335.31983740642,355.033172997795,355.033172997795,355.033172997795,355.033172997795,355.033172997795,355.033172997795,355.033172997795,355.033172997795,355.033172997795,396.975677796085,0.1575,25900,3,0.76
464,364.1,362.09,364.65,365.26,364.7,366.52,366.25,366.34,367.25,356.58,261.71,335.361523403921,355.078911927595,355.078911927595,355.078911927595,355.078911927595,355.078911927595,355.078911927595,355.078911927595,355.078911927595,355.078911927595,397.021416725886,0.1575,25900,3,0.76
465,364.09,362.06,364.63,365.29,364.69,366.51,366.26,366.46,367.3,356.62,261.54,335.403205523064,355.124647157353,355.124647157353,355.124647157353,355.124647157353,355.124647157353,355.124647157353,355.124647157353,355.124647157353,355.124647157353,397.067151955643,0.1575,25900,3,0.76
466,364.11,362.03,364.61,365.31,364.69,366.52,366.27,366.56,367.34,356.63,261.38,335.444883763577,355.170378686649,355.170378686649,355.170378686649,355.170378686649,355.170378686649,355.170378686649,355.170378686649,355.170378686649,355.170378686649,397.11288348494,0.1575,25900,3,0.76
467,364.11,362.01,364.6,365.34,364.71,366.52,366.26,366.63,367.38,356.65,261.18,335.486558125187,355.216106515071,355.216106515071,355.216106515071,355.216106515071,355.216106515071,355.216106515071,355.216106515071,355.216106515071,355.216106515071,397.158611313361,0.1575,25900,3,0.76
468,364.11,362.0,364.58,365.35,364.7,366.52,366.25,366.65,367.42,356.67,261.05,335.528228607622,355.261830642201,355.261830642201,355.261830642201,355.261830642201,355.261830642201,355.261830642201,355.261830642201,355.261830642201,355.261830642201,397.204335440491,0.1575,25900,3,0.76
469,364.13,362.01,364.57,365.34,364.7,366.54,366.25,366.69,367.47,356.69,260.89,335.569895210608,355.307551067623,355.307551067623,355.307551067623,355.307551067623,355.307551067623,355.307551067623,355.307551067623,355.307551067623,355.307551067623,397.250055865913,0.1575,25900,3,0.76
470,364.13,362.03,364.55,365.32,364.72,366.57,366.26,366.75,367.52,356.73,260.93,335.611557933875,355.353267790921,355.353267790921,355.353267790921,355.353267790921,355.353267790921,355.353267790921,355.353267790921,355.353267790921,355.353267790921,397.295772589212,0.1575,25900,3,0.76
471,364.15,362.04,364.53,365.32,364.72,366.61,366.25,366.81,367.55,356.76,260.76,335.653216777149,355.398980811681,355.398980811681,355.398980811681,355.398980811681,355.398980811681,355.398980811681,355.398980811681,355.398980811681,355.398980811681,397.341485609972,0.1575,25900,3,0.76
472,364.17,362.07,364.52,365.35,364.72,366.65,366.26,366.87,367.58,356.81,260.7,335.694871740161,355.444690129487,355.444690129487,355.444690129487,355.444690129487,355.444690129487,355.444690129487,355.444690129487,355.444690129487,355.444690129487,397.387194927777,0.1575,25900,3,0.76
473,364.2,362.09,364.51,365.36,364.7,366.68,366.3,366.93,367.64,356.88,260.48,335.736522822635,355.490395743922,355.490395743922,355.490395743922,355.490395743922,355.490395743922,355.490395743922,355.490395743922,355.490395743922,355.490395743922,397.432900542213,0.1575,25900,3,0.76
474,364.25,362.1,364.51,365.38,364.67,366.7,366.33,366.99,367.68,356.97,260.4,335.778170024303,355.536097654573,355.536097654573,355.536097654573,355.536097654573,355.536097654573,355.536097654573,355.536097654573,355.536097654573,355.536097654573,397.478602452864,0.1575,25900,3,0.76
475,364.29,362.1,364.5,365.39,364.67,366.74,366.38,367.03,367.71,357.05,260.38,335.819813344892,355.581795861024,355.581795861024,355.581795861024,355.581795861024,355.581795861024,355.581795861024,355.581795861024,355.581795861024,355.581795861024,397.524300659314,0.1575,25900,3,0.76
