Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
287,375.66,375.4,353.02,357.004172391469,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,413.096028575933,0.0375,25900,25,0.98
288,375.66,375.4,353.06,357.150389474751,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,413.260699235909,0.0375,25900,25,0.98
289,375.67,375.42,353.11,357.296529613747,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,413.425291799699,0.0375,25900,25,0.98
290,375.68,375.48,353.17,357.442592806966,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,413.589806254093,0.0375,25900,25,0.98
291,375.7,375.54,353.25,357.588579052975,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,384.159820309896,413.754242585943,0.0375,25900,25,0.98
292,375.76,375.57,353.28,357.73448835039,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,413.918600782159,0.0375,25900,25,0.98
293,375.83,375.61,353.29,357.880320697884,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,414.082880829717,0.0375,25900,25,0.98
294,375.87,375.65,353.33,358.026076094185,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,414.24708271565,0.0375,25900,25,0.98
295,375.89,375.67,353.37,358.171754538073,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,414.411206427057,0.0375,25900,25,0.98
296,375.91,375.69,353.41,358.317356028382,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,414.575251951094,0.0375,25900,25,0.98
297,375.92,375.73,353.46,358.462880564001,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,414.739219274981,0.0375,25900,25,0.98
298,375.96,375.8,353.52,358.608328143872,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,414.903108385999,0.0375,25900,25,0.98
299,375.99,375.83,353.55,358.753698766993,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,415.06691927149,0.0375,25900,25,0.98
300,376.04,375.85,353.6,358.898992432413,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,415.230651918858,0.0375,25900,25,0.98
301,376.08,375.89,353.67,359.044209139236,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,415.394306315568,0.0375,25900,25,0.98
302,376.11,375.94,353.76,359.189348886621,385.963460173099,385.963460173099,385.963460173099,385.963460173099,385.963460173099,385.963460173099,385.963460173099,385.963460173099,385.963460173099,415.557882449146,0.0375,25900,25,0.98
303,376.15,375.97,353.82,359.334411673779,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,415.721380307181,0.0375,25900,25,0.98
304,376.19,375.99,353.86,359.479397499976,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,415.884799877323,0.0375,25900,25,0.98
305,376.22,376.05,353.91,359.624306364532,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,416.048141147281,0.0375,25900,25,0.98
306,376.24,376.11,353.94,359.76913826682,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,416.211404104828,0.0375,25900,25,0.98
307,376.26,376.14,353.97,359.913893206266,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,416.374588737797,0.0375,25900,25,0.98
308,376.29,376.18,353.99,360.058571182351,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,416.537695034086,0.0375,25900,25,0.98
309,376.36,376.22,354.01,360.20317219461,387.106300705601,387.106300705601,387.106300705601,387.106300705601,387.106300705601,387.106300705601,387.106300705601,387.106300705601,387.106300705601,416.700722981648,0.0375,25900,25,0.98
310,376.44,376.24,354.06,360.347696242631,387.269250292455,387.269250292455,387.269250292455,387.269250292455,387.269250292455,387.269250292455,387.269250292455,387.269250292455,387.269250292455,416.863672568502,0.0375,25900,25,0.98
311,376.46,376.28,354.1,360.492143326056,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,417.026543782729,0.0375,25900,25,0.98
312,376.48,376.31,354.12,360.63651344458,387.594914336422,387.594914336422,387.594914336421,387.594914336422,387.594914336422,387.594914336421,387.594914336421,387.594914336421,387.594914336421,417.189336612468,0.0375,25900,25,0.98
313,376.49,376.33,354.14,360.780806597952,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,417.352051045923,0.0375,25900,25,0.98
314,376.51,376.38,354.21,360.925022785974,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,417.514687071356,0.0375,25900,25,0.98
315,376.53,376.39,354.26,361.069162008504,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,417.677244677093,0.0375,25900,25,0.98
316,376.56,376.4,354.26,361.213224265449,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,417.83972385152,0.0375,25900,25,0.98
317,376.59,376.44,354.28,361.357209556774,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,418.002124583085,0.0375,25900,25,0.98
318,376.64,376.52,354.34,361.501117882495,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,418.164446860298,0.0375,25900,25,0.98
319,376.68,376.58,354.42,361.644949242682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,418.326690671729,0.0375,25900,25,0.98
320,376.71,376.63,354.48,361.78870363746,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,418.48885600601,0.0375,25900,25,0.98
321,376.74,376.67,354.55,361.932381067005,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,418.650942851835,0.0375,25900,25,0.98
322,376.78,376.7,354.61,362.075981531547,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,418.812951197959,0.0375,25900,25,0.98
323,376.84,376.76,354.68,362.21950503137,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,418.974881033198,0.0375,25900,25,0.98
324,376.9,376.79,354.73,362.362951566812,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,419.13673234643,0.0375,25900,25,0.98
325,376.96,376.82,354.79,362.506321138262,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,419.298505126593,0.0375,25900,25,0.98
326,376.99,376.84,354.86,362.649613746166,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,419.46019936269,0.0375,25900,25,0.98
327,377.02,376.91,354.92,362.792829391019,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,419.62181504378,0.0375,25900,25,0.98
328,377.07,376.96,354.99,362.935968073373,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,419.783352158988,0.0375,25900,25,0.98
329,377.1,376.99,355.05,363.079029793831,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,419.944810697498,0.0375,25900,25,0.98
330,377.13,377.04,355.1,363.222014553048,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,420.106190648556,0.0375,25900,25,0.98
331,377.16,377.08,355.12,363.364922351736,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,420.26749200147,0.0375,25900,25,0.98
332,377.19,377.09,355.15,363.507753190659,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,420.428714745608,0.0375,25900,25,0.98
333,377.22,377.12,355.22,363.65050707063,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,420.5898588704,0.0375,25900,25,0.98
334,377.27,377.15,355.29,363.793183992522,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,420.750924365337,0.0375,25900,25,0.98
335,377.29,377.2,355.35,363.935783957254,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,420.911911219973,0.0375,25900,25,0.98
336,377.33,377.25,355.46,364.078306965804,391.478397147875,391.478397147875,391.478397147875,391.478397147875,391.478397147875,391.478397147875,391.478397147875,391.478397147875,391.478397147875,421.072819423922,0.0375,25900,25,0.98
337,377.39,377.31,355.56,364.220753019199,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,421.233648966858,0.0375,25900,25,0.98
338,377.42,377.35,355.57,364.363122118523,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,421.394399838519,0.0375,25900,25,0.98
339,377.47,377.4,355.57,364.505414264907,391.960649752655,391.960649752655,391.960649752655,391.960649752655,391.960649752655,391.960649752655,391.960649752655,391.960649752655,391.960649752655,421.555072028702,0.0375,25900,25,0.98
340,377.51,377.43,355.56,364.647629459541,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,421.715665527267,0.0375,25900,25,0.98
341,377.54,377.45,355.57,364.789767703665,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,421.876180324135,0.0375,25900,25,0.98
342,377.57,377.48,355.61,364.931828998571,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,422.036616409287,0.0375,25900,25,0.98
343,377.59,377.5,355.63,365.073813345607,392.602551496721,392.602551496721,392.602551496721,392.602551496721,392.602551496721,392.602551496721,392.602551496721,392.602551496721,392.602551496721,422.196973772768,0.0375,25900,25,0.98
344,377.67,377.57,355.7,365.215720746171,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,422.35725240468,0.0375,25900,25,0.98
345,377.73,377.61,355.76,365.357551201714,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,422.517452295191,0.0375,25900,25,0.98
