Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
349,367.69,367.77,369.71,371.59,365.14,366.027628760528,393.680998201634,393.682216731775,393.683435261916,393.684653792057,393.651660074236,393.621259104667,393.621259104667,393.621259104667,393.621259104667,405.997781301284,0.084,25900,25,0.98
350,367.69,367.82,369.75,371.62,365.2,366.085685327674,393.746640019968,393.747917122484,393.749194225,393.750471327515,393.717997929013,393.687742758625,393.687742758625,393.687742758625,393.687742758625,406.064264955242,0.084,25900,25,0.98
351,367.7,367.86,369.79,371.64,365.24,366.143717335368,393.812256564718,393.813593592835,393.814930620952,393.816267649069,393.784311689447,393.754202256676,393.754202256676,393.754202256676,393.754202256676,406.130724453293,0.084,25900,25,0.98
352,367.71,367.87,369.82,371.66,365.26,366.201724793476,393.877847844264,393.879246149712,393.880644455161,393.88204276061,393.850601348987,393.820637623297,393.820637623297,393.820637623297,393.820637623297,406.197159819914,0.084,25900,25,0.98
353,367.72,367.86,369.83,371.68,365.29,366.259707711876,393.943413866991,393.944874799992,393.946335732994,393.947796665996,393.91686696987,393.887048882898,393.887048882898,393.887048882898,393.887048882898,406.263571079515,0.084,25900,25,0.98
354,367.74,367.83,369.84,371.7,365.29,366.31766610045,394.008954641297,394.010479550576,394.012004459856,394.013529369135,393.983108535136,393.95343605992,393.95343605992,393.95343605992,393.95343605992,406.329958256537,0.084,25900,25,0.98
355,367.76,367.83,369.84,371.73,365.31,366.375077172346,394.07499380106,394.077950158724,394.080906516387,394.08386287405,394.054818145681,394.02523966822,394.02523966822,394.02523966822,394.02523966822,406.401761864837,0.084,25900,25,0.98
356,367.79,367.84,369.85,371.76,365.33,366.432039490745,394.141434116624,394.14693363144,394.152433146257,394.157932661073,394.130973310474,394.101446980864,394.101446980864,394.101446980864,394.101446980864,406.477969177481,0.084,25900,25,0.98
357,367.82,367.86,369.88,371.78,365.36,366.488977451034,394.20785096285,394.215896886918,394.223942810987,394.231988735055,394.207119533088,394.177645344002,394.177645344002,394.177645344002,394.177645344002,406.554167540619,0.084,25900,25,0.98
358,367.87,367.92,369.9,371.8,365.41,366.545891063551,394.274244347573,394.2848399301,394.295435512628,394.306031095155,394.283256816453,394.25383476042,394.25383476042,394.25383476042,394.25383476042,406.630356957037,0.084,25900,25,0.98
359,367.9,367.98,369.95,371.81,365.45,366.602780338632,394.340614278625,394.353762765931,394.366911253236,394.380059740542,394.359385166085,394.330015232899,394.330015232899,394.330015232899,394.330015232899,406.706537429516,0.084,25900,25,0.98
360,367.9,368.0,369.98,371.84,365.48,366.665625655672,394.400927642258,394.40095259541,394.400977548561,394.401002501713,394.372331337535,394.343603567868,394.343603567868,394.343603567868,394.343603567868,406.720125764485,0.084,25900,25,0.98
361,367.91,368.02,370.01,371.86,365.51,366.723435539966,394.46626539046,394.466299466046,394.466333541631,394.466367617217,394.438139165819,394.409559069147,394.409559069147,394.409559069147,394.409559069147,406.786081265764,0.084,25900,25,0.98
362,367.92,368.02,370.03,371.89,365.54,366.781220854195,394.531577883039,394.531622493093,394.531667103147,394.531711713201,394.503923033661,394.475490559521,394.475490559521,394.475490559521,394.475490559521,406.852012756138,0.084,25900,25,0.98
363,367.94,368.02,370.05,371.9,365.56,366.838981608498,394.596865128545,394.596921683423,394.596978238301,394.597034793179,394.569682968781,394.541398064144,394.541398064144,394.541398064144,394.541398064144,406.917920260761,0.084,25900,25,0.98
364,367.97,368.03,370.08,371.93,365.6,366.89671781302,394.662127135537,394.662197043917,394.662266952297,394.662336860677,394.635418994864,394.607281608154,394.607281608154,394.607281608154,394.607281608154,406.983803804771,0.084,25900,25,0.98
365,368.0,368.04,370.11,371.94,365.6,366.954429477918,394.727363912581,394.727448581457,394.727533250333,394.727617919209,394.701131138109,394.673141216646,394.673141216646,394.673141216646,394.673141216646,407.049663413263,0.084,25900,25,0.98
366,368.02,368.07,370.14,371.97,365.62,367.012116613352,394.792575468251,394.792676302934,394.792777137618,394.792877972301,394.766819422058,394.738976914697,394.738976914697,394.738976914697,394.738976914697,407.115499111314,0.084,25900,25,0.98
367,368.0,368.08,370.18,372.0,365.6,367.069779229493,394.857761811133,394.85788021525,394.857998619367,394.858117023485,394.832483875021,394.804788727362,394.804788727362,394.804788727362,394.804788727362,407.181310923979,0.084,25900,25,0.98
368,368.0,368.1,370.21,372.02,365.6,367.127417336517,394.922922949817,394.923060325309,394.9231977008,394.923335076292,394.898124515897,394.870576679668,394.870576679668,394.870576679668,394.870576679668,407.247098876285,0.084,25900,25,0.98
369,368.01,368.1,370.22,372.05,365.58,367.18503094461,394.988058892907,394.988216640028,394.988374387148,394.988532134269,394.96374138051,394.936340796626,394.936340796626,394.936340796626,394.936340796626,407.312862993243,0.084,25900,25,0.98
370,368.02,368.1,370.22,372.07,365.56,367.242620063964,395.05316964901,395.053349166324,395.053528683638,395.053708200952,395.029334476868,395.002081103206,395.002081103206,395.002081103206,395.002081103206,407.378603299823,0.084,25900,25,0.98
371,368.04,368.1,370.22,372.1,365.55,367.300184704779,395.118255226743,395.118457911121,395.118660595499,395.118863279876,395.094903855368,395.067797624348,395.067797624348,395.067797624348,395.067797624348,407.444319820965,0.084,25900,25,0.98
372,368.05,368.11,370.21,372.12,365.55,367.357724877262,395.183315634734,395.183542881355,395.183770127976,395.183997374598,395.160449505265,395.133490384985,395.133490384985,395.133490384985,395.133490384985,407.510012581602,0.084,25900,25,0.98
373,368.06,368.11,370.23,372.13,365.57,367.41524059163,395.248350881614,395.248604083962,395.248857286311,395.24911048866,395.225971499987,395.199159410003,395.199159410003,395.199159410003,395.199159410003,407.57568160662,0.084,25900,25,0.98
374,368.08,368.11,370.23,372.17,365.6,367.472731858101,395.313360976029,395.313641525898,395.313922075767,395.314202625636,395.291469801335,395.264804724297,395.264804724297,395.264804724297,395.264804724297,407.641326920914,0.084,25900,25,0.98
375,368.1,368.11,370.26,372.19,365.64,367.530198686908,395.378345926625,395.378655214104,395.378964501583,395.379273789063,395.356944498766,395.330426352686,395.330426352686,395.330426352686,395.330426352686,407.706948549303,0.084,25900,25,0.98
376,368.14,368.11,370.28,372.21,365.67,367.587641088285,395.443305742064,395.443645155547,395.443984569029,395.444323982512,395.422395565269,395.396024319998,395.396024319998,395.396024319998,395.396024319998,407.772546516615,0.084,25900,25,0.98
377,368.17,368.11,370.3,372.24,365.71,367.645059072476,395.508240431013,395.508611357196,395.50898228338,395.509353209564,395.487823062122,395.461598651045,395.461598651045,395.461598651045,395.461598651045,407.838120847662,0.084,25900,25,0.98
378,368.2,368.09,370.33,372.25,365.75,367.702452649732,395.573150002144,395.57355382602,395.573957649896,395.574361473772,395.553226997334,395.527149370573,395.527149370573,395.527149370573,395.527149370573,407.90367156719,0.084,25900,25,0.98
379,368.23,368.1,370.35,372.27,365.77,367.759821830309,395.638034464144,395.638472569008,395.638910673871,395.639348778734,395.618607390051,395.592676503352,395.592676503352,395.592676503352,395.592676503352,407.969198699969,0.084,25900,25,0.98
380,368.25,368.1,370.37,372.28,365.79,367.817166624475,395.702893825698,395.703367593128,395.703841360558,395.704315127988,395.683964297825,395.658180074049,395.658180074049,395.658180074049,395.658180074049,408.034702270666,0.084,25900,25,0.98
381,368.27,368.13,370.38,372.3,365.78,367.874487042501,395.767728095509,395.768238905387,395.768749715266,395.769260525144,395.749297682594,395.723660107386,395.723660107386,395.723660107386,395.723660107386,408.100182304003,0.084,25900,25,0.98
382,368.3,368.13,370.4,372.32,365.76,367.931783094661,395.832537282283,395.833086512788,395.833635743292,395.834184973797,395.814607646871,395.789116628036,395.789116628036,395.789116628036,395.789116628036,408.165638824653,0.084,25900,25,0.98
383,368.34,368.13,370.43,372.34,365.73,367.989054791246,395.897321394733,395.897910422327,395.898499449921,395.899088477515,395.879894140074,395.854549660611,395.854549660611,395.854549660611,395.854549660611,408.231071857228,0.084,25900,25,0.98
384,368.39,368.14,370.43,372.36,365.71,368.046302142544,395.962080441582,395.962710641023,395.963340840465,395.963971039906,395.945157241191,395.919959229737,395.919959229737,395.919959229737,395.919959229737,408.296481426354,0.084,25900,25,0.98
385,368.41,368.17,370.45,372.37,365.7,368.103525158855,396.026814431561,396.027487175897,396.028159920234,396.028832664571,396.010396962953,395.985345360003,395.985345360003,395.985345360003,395.985345360003,408.36186755662,0.084,25900,25,0.98
