Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
104,362.48,363.2,364.01,364.5,355.84,325.230994342308,347.918588733275,347.919120770635,347.919652807996,347.892889519518,346.595430877049,346.480375057107,346.480375057107,346.480375057107,346.480375057107,358.856897253724,0.084,25900,25,0.98
105,362.51,363.23,364.04,364.57,355.88,325.305060113265,348.001066303057,348.001578647699,348.002090992341,347.975850003351,346.681267490595,346.566321359583,346.566321359583,346.566321359583,346.566321359583,358.9428435562,0.084,25900,25,0.98
106,362.51,363.25,364.05,364.63,355.92,325.379097971864,348.083515104206,348.084008048854,348.084500993502,348.058781589178,346.767075727332,346.652239596209,346.652239596209,346.652239596209,346.652239596209,359.028761792826,0.084,25900,25,0.98
107,362.48,363.26,364.08,364.68,356.02,325.453107925672,348.165935147041,348.166408989359,348.166882831676,348.141684293363,346.852857493582,346.738129734959,346.738129734959,346.738129734959,346.738129734959,359.114651931576,0.084,25900,25,0.98
108,362.45,363.27,364.1,364.74,356.12,325.527089982192,348.248326441821,348.248781484426,348.249236527031,348.224558132347,346.938611457536,346.82399174421,346.82399174421,346.82399174421,346.82399174421,359.200513940827,0.084,25900,25,0.98
109,362.43,363.3,364.13,364.78,356.2,325.601044148891,348.330688998742,348.331125549176,348.33156209961,348.307386188607,347.024336949383,346.909825592676,346.909825592676,346.909825592676,346.909825592676,359.286347789293,0.084,25900,25,0.98
110,362.43,363.3,364.16,364.83,356.26,325.674970433179,348.41302282794,348.413441198669,348.413859569398,348.390184059506,347.110033939691,346.995631249454,346.995631249454,346.995631249454,346.995631249454,359.372153446071,0.084,25900,25,0.98
111,362.44,363.34,364.19,364.88,356.33,325.748868842422,348.495327939491,348.495728447893,348.496128956294,348.472953151714,347.195702399375,347.081408683996,347.081408683996,347.081408683996,347.081408683996,359.457930880613,0.084,25900,25,0.98
112,362.47,363.36,364.22,364.93,356.38,325.82273938394,348.577604343407,348.577987311751,348.578370280094,348.555693481964,347.281342299689,347.1671578661,347.1671578661,347.1671578661,347.1671578661,359.543680062717,0.084,25900,25,0.98
113,362.51,363.37,364.25,364.98,356.41,325.896582065003,348.659852049645,348.660217805088,348.660583560531,348.638397681154,347.36695361225,347.252878765936,347.252878765936,347.252878765936,347.252878765936,359.629400962553,0.084,25900,25,0.98
