Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
111,365.64,369.89,372.28,373.5,373.2,375.67,373.93,375.23,374.1,339.71,0,,,,,,,,,,,0,,,,,,,,,,
112,365.61,369.86,372.26,373.5,373.2,375.68,373.91,375.26,374.16,339.86,0,,,,,,,,,,,0,,,,,,,,,,
113,365.59,369.84,372.25,373.49,373.2,375.68,373.91,375.28,374.13,339.91,0,,,,,,,,,,,0,,,,,,,,,,
114,365.56,369.81,372.25,373.49,373.2,375.71,373.91,375.36,374.07,339.96,0,,,,,,,,,,,0,,,,,,,,,,
115,365.53,369.77,372.23,373.49,373.19,375.71,373.93,375.46,373.99,339.98,0,,,,,,,,,,,0,,,,,,,,,,
116,365.48,369.73,372.21,373.48,373.19,375.72,373.95,375.51,374.03,339.98,0,,,,,,,,,,,0,,,,,,,,,,
117,365.47,369.7,372.21,373.48,373.18,375.73,373.96,375.54,374.09,339.95,0,,,,,,,,,,,0,,,,,,,,,,
118,365.43,369.69,372.2,373.48,373.19,375.74,373.97,375.56,374.12,339.92,0,,,,,,,,,,,0,,,,,,,,,,
119,365.4,369.67,372.18,373.47,373.18,375.74,374,375.58,374.15,339.9,0,,,,,,,,,,,0,,,,,,,,,,
120,365.37,369.64,372.17,373.47,373.18,375.75,374.01,375.61,374.15,339.94,0,,,,,,,,,,,0,,,,,,,,,,
121,365.35,369.62,372.16,373.46,373.19,375.76,374.04,375.64,374.12,339.98,0,,,,,,,,,,,0,,,,,,,,,,
122,365.3,369.6,372.14,373.46,373.18,375.77,374.04,375.66,374.06,339.99,0,,,,,,,,,,,0,,,,,,,,,,
123,365.27,369.58,372.14,373.45,373.18,375.77,374.06,375.67,373.98,339.98,0,,,,,,,,,,,0,,,,,,,,,,
124,365.24,369.56,372.13,373.45,373.18,375.78,374.09,375.67,373.85,339.91,0,,,,,,,,,,,0,,,,,,,,,,
125,365.19,369.53,372.11,373.45,373.18,375.79,374.12,375.67,373.72,339.8,0,,,,,,,,,,,0,,,,,,,,,,
126,365.16,369.5,372.09,373.45,373.17,375.8,374.13,375.68,373.62,339.76,0,,,,,,,,,,,0,,,,,,,,,,
127,365.13,369.47,372.08,373.44,373.17,375.8,374.15,375.7,373.6,339.77,0,,,,,,,,,,,0,,,,,,,,,,
128,365.11,369.45,372.07,373.45,373.18,375.82,374.17,375.78,373.65,339.76,0,,,,,,,,,,,0,,,,,,,,,,
129,365.08,369.42,372.06,373.45,373.17,375.81,374.19,375.87,373.85,339.77,0,,,,,,,,,,,0,,,,,,,,,,
130,365.06,369.4,372.05,373.44,373.18,375.82,374.21,375.92,374.04,339.8,0,,,,,,,,,,,0,,,,,,,,,,
131,365.04,369.38,372.04,373.43,373.18,375.82,374.24,375.89,374.19,339.81,0,,,,,,,,,,,0,,,,,,,,,,
132,365.02,369.36,372.04,373.43,373.18,375.83,374.26,375.84,374.38,339.78,0,,,,,,,,,,,0,,,,,,,,,,
133,364.99,369.33,372.03,373.42,373.18,375.83,374.28,375.84,374.57,339.78,0,,,,,,,,,,,0,,,,,,,,,,
134,364.95,369.29,372.01,373.43,373.16,375.83,374.29,375.83,374.57,339.78,0,,,,,,,,,,,0,,,,,,,,,,
135,364.93,369.26,372,373.42,373.18,375.84,374.3,375.81,374.55,339.78,0,,,,,,,,,,,0,,,,,,,,,,
136,364.91,369.25,372,373.43,373.18,375.85,374.31,375.83,374.52,339.81,0,,,,,,,,,,,0,,,,,,,,,,
137,364.88,369.23,371.98,373.42,373.17,375.85,374.31,375.84,374.5,339.88,0,,,,,,,,,,,0,,,,,,,,,,
138,364.87,369.21,371.97,373.42,373.18,375.85,374.33,375.85,374.44,339.91,0,,,,,,,,,,,0,,,,,,,,,,
139,364.84,369.19,371.96,373.42,373.18,375.85,374.34,375.87,374.33,339.94,0,,,,,,,,,,,0,,,,,,,,,,
140,364.81,369.17,371.95,373.41,373.17,375.86,374.36,375.88,374.23,339.99,0,,,,,,,,,,,0,,,,,,,,,,
141,364.78,369.13,371.94,373.41,373.17,375.87,374.37,375.9,374.2,340.04,0,,,,,,,,,,,0,,,,,,,,,,
142,364.76,369.12,371.93,373.41,373.18,375.88,374.39,375.92,374.26,340.05,0,,,,,,,,,,,0,,,,,,,,,,
143,364.72,369.08,371.91,373.41,373.18,375.89,374.41,375.93,374.35,339.96,0,,,,,,,,,,,0,,,,,,,,,,
144,364.7,369.06,371.9,373.4,373.18,375.9,374.43,375.97,374.33,339.91,0,,,,,,,,,,,0,,,,,,,,,,
145,364.68,369.04,371.89,373.4,373.19,375.91,374.44,375.97,374.3,339.85,0,,,,,,,,,,,0,,,,,,,,,,
