Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
1115,357.41,357,358.7,358.86,358.42,360.34,358.27,358.63,355.27,332.49,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.376818836556,341.951716945544,341.951716945544,341.951716945544,341.951716945544,341.951716945544,341.951716945544,341.951716945544,341.951716945544,341.951716945544,378.109245730433
1116,357.41,357.01,358.68,358.85,358.41,360.32,358.28,358.66,355.36,332.48,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.409864178711,341.987850173695,341.987850173695,341.987850173695,341.987850173695,341.987850173695,341.987850173695,341.987850173695,341.987850173695,341.987850173695,378.145378958583
1117,357.4,357.01,358.68,358.82,358.39,360.3,358.29,358.66,355.45,332.49,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.442906680508,342.02398063823,342.02398063823,342.02398063823,342.02398063823,342.02398063823,342.02398063823,342.02398063823,342.02398063823,342.02398063823,378.181509423118
1118,357.37,356.98,358.65,358.8,358.38,360.28,358.31,358.66,355.52,332.48,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.475946341807,342.060108338927,342.060108338927,342.060108338927,342.060108338927,342.060108338927,342.060108338927,342.060108338927,342.060108338927,342.060108338927,378.217637123815
1119,357.36,356.99,358.63,358.78,358.36,360.27,358.31,358.6,355.56,332.46,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.50898316247,342.096233275565,342.096233275565,342.096233275565,342.096233275565,342.096233275565,342.096233275565,342.096233275565,342.096233275565,342.096233275565,378.253762060453
1120,357.35,356.98,358.61,358.77,358.35,360.27,358.29,358.6,355.58,332.42,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.542017142356,342.132355447922,342.132355447922,342.132355447922,342.132355447922,342.132355447922,342.132355447922,342.132355447922,342.132355447922,342.132355447922,378.289884232811
1121,357.34,356.96,358.6,358.75,358.34,360.26,358.3,358.64,355.58,332.4,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.575048281327,342.168474855777,342.168474855777,342.168474855777,342.168474855777,342.168474855777,342.168474855777,342.168474855777,342.168474855777,342.168474855777,378.326003640666
1122,357.33,356.96,358.59,358.73,358.33,360.24,358.3,358.66,355.57,332.37,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.608076579244,342.204591498909,342.204591498909,342.204591498909,342.204591498909,342.204591498909,342.204591498909,342.204591498909,342.204591498909,342.204591498909,378.362120283797
1123,357.31,356.95,358.56,358.71,358.31,360.24,358.29,358.68,355.52,332.28,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.641102035967,342.240705377095,342.240705377095,342.240705377095,342.240705377095,342.240705377095,342.240705377095,342.240705377095,342.240705377095,342.240705377095,378.398234161983
1124,357.27,356.93,358.55,358.69,358.28,360.24,358.28,358.7,355.4,332.19,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.674124651357,342.276816490115,342.276816490115,342.276816490115,342.276816490115,342.276816490115,342.276816490115,342.276816490115,342.276816490115,342.276816490115,378.434345275003
1125,357.26,356.92,358.52,358.67,358.26,360.23,358.27,358.71,355.28,332.12,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.707144425277,342.312924837747,342.312924837747,342.312924837747,342.312924837747,342.312924837747,342.312924837747,342.312924837747,342.312924837747,342.312924837747,378.470453622635
1126,357.25,356.92,358.52,358.66,358.26,360.22,358.25,358.71,355.18,332.07,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.740161357586,342.34903041977,342.34903041977,342.34903041977,342.34903041977,342.34903041977,342.34903041977,342.34903041977,342.34903041977,342.34903041977,378.506559204659
1127,357.22,356.9,358.5,358.65,358.24,360.2,358.23,358.72,355.12,332.02,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.773175448145,342.385133235964,342.385133235964,342.385133235964,342.385133235964,342.385133235964,342.385133235964,342.385133235964,342.385133235964,342.385133235964,378.542662020853
1128,357.21,356.89,358.49,358.63,358.24,360.19,358.22,358.72,355.09,331.97,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.806186696818,342.421233286107,342.421233286107,342.421233286107,342.421233286107,342.421233286107,342.421233286107,342.421233286107,342.421233286107,342.421233286107,378.578762070995
1129,357.2,356.89,358.47,358.61,358.23,360.18,358.19,358.71,355.08,331.93,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.839195103465,342.457330569979,342.457330569979,342.457330569979,342.457330569979,342.457330569979,342.457330569979,342.457330569979,342.457330569979,342.457330569979,378.614859354867
1130,357.19,356.88,358.46,358.6,358.22,360.18,358.18,358.71,355.09,331.89,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.872200667946,342.493425087357,342.493425087357,342.493425087357,342.493425087357,342.493425087357,342.493425087357,342.493425087357,342.493425087357,342.493425087357,378.650953872246
1131,357.16,356.86,358.45,358.58,358.2,360.16,358.17,358.71,355.09,331.83,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.905203390125,342.529516838023,342.529516838023,342.529516838023,342.529516838023,342.529516838023,342.529516838023,342.529516838023,342.529516838023,342.529516838023,378.687045622911
1132,357.15,356.86,358.41,358.58,358.18,360.14,358.16,358.71,355.08,331.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.938203269862,342.565605821755,342.565605821755,342.565605821755,342.565605821755,342.565605821755,342.565605821755,342.565605821755,342.565605821755,342.565605821755,378.723134606643
1133,357.11,356.84,358.39,358.57,358.17,360.14,358.15,358.71,355.06,331.66,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.97120030702,342.601692038333,342.601692038333,342.601692038333,342.601692038333,342.601692038333,342.601692038333,342.601692038333,342.601692038333,342.601692038333,378.759220823221
1134,357.1,356.82,358.36,358.55,358.16,360.14,358.13,358.7,355.04,331.6,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.00419450146,342.637775487535,342.637775487535,342.637775487535,342.637775487535,342.637775487535,342.637775487535,342.637775487535,342.637775487535,342.637775487535,378.795304272424
1135,357.08,356.81,358.34,358.54,358.16,360.12,358.14,358.68,355.03,331.55,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.037185853044,342.673856169143,342.673856169143,342.673856169143,342.673856169143,342.673856169143,342.673856169143,342.673856169143,342.673856169143,342.673856169143,378.831384954031
1136,357.06,356.8,358.32,358.53,358.14,360.09,358.13,358.65,355,331.46,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.070174361634,342.709934082934,342.709934082934,342.709934082934,342.709934082934,342.709934082934,342.709934082934,342.709934082934,342.709934082934,342.709934082934,378.867462867823
1137,357.04,356.8,358.31,358.52,358.13,360.09,358.12,358.63,355,331.39,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.103160027092,342.74600922869,342.74600922869,342.74600922869,342.74600922869,342.74600922869,342.74600922869,342.74600922869,342.74600922869,342.74600922869,378.903538013579
1138,357.04,356.79,358.3,358.5,358.12,360.06,358.12,358.59,355.02,331.36,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.136142849281,342.78208160619,342.78208160619,342.78208160619,342.78208160619,342.78208160619,342.78208160619,342.78208160619,342.78208160619,342.78208160619,378.939610391079
1139,357.01,356.78,358.27,358.48,358.11,360.03,358.11,358.58,355,331.31,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.169122828062,342.818151215214,342.818151215214,342.818151215214,342.818151215214,342.818151215214,342.818151215214,342.818151215214,342.818151215214,342.818151215214,378.975680000102
1140,356.99,356.77,358.24,358.46,358.09,360.01,358.09,358.56,354.99,331.27,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.202099963298,342.854218055541,342.854218055541,342.854218055541,342.854218055541,342.854218055541,342.854218055541,342.854218055541,342.854218055541,342.854218055541,379.01174684043
1141,356.97,356.75,358.21,358.44,358.06,359.99,358.05,358.54,354.96,331.21,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.235074254851,342.890282126953,342.890282126953,342.890282126953,342.890282126953,342.890282126953,342.890282126953,342.890282126953,342.890282126953,342.890282126953,379.047810911841
1142,356.95,356.74,358.19,358.43,358.02,359.98,358.02,358.55,354.95,331.14,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.268045702584,342.926343429228,342.926343429228,342.926343429228,342.926343429228,342.926343429228,342.926343429228,342.926343429228,342.926343429228,342.926343429228,379.083872214117
1143,356.92,356.74,358.18,358.42,358.02,359.96,358.02,358.55,354.94,331.06,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.30101430636,342.962401962148,342.962401962148,342.962401962148,342.962401962148,342.962401962148,342.962401962148,342.962401962148,342.962401962148,342.962401962148,379.119930747037
1144,356.91,356.72,358.15,358.4,358,359.94,357.99,358.54,354.91,330.99,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.33398006604,342.998457725493,342.998457725493,342.998457725493,342.998457725493,342.998457725493,342.998457725493,342.998457725493,342.998457725493,342.998457725493,379.155986510381
1145,356.9,356.71,358.14,358.39,357.97,359.92,357.98,358.5,354.86,330.9,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.366942981488,343.034510719042,343.034510719042,343.034510719042,343.034510719042,343.034510719042,343.034510719042,343.034510719042,343.034510719042,343.034510719042,379.192039503931
1146,356.88,356.69,358.11,358.37,357.95,359.9,357.96,358.47,354.78,330.81,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.399903052566,343.070560942577,343.070560942577,343.070560942577,343.070560942577,343.070560942577,343.070560942577,343.070560942577,343.070560942577,343.070560942577,379.228089727465
1147,356.86,356.69,358.1,358.35,357.93,359.87,357.94,358.46,354.69,330.7,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.432860279137,343.106608395878,343.106608395878,343.106608395878,343.106608395878,343.106608395878,343.106608395878,343.106608395878,343.106608395878,343.106608395878,379.264137180766
1148,356.84,356.68,358.07,358.33,357.92,359.82,357.9,358.45,354.57,330.6,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.465814661065,343.142653078725,343.142653078725,343.142653078725,343.142653078725,343.142653078725,343.142653078725,343.142653078725,343.142653078725,343.142653078725,379.300181863614
1149,356.84,356.66,358.06,358.31,357.92,359.8,357.86,358.46,354.43,330.5,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.498766198212,343.1786949909,343.1786949909,343.1786949909,343.1786949909,343.1786949909,343.1786949909,343.1786949909,343.1786949909,343.1786949909,379.336223775788
1150,356.81,356.65,358.03,358.29,357.89,359.78,357.82,358.46,354.23,330.34,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,324.531714890441,343.214734132183,343.214734132183,343.214734132183,343.214734132183,343.214734132183,343.214734132183,343.214734132183,343.214734132183,343.214734132183,379.372262917071
