Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
91,375.48,376.86,377.37,378.01,377.5,379.46,377.42,378.32,376.59,361.95,0,,,,,,,,,,,0,,,,,,,,,,
92,375.42,376.85,377.35,378,377.5,379.45,377.48,378.38,376.51,362.03,0,,,,,,,,,,,0,,,,,,,,,,
93,375.32,376.84,377.33,378,377.49,379.44,377.54,378.42,376.48,362.13,0,,,,,,,,,,,0,,,,,,,,,,
94,375.22,376.82,377.32,378,377.49,379.46,377.6,378.44,376.44,362.22,0,,,,,,,,,,,0,,,,,,,,,,
95,375.13,376.81,377.29,378,377.49,379.48,377.64,378.42,376.42,362.28,0,,,,,,,,,,,0,,,,,,,,,,
96,375.06,376.79,377.28,378,377.49,379.51,377.66,378.44,376.42,362.35,0,,,,,,,,,,,0,,,,,,,,,,
97,374.98,376.78,377.27,378,377.5,379.55,377.65,378.47,376.44,362.41,0,,,,,,,,,,,0,,,,,,,,,,
98,374.9,376.78,377.25,377.99,377.5,379.57,377.66,378.5,376.52,362.46,0,,,,,,,,,,,0,,,,,,,,,,
99,374.83,376.78,377.25,378,377.51,379.61,377.68,378.57,376.59,362.48,0,,,,,,,,,,,0,,,,,,,,,,
100,374.76,376.78,377.24,378,377.51,379.64,377.72,378.64,376.68,362.48,0,,,,,,,,,,,0,,,,,,,,,,
101,374.69,376.77,377.24,378,377.51,379.67,377.78,378.73,376.75,362.47,0,,,,,,,,,,,0,,,,,,,,,,
102,374.59,376.76,377.24,378,377.52,379.69,377.89,378.81,376.76,362.43,0,,,,,,,,,,,0,,,,,,,,,,
103,374.49,376.71,377.22,377.98,377.52,379.7,377.98,378.85,376.64,362.35,0,,,,,,,,,,,0,,,,,,,,,,
104,374.42,376.67,377.22,377.97,377.51,379.71,378.03,378.79,376.54,362.28,0,,,,,,,,,,,0,,,,,,,,,,
105,374.35,376.62,377.21,377.98,377.5,379.73,378.06,378.67,376.47,362.2,0,,,,,,,,,,,0,,,,,,,,,,
106,374.29,376.57,377.21,377.98,377.51,379.74,378.05,378.54,376.42,362.14,0,,,,,,,,,,,0,,,,,,,,,,
107,374.22,376.52,377.2,377.95,377.5,379.76,378.06,378.54,376.35,362.08,0,,,,,,,,,,,0,,,,,,,,,,
108,374.18,376.5,377.19,377.97,377.49,379.78,378.15,378.64,376.37,362.07,0,,,,,,,,,,,0,,,,,,,,,,
109,374.23,376.41,377.2,377.97,377.48,379.8,378.14,378.61,376.71,362.14,0,,,,,,,,,,,0,,,,,,,,,,
110,374.39,376.35,377.2,377.96,377.48,379.81,378.1,378.62,377.04,362.25,0,,,,,,,,,,,0,,,,,,,,,,
111,374.74,376.33,377.17,377.96,377.5,379.84,378.03,378.7,377.37,362.4,0,,,,,,,,,,,0,,,,,,,,,,
112,375.14,376.38,377.14,377.96,377.54,379.85,378.01,378.72,377.58,362.54,0,,,,,,,,,,,0,,,,,,,,,,
113,375.41,376.44,377.15,377.97,377.54,379.87,378,378.76,377.63,362.64,0,,,,,,,,,,,0,,,,,,,,,,
114,375.64,376.5,377.16,377.99,377.58,379.89,377.99,378.74,377.64,362.78,0,,,,,,,,,,,0,,,,,,,,,,
115,375.85,376.58,377.19,378.04,377.61,379.92,378,378.74,377.62,362.92,0,,,,,,,,,,,0,,,,,,,,,,
116,376.05,376.69,377.23,378.09,377.66,379.95,377.99,378.72,377.56,363.06,0,,,,,,,,,,,0,,,,,,,,,,
117,376.24,376.75,377.26,378.12,377.7,379.97,377.98,378.71,377.52,363.19,0,,,,,,,,,,,0,,,,,,,,,,
118,376.36,376.79,377.29,378.17,377.74,380,377.99,378.64,377.44,363.32,0,,,,,,,,,,,0,,,,,,,,,,
