Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
99,357.38,362.24,366.65,370.14,370.96,375.5,393.07,379.48,375.73,362.22,0,,,,,,,,,,,0,,,,,,,,,,
100,357.37,362.23,366.66,370.14,370.98,375.53,393.14,379.55,375.82,362.19,0,,,,,,,,,,,0,,,,,,,,,,
101,357.35,362.21,366.65,370.13,370.97,375.55,393.05,379.57,375.82,362.15,0,,,,,,,,,,,0,,,,,,,,,,
102,357.34,362.2,366.65,370.14,371,375.59,392.86,379.59,375.78,362.14,0,,,,,,,,,,,0,,,,,,,,,,
103,357.32,362.19,366.65,370.14,371,375.62,392.58,379.59,375.75,362.12,0,,,,,,,,,,,0,,,,,,,,,,
104,357.3,362.16,366.64,370.14,371,375.65,392.27,379.64,375.68,362.09,0,,,,,,,,,,,0,,,,,,,,,,
105,357.28,362.14,366.65,370.16,371.01,375.68,392.15,379.68,375.61,362.07,0,,,,,,,,,,,0,,,,,,,,,,
106,357.27,362.13,366.64,370.16,371.01,375.72,392.4,379.72,375.54,362.05,0,,,,,,,,,,,0,,,,,,,,,,
107,357.25,362.11,366.64,370.17,371.03,375.75,393.47,379.7,375.5,362.04,0,,,,,,,,,,,0,,,,,,,,,,
108,357.24,362.1,366.64,370.18,371.04,375.77,395.01,379.72,375.5,362.05,0,,,,,,,,,,,0,,,,,,,,,,
109,357.24,362.09,366.64,370.18,371.05,375.81,396.12,379.8,375.52,362.07,0,,,,,,,,,,,0,,,,,,,,,,
110,357.23,362.09,366.64,370.19,371.06,375.85,396.98,379.96,375.8,362.09,0,,,,,,,,,,,0,,,,,,,,,,
111,357.21,362.09,366.65,370.19,371.08,375.89,397.57,380.14,376.18,362.11,0,,,,,,,,,,,0,,,,,,,,,,
112,357.21,362.08,366.64,370.2,371.08,375.93,397.82,380.31,376.38,362.12,0,,,,,,,,,,,0,,,,,,,,,,
113,357.19,362.07,366.63,370.2,371.1,375.98,397.81,380.46,376.46,362.13,0,,,,,,,,,,,0,,,,,,,,,,
114,357.17,362.06,366.63,370.22,371.1,376.02,397.64,380.57,376.46,362.13,0,,,,,,,,,,,0,,,,,,,,,,
115,357.16,362.04,366.63,370.22,371.12,376.04,397.38,380.64,376.41,362.12,0,,,,,,,,,,,0,,,,,,,,,,
116,357.13,362.02,366.63,370.23,371.13,376.08,396.99,380.69,376.3,362.04,0,,,,,,,,,,,0,,,,,,,,,,
117,357.11,362.01,366.63,370.24,371.14,376.12,397.47,380.78,376.15,362.01,0,,,,,,,,,,,0,,,,,,,,,,
118,357.1,361.99,366.63,370.24,371.15,376.16,398.61,380.93,376.07,362.02,0,,,,,,,,,,,0,,,,,,,,,,
119,357.08,361.98,366.62,370.26,371.15,376.2,400.07,381.13,376.03,362.04,0,,,,,,,,,,,0,,,,,,,,,,
120,357.07,361.97,366.63,370.27,371.16,376.24,401.55,381.33,375.95,362.06,0,,,,,,,,,,,0,,,,,,,,,,
121,357.06,361.97,366.63,370.29,371.17,376.29,402.89,381.53,375.88,362.08,0,,,,,,,,,,,0,,,,,,,,,,
