Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
84,372.75,373.04,374.14,374.78,374.13,376.15,374.84,375.23,372.78,376.09,357.77,0,,,,,,,,,,,0,,,,,,,,,,
85,372.77,373.08,374.19,374.82,374.17,376.22,374.99,375.29,373.03,376.54,357.77,0,,,,,,,,,,,0,,,,,,,,,,
86,372.73,373.1,374.21,374.86,374.2,376.32,374.99,375.33,373.33,377.61,358,0,,,,,,,,,,,0,,,,,,,,,,
87,372.68,373.12,374.23,374.89,374.23,376.37,374.93,375.28,373.49,377.47,358.19,0,,,,,,,,,,,0,,,,,,,,,,
88,372.62,373.12,374.24,374.9,374.24,376.41,374.83,375.14,373.56,377.87,358.36,0,,,,,,,,,,,0,,,,,,,,,,
89,372.55,373.13,374.25,374.92,374.26,376.43,374.69,374.94,373.61,378.04,358.53,0,,,,,,,,,,,0,,,,,,,,,,
90,372.46,373.11,374.26,374.94,374.25,376.44,374.56,374.81,373.67,378.31,358.64,0,,,,,,,,,,,0,,,,,,,,,,
91,372.35,373.09,374.26,374.93,374.2,376.43,374.43,374.76,373.7,378.62,358.73,0,,,,,,,,,,,0,,,,,,,,,,
92,372.23,373.03,374.27,374.9,374.16,376.43,374.34,374.73,373.77,379.01,358.87,0,,,,,,,,,,,0,,,,,,,,,,
93,372.11,372.98,374.25,374.84,374.12,376.44,374.24,374.7,373.89,379.59,359,0,,,,,,,,,,,0,,,,,,,,,,
94,371.93,372.91,374.23,374.79,374.05,376.42,374.17,374.67,374.1,380.37,359.22,0,,,,,,,,,,,0,,,,,,,,,,
95,371.78,372.82,374.19,374.76,374,376.4,374.12,374.64,374.27,380.56,359.49,0,,,,,,,,,,,0,,,,,,,,,,
96,371.71,372.75,374.15,374.73,373.97,376.39,374.07,374.63,374.3,380.73,359.67,0,,,,,,,,,,,0,,,,,,,,,,
97,371.65,372.69,374.13,374.71,373.95,376.38,374,374.61,374.36,380.83,359.82,0,,,,,,,,,,,0,,,,,,,,,,
98,371.6,372.65,374.11,374.67,373.95,376.36,373.93,374.6,374.41,380.9,359.93,0,,,,,,,,,,,0,,,,,,,,,,
99,371.54,372.6,374.07,374.66,373.93,376.36,373.88,374.57,374.44,380.65,360,0,,,,,,,,,,,0,,,,,,,,,,
100,371.49,372.56,374.06,374.65,373.93,376.36,373.83,374.53,374.43,380.19,360.08,0,,,,,,,,,,,0,,,,,,,,,,
101,371.43,372.51,374.04,374.64,373.93,376.36,373.8,374.48,374.37,379.76,360.14,0,,,,,,,,,,,0,,,,,,,,,,
102,371.37,372.47,374.01,374.62,373.93,376.34,373.77,374.44,374.29,379.07,360.23,0,,,,,,,,,,,0,,,,,,,,,,
103,371.22,372.44,373.99,374.63,373.94,376.33,373.72,374.41,374.15,379.83,360.29,0,,,,,,,,,,,0,,,,,,,,,,
104,370.97,372.39,373.96,374.65,373.96,376.32,373.71,374.38,374.16,381.05,360.28,0,,,,,,,,,,,0,,,,,,,,,,
105,370.9,372.32,373.93,374.66,373.97,376.3,373.71,374.53,374.21,379.37,360.27,0,,,,,,,,,,,0,,,,,,,,,,
106,370.98,372.26,373.88,374.67,373.97,376.32,373.87,374.66,374.29,379.31,360.29,0,,,,,,,,,,,0,,,,,,,,,,
107,371.11,372.21,373.85,374.69,374,376.33,373.98,374.76,374.31,379.17,360.32,0,,,,,,,,,,,0,,,,,,,,,,
108,371.22,372.22,373.85,374.69,374.03,376.34,374.06,374.83,374.31,378.48,360.32,0,,,,,,,,,,,0,,,,,,,,,,
109,371.3,372.24,373.85,374.75,374.06,376.39,374.11,374.88,374.3,378.2,360.28,0,,,,,,,,,,,0,,,,,,,,,,
110,371.44,372.2,373.82,374.79,374.1,376.46,374.35,374.87,374.28,378.24,360.19,0,,,,,,,,,,,0,,,,,,,,,,
111,371.56,372.14,373.74,374.78,374.15,376.55,374.67,374.93,374.19,377.91,359.9,0,,,,,,,,,,,0,,,,,,,,,,
112,371.63,372.14,373.69,374.76,374.21,376.67,374.89,375.05,374.1,377.31,359.47,0,,,,,,,,,,,0,,,,,,,,,,
113,371.65,372.17,373.66,374.78,374.26,376.84,375.19,375.38,373.96,377.89,359.08,0,,,,,,,,,,,0,,,,,,,,,,
114,371.65,372.19,373.65,374.8,374.29,376.95,375.41,375.79,373.9,379.24,358.68,0,,,,,,,,,,,0,,,,,,,,,,
115,371.64,372.23,373.66,374.82,374.34,377.01,375.59,376.09,373.93,379.57,358.36,0,,,,,,,,,,,0,,,,,,,,,,
116,371.64,372.28,373.68,374.85,374.37,377.08,375.65,376.48,374,379.88,358.15,0,,,,,,,,,,,0,,,,,,,,,,
117,371.63,372.31,373.71,374.86,374.38,377.14,375.78,376.61,374.07,380.37,358.04,0,,,,,,,,,,,0,,,,,,,,,,
118,371.63,372.34,373.75,374.88,374.4,377.17,375.66,376.58,374.2,380.16,357.99,0,,,,,,,,,,,0,,,,,,,,,,
119,371.65,372.37,373.79,374.89,374.42,377.19,375.6,376.54,374.42,380.27,358.02,0,,,,,,,,,,,0,,,,,,,,,,
120,371.66,372.39,373.81,374.9,374.43,377.19,375.61,376.5,374.65,380.26,358.11,0,,,,,,,,,,,0,,,,,,,,,,
121,371.66,372.38,373.84,374.92,374.45,377.19,375.56,376.55,374.92,379.99,358.34,0,,,,,,,,,,,0,,,,,,,,,,
122,371.62,372.34,373.87,374.91,374.47,377.19,375.37,376.43,375.09,379.99,358.59,0,,,,,,,,,,,0,,,,,,,,,,
123,371.57,372.31,373.89,374.9,374.47,377.18,375.24,376.26,375.12,381.59,358.77,0,,,,,,,,,,,0,,,,,,,,,,
124,371.49,372.28,373.89,374.9,374.45,377.17,375.1,376.13,375.07,381.91,358.92,0,,,,,,,,,,,0,,,,,,,,,,
125,371.42,372.26,373.89,374.9,374.44,377.14,374.97,375.95,375,381.13,359.05,0,,,,,,,,,,,0,,,,,,,,,,
126,371.35,372.24,373.89,374.88,374.43,377.09,374.88,375.81,374.92,381.39,359.14,0,,,,,,,,,,,0,,,,,,,,,,
127,371.26,372.22,373.87,374.88,374.4,377.06,374.81,375.73,374.81,381.89,359.23,0,,,,,,,,,,,0,,,,,,,,,,
128,371.18,372.21,373.86,374.88,374.39,377.03,374.73,375.64,374.7,381.84,359.36,0,,,,,,,,,,,0,,,,,,,,,,
129,371.06,372.17,373.83,374.84,374.36,376.97,374.62,375.54,374.54,381.76,359.57,0,,,,,,,,,,,0,,,,,,,,,,
130,370.94,372.13,373.81,374.83,374.34,376.92,374.51,375.44,374.4,381.89,359.79,0,,,,,,,,,,,0,,,,,,,,,,
131,370.86,372.11,373.8,374.81,374.33,376.9,374.45,375.37,374.38,381.97,359.88,0,,,,,,,,,,,0,,,,,,,,,,
132,370.8,372.08,373.77,374.8,374.3,376.87,374.39,375.32,374.39,381.94,359.93,0,,,,,,,,,,,0,,,,,,,,,,
