Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
62,366.35,368.26,369.75,370.71,370.39,372.83,371.41,372.69,371.76,358.7,0,,,,,,,,,,,0,,,,,,,,,,
63,366.32,368.24,369.73,370.7,370.39,372.85,371.41,372.74,371.82,358.71,0,,,,,,,,,,,0,,,,,,,,,,
64,366.3,368.23,369.73,370.69,370.4,372.86,371.43,372.78,371.9,358.74,0,,,,,,,,,,,0,,,,,,,,,,
65,366.28,368.22,369.72,370.7,370.4,372.88,371.43,372.83,371.95,358.78,0,,,,,,,,,,,0,,,,,,,,,,
66,366.25,368.19,369.71,370.69,370.4,372.89,371.44,372.81,371.93,358.82,0,,,,,,,,,,,0,,,,,,,,,,
67,366.23,368.17,369.7,370.69,370.4,372.9,371.44,372.79,371.82,358.86,0,,,,,,,,,,,0,,,,,,,,,,
68,366.19,368.16,369.69,370.69,370.41,372.91,371.46,372.81,371.77,358.89,0,,,,,,,,,,,0,,,,,,,,,,
69,366.16,368.13,369.67,370.69,370.41,372.93,371.48,372.91,371.79,358.95,0,,,,,,,,,,,0,,,,,,,,,,
70,366.13,368.12,369.66,370.69,370.42,372.94,371.55,372.99,371.88,359.07,0,,,,,,,,,,,0,,,,,,,,,,
71,366.09,368.1,369.64,370.7,370.42,372.95,371.58,373.03,371.95,359.12,0,,,,,,,,,,,0,,,,,,,,,,
72,366.07,368.09,369.65,370.7,370.42,372.96,371.6,373.06,372.04,359.16,0,,,,,,,,,,,0,,,,,,,,,,
73,366.04,368.07,369.63,370.7,370.43,372.97,371.64,373.09,372.12,359.16,0,,,,,,,,,,,0,,,,,,,,,,
74,366.02,368.06,369.63,370.71,370.45,372.98,371.65,373.09,372.21,359.17,0,,,,,,,,,,,0,,,,,,,,,,
75,366,368.05,369.63,370.7,370.45,372.99,371.67,373.04,372.26,359.17,0,,,,,,,,,,,0,,,,,,,,,,
76,365.98,368.03,369.62,370.7,370.46,372.99,371.67,373.06,372.25,359.19,0,,,,,,,,,,,0,,,,,,,,,,
77,365.95,368.02,369.6,370.7,370.46,373.01,371.67,373.13,372.2,359.22,0,,,,,,,,,,,0,,,,,,,,,,
78,365.92,367.99,369.59,370.7,370.46,373.01,371.67,373.13,372.09,359.25,0,,,,,,,,,,,0,,,,,,,,,,
79,365.88,367.95,369.58,370.69,370.47,373.02,371.68,373.1,372.09,359.29,0,,,,,,,,,,,0,,,,,,,,,,
80,365.86,367.94,369.57,370.69,370.47,373.02,371.7,373.09,372.14,359.32,0,,,,,,,,,,,0,,,,,,,,,,
81,365.84,367.92,369.56,370.68,370.48,373.05,371.71,373.09,372.17,359.35,0,,,,,,,,,,,0,,,,,,,,,,
