Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
419,358.19,356.22,359.65,360.14,359.6,361.51,361.07,361.47,360.96,347.91,315.479260635273,337.074947727361,337.074947727361,337.074947727361,337.074947727361,337.074947727361,337.074947727361,337.074947727361,337.074947727361,337.074947727361,373.23247651225,0.1575,21250,3,0.98
420,358.14,356.24,359.6,360.15,359.61,361.44,361.07,361.52,361.03,347.88,315.509311028621,337.108306607895,337.108306607895,337.108306607895,337.108306607895,337.108306607895,337.108306607895,337.108306607895,337.108306607895,337.108306607895,373.265835392784,0.1575,21250,3,0.98
421,358.18,356.26,359.58,360.15,359.63,361.39,361.03,361.55,361.11,347.89,315.539358312909,337.141662374908,337.141662374908,337.141662374908,337.141662374908,337.141662374908,337.141662374908,337.141662374908,337.141662374908,337.141662374908,373.299191159796,0.1575,21250,3,0.98
422,358.25,356.31,359.54,360.15,359.65,361.37,360.86,361.56,361.19,347.84,315.569402488076,337.175015028245,337.175015028245,337.175015028245,337.175015028245,337.175015028245,337.175015028245,337.175015028245,337.175015028245,337.175015028245,373.332543813134,0.1575,21250,3,0.98
423,358.34,356.35,359.53,360.15,359.68,361.37,360.59,361.54,361.17,347.79,315.599443554063,337.208364567752,337.208364567752,337.208364567752,337.208364567752,337.208364567752,337.208364567752,337.208364567752,337.208364567752,337.208364567752,373.36589335264,0.1575,21250,3,0.98
424,358.42,356.36,359.51,360.16,359.69,361.38,360.42,361.51,361.11,347.74,315.629481510809,337.241710993273,337.241710993273,337.241710993273,337.241710993273,337.241710993273,337.241710993273,337.241710993273,337.241710993273,337.241710993273,373.399239778162,0.1575,21250,3,0.98
425,358.56,356.37,359.49,360.17,359.71,361.39,360.29,361.43,361.07,347.72,315.659516358254,337.275054304656,337.275054304656,337.275054304656,337.275054304656,337.275054304656,337.275054304656,337.275054304656,337.275054304656,337.275054304656,373.432583089544,0.1575,21250,3,0.98
426,358.68,356.38,359.48,360.2,359.74,361.4,360.23,361.36,361.05,347.73,315.689548096338,337.308394501745,337.308394501745,337.308394501745,337.308394501745,337.308394501745,337.308394501745,337.308394501745,337.308394501745,337.308394501745,373.465923286633,0.1575,21250,3,0.98
427,358.72,356.41,359.48,360.2,359.76,361.41,360.21,361.32,361.03,347.76,315.719576725,337.341731584386,337.341731584386,337.341731584386,337.341731584386,337.341731584386,337.341731584386,337.341731584386,337.341731584386,337.341731584386,373.499260369274,0.1575,21250,3,0.98
428,358.69,356.44,359.46,360.21,359.77,361.41,360.26,361.31,361.0,347.77,315.749602244182,337.375065552425,337.375065552425,337.375065552425,337.375065552425,337.375065552425,337.375065552425,337.375065552425,337.375065552425,337.375065552425,373.532594337313,0.1575,21250,3,0.98
429,358.65,356.42,359.45,360.2,359.78,361.4,360.36,361.32,360.99,347.82,315.779624653823,337.408396405708,337.408396405708,337.408396405708,337.408396405708,337.408396405708,337.408396405708,337.408396405708,337.408396405708,337.408396405708,373.565925190597,0.1575,21250,3,0.98
430,358.67,356.43,359.47,360.18,359.79,361.41,360.46,361.33,360.99,347.89,315.809643953864,337.441724144082,337.441724144082,337.441724144082,337.441724144082,337.441724144082,337.441724144082,337.441724144082,337.441724144082,337.441724144082,373.59925292897,0.1575,21250,3,0.98
431,358.72,356.46,359.51,360.15,359.79,361.41,360.56,361.35,361.03,347.94,315.839660144244,337.475048767392,337.475048767392,337.475048767392,337.475048767392,337.475048767392,337.475048767392,337.475048767392,337.475048767392,337.475048767392,373.63257755228,0.1575,21250,3,0.98
432,358.64,356.39,359.56,360.12,359.77,361.41,360.65,361.36,361.08,347.96,315.869673224906,337.508370275484,337.508370275484,337.508370275484,337.508370275484,337.508370275484,337.508370275484,337.508370275484,337.508370275484,337.508370275484,373.665899060373,0.1575,21250,3,0.98
433,358.55,356.36,359.61,360.09,359.77,361.42,360.7,361.35,361.12,347.96,315.899683195788,337.541688668206,337.541688668206,337.541688668206,337.541688668206,337.541688668206,337.541688668206,337.541688668206,337.541688668206,337.541688668206,373.699217453095,0.1575,21250,3,0.98
434,358.52,356.36,359.65,360.08,359.78,361.45,360.76,361.37,361.13,347.96,315.929690056833,337.575003945404,337.575003945404,337.575003945404,337.575003945404,337.575003945404,337.575003945404,337.575003945404,337.575003945404,337.575003945404,373.732532730293,0.1575,21250,3,0.98
435,358.52,356.36,359.67,360.07,359.77,361.47,360.79,361.39,361.13,347.94,315.95969380798,337.608316106924,337.608316106924,337.608316106924,337.608316106924,337.608316106924,337.608316106924,337.608316106924,337.608316106924,337.608316106924,373.765844891813,0.1575,21250,3,0.98
436,358.53,356.36,359.7,360.09,359.76,361.5,360.82,361.42,361.15,347.97,315.98969444917,337.641625152613,337.641625152613,337.641625152613,337.641625152613,337.641625152613,337.641625152613,337.641625152613,337.641625152613,337.641625152613,373.799153937502,0.1575,21250,3,0.98
