Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
415,348.1,350.7,358.0,375.66,384.83,284.13,211.5,408.741280940309,442.323279819115,417.937453795685,375.623063154135,342.167720952849,321.60770069796,310.575879580693,305.154449195322,302.822225936784,302.399110197191,302.60533795382,0.084,25900,90,0.98
416,348.08,350.69,358.03,375.7,384.87,284.14,211.34,408.843075828839,442.440263566825,418.06609916927,375.731052432318,342.241921238571,321.651559274948,310.599299824216,305.166549260638,302.829299548711,302.405295951147,302.611523707776,0.084,25900,90,0.98
417,348.05,350.68,358.04,375.75,384.9,284.22,211.41,408.944724267467,442.557085193572,418.194617073443,375.838986024237,342.316122907244,321.695441955697,310.622747857281,305.178665578824,302.836384382187,302.411491911888,302.617719668516,0.084,25900,90,0.98
418,348.04,350.67,358.05,375.78,384.92,284.35,211.55,409.046226536677,442.673744979212,418.323007629194,375.94686387321,342.390325841935,321.739348664262,310.646219339199,305.190798155776,302.843480449289,302.417698091919,302.623925848547,0.084,25900,90,0.98
419,348.02,350.66,358.06,375.82,384.94,284.48,211.76,409.147582906741,442.790243219136,418.451270965592,376.054685925976,342.464529926959,321.783279324952,310.669714249008,305.202946997335,302.850587762084,302.423914503743,302.630142260372,0.084,25900,90,0.98
420,348.0,350.66,358.08,375.86,384.96,284.62,211.83,409.248793658036,442.9065801899,418.579407202542,376.162452126423,342.53873504603,321.827233861892,310.693232565601,305.215112109258,302.857706332617,302.430141159855,302.636368916484,0.084,25900,90,0.98
421,347.99,350.65,358.09,375.92,385.0,284.74,212.03,409.349859064501,443.02275617753,418.707416465113,376.270162420833,342.612941083808,321.871212199387,310.7167742678,305.227293497245,302.864836172916,302.436378072741,302.64260582937,0.084,25900,90,0.98
422,347.97,350.65,358.09,375.96,385.03,284.83,212.26,409.450779399797,443.138771466602,418.835298877861,376.377816755764,342.687147925274,321.915214261778,310.740339334324,305.239491166921,302.871977294987,302.442625254878,302.648853011507,0.084,25900,90,0.98
423,347.96,350.65,358.12,375.99,385.07,284.85,212.39,409.551554933375,443.254626347308,418.963054568554,376.485415079441,342.761355456146,321.959239973539,310.76392774381,305.251705123846,302.879129710818,302.448882718735,302.655110475364,0.084,25900,90,0.98
424,347.95,350.64,358.14,376.04,385.12,284.88,212.51,409.652185941523,443.370321096689,419.090683658624,376.592957338242,342.835563561817,322.00328925903,310.787539474769,305.263935373506,302.886293432378,302.455150476773,302.661378233402,0.084,25900,90,0.98
425,347.92,350.64,358.15,376.08,385.18,284.95,212.63,409.752672695401,443.48585599861,419.218065510988,376.70044348044,342.909772128507,322.047362042772,310.811174505637,305.276181921327,302.893468471618,302.461428541446,302.667656298075,0.084,25900,90,0.98
426,347.9,350.63,358.18,376.12,385.24,285.02,212.56,409.853015468486,443.60123133145,419.345312461346,376.807873453812,342.983981042505,322.09145824926,310.83483281474,305.288444772657,302.900654840468,302.467716925198,302.673944681826,0.084,25900,90,0.98
427,347.88,350.62,358.18,376.17,385.28,285.03,212.33,409.953214524326,443.716447388901,419.472432854123,376.91524720963,343.058190191388,322.135577803262,310.858514380346,305.300723932786,302.907852550836,302.474015640461,302.68024339709,0.084,25900,90,0.98
428,347.87,350.62,358.2,376.22,385.33,284.97,212.16,410.053270143704,443.831504433645,419.599426805789,377.022564693959,343.132399461417,322.1797206292,310.882219180566,305.313019406925,302.915061614616,302.480324699665,302.686552456294,0.084,25900,90,0.98
429,347.85,350.62,358.22,376.26,385.37,284.91,212.04,410.153182583262,443.946402767696,419.72629445329,377.129825860784,343.206608741454,322.223886652077,310.905947193501,305.325331200227,302.922282043674,302.486644115223,302.692871871852,0.084,25900,90,0.98
430,347.83,350.62,358.23,376.3,385.4,284.9,211.96,410.252952123444,444.061142651223,419.853035912439,377.237030656866,343.280817918443,322.268075796407,310.929698397071,305.337659317767,302.929513849864,302.492973899545,302.699201656174,0.084,25900,90,0.98
431,347.82,350.6,358.23,376.34,385.43,284.84,211.86,410.3525790266,444.175724373372,419.9796513142,377.344179034926,343.355026881325,322.312287987147,310.953472769168,305.350003764559,302.936757045013,302.499314065027,302.705541821656,0.084,25900,90,0.98
432,347.8,350.6,358.25,376.4,385.47,284.76,211.58,410.452063561985,444.290148209848,420.106140782921,377.451270945794,343.42923551875,322.356523149156,310.977270287569,305.362364545547,302.944011640931,302.505664624057,302.711892380686,0.084,25900,90,0.98
433,347.79,350.59,358.26,376.44,385.5,284.62,211.33,410.551405994983,444.404414441339,420.232504445832,377.558306341787,343.503443720022,322.400781207415,311.001090929969,305.374741665606,302.951277649406,302.512025589012,302.718253345641,0.084,25900,90,0.98
434,347.77,350.58,358.28,376.48,385.55,284.48,211.01,410.650606595035,444.518523340399,420.358742426311,377.665285174259,343.577651374393,322.445062086863,311.024934673957,305.387135129544,302.958555082206,302.518396972261,302.72462472889,0.084,25900,90,0.98
435,347.74,350.57,358.3,376.53,385.59,284.39,210.79,410.749665620963,444.632475195418,420.484854856145,377.772207398126,343.651858372427,322.489365712725,311.048801497074,305.399544942105,302.965843951077,302.52477878616,302.731006542789,0.084,25900,90,0.98
436,347.73,350.56,358.32,376.58,385.61,284.31,210.64,410.848583347821,444.746270266294,420.610841852747,377.879072963484,343.726064603471,322.533692009905,311.072691376702,305.411971107955,302.973144267745,302.531171043057,302.737398799686,0.084,25900,90,0.98
437,347.72,350.55,358.32,376.61,385.62,284.28,210.62,410.947360033498,444.859908839792,420.736703547656,377.985881826077,343.800269958812,322.578040903747,311.096604290206,305.424413631706,302.980456043914,302.537573755287,302.743801511916,0.084,25900,90,0.98
