Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
687,354.62,353.91,354.87,355.04,354.45,356.33,354.04,354.55,349.6,326.51,315.268944416225,336.84148557683,336.84148557683,336.84148557683,336.84148557683,336.84148557683,336.84148557683,336.84148557683,336.84148557683,336.84148557683,370.611468208566,0.1575,19400,3,0.98
688,354.62,353.93,354.86,355.03,354.44,356.29,354.04,354.53,349.46,326.36,315.295204899806,336.870635201462,336.870635201462,336.870635201462,336.870635201462,336.870635201462,336.870635201462,336.870635201462,336.870635201462,336.870635201462,370.640617833198,0.1575,19400,3,0.98
689,354.63,353.93,354.86,355.02,354.42,356.25,354.06,354.52,349.37,326.26,315.321462702542,336.899782108212,336.899782108212,336.899782108212,336.899782108212,336.899782108212,336.899782108212,336.899782108212,336.899782108212,336.899782108212,370.669764739948,0.1575,19400,3,0.98
690,354.62,353.94,354.86,355.01,354.39,356.22,354.12,354.51,349.31,326.17,315.347717824418,336.928926296994,336.928926296994,336.928926296994,336.928926296994,336.928926296994,336.928926296994,336.928926296994,336.928926296994,336.928926296994,370.69890892873,0.1575,19400,3,0.98
691,354.63,353.94,354.85,355.02,354.35,356.19,354.15,354.54,349.28,326.09,315.373970265416,336.958067767721,336.958067767721,336.958067767721,336.958067767721,336.958067767721,336.958067767721,336.958067767721,336.958067767721,336.958067767721,370.728050399457,0.1575,19400,3,0.98
692,354.62,353.96,354.85,355.01,354.3,356.15,354.2,354.58,349.23,325.98,315.400220025518,336.987206520307,336.987206520307,336.987206520307,336.987206520307,336.987206520307,336.987206520307,336.987206520307,336.987206520307,336.987206520307,370.757189152043,0.1575,19400,3,0.98
693,354.61,353.96,354.83,354.99,354.24,356.13,354.22,354.59,349.24,325.85,315.426467104709,337.016342554666,337.016342554666,337.016342554666,337.016342554666,337.016342554666,337.016342554666,337.016342554666,337.016342554666,337.016342554666,370.786325186402,0.1575,19400,3,0.98
694,354.61,353.96,354.83,354.98,354.2,356.1,354.21,354.62,349.23,325.76,315.452711502972,337.045475870713,337.045475870713,337.045475870713,337.045475870713,337.045475870713,337.045475870713,337.045475870713,337.045475870713,337.045475870713,370.815458502448,0.1575,19400,3,0.98
695,354.6,353.96,354.83,354.95,354.17,356.05,354.21,354.61,349.2,325.65,315.47895322029,337.074606468359,337.074606468359,337.074606468359,337.074606468359,337.074606468359,337.074606468359,337.074606468359,337.074606468359,337.074606468359,370.844589100095,0.1575,19400,3,0.98
696,354.59,353.95,354.82,354.92,354.14,356.03,354.19,354.61,349.1,325.55,315.505192256646,337.103734347521,337.103734347521,337.103734347521,337.103734347521,337.103734347521,337.103734347521,337.103734347521,337.103734347521,337.103734347521,370.873716979257,0.1575,19400,3,0.98
697,354.59,353.95,354.82,354.87,354.12,355.99,354.16,354.63,348.97,325.5,315.531428612023,337.132859508111,337.132859508111,337.132859508111,337.132859508111,337.132859508111,337.132859508111,337.132859508111,337.132859508111,337.132859508111,370.902842139847,0.1575,19400,3,0.98
698,354.57,353.94,354.81,354.85,354.11,355.96,354.15,354.65,348.83,325.48,315.557662286406,337.161981950045,337.161981950045,337.161981950045,337.161981950045,337.161981950045,337.161981950045,337.161981950045,337.161981950045,337.161981950045,370.931964581781,0.1575,19400,3,0.98
699,354.56,353.93,354.79,354.81,354.09,355.92,354.13,354.64,348.77,325.49,315.583893279777,337.191101673236,337.191101673236,337.191101673236,337.191101673236,337.191101673236,337.191101673236,337.191101673236,337.191101673236,337.191101673236,370.961084304972,0.1575,19400,3,0.98
