Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
242,373.67,374.6,348.64,208.2,151.3,109.29,91.49,80.27,74.38,-0.21,78.95,349.895308672594,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,405.100270050771
243,373.73,374.64,348.66,208.24,151.31,109.32,91.59,80.28,74.43,0.86,79.04,350.045216265226,375.674250313,375.674250313,375.674250313,375.674250313,375.674250313,375.674250313,375.674250313,375.674250313,375.674250313,405.268672589047
244,373.79,374.67,348.7,208.38,151.31,109.36,91.69,80.35,74.44,1.01,79.11,350.195047049031,375.842575461353,375.842575461353,375.842575461353,375.842575461353,375.842575461353,375.842575461353,375.842575461353,375.842575461353,375.842575461353,405.4369977374
245,373.82,374.71,348.77,208.48,151.32,109.42,91.83,80.42,74.46,1.35,79.17,350.344801019903,376.010823203629,376.010823203629,376.010823203629,376.010823203629,376.010823203629,376.010823203629,376.010823203629,376.010823203629,376.010823203629,405.605245479676
246,373.86,374.78,348.88,208.57,151.35,109.51,91.89,80.39,74.45,0.6,79.26,350.49447817379,376.178993523736,376.178993523736,376.178993523736,376.178993523736,376.178993523736,376.178993523736,376.178993523736,376.178993523736,376.178993523736,405.773415799783
247,373.91,374.84,348.96,208.62,151.39,109.44,91.93,80.33,74.46,0.71,79.33,350.644078506695,376.347086405643,376.347086405643,376.347086405643,376.347086405643,376.347086405643,376.347086405643,376.347086405643,376.347086405643,376.347086405643,405.94150868169
248,373.98,374.87,349.03,208.7,151.4,109.43,91.97,80.33,74.46,0.84,79.4,350.793602014678,376.51510183338,376.51510183338,376.51510183338,376.51510183338,376.51510183338,376.51510183338,376.51510183338,376.51510183338,376.51510183338,406.109524109427
249,374.03,374.9,349.09,208.75,151.36,109.44,92.01,80.28,74.46,-0.27,79.45,350.94304869385,376.683039791038,376.683039791038,376.683039791038,376.683039791038,376.683039791038,376.683039791038,376.683039791038,376.683039791038,376.683039791038,406.277462067085
250,374.08,374.94,349.14,208.7,151.3,109.41,92.04,80.34,74.48,-1.04,79.5,351.092418540378,376.850900262769,376.850900262769,376.850900262769,376.850900262769,376.850900262769,376.850900262769,376.850900262769,376.850900262769,376.850900262769,406.445322538816
251,374.15,375.01,349.17,208.65,151.29,109.41,92.04,80.34,74.46,-1.12,79.54,351.241711550488,377.018683232786,377.018683232786,377.018683232786,377.018683232786,377.018683232786,377.018683232786,377.018683232786,377.018683232786,377.018683232786,406.613105508833
252,374.19,375.06,349.18,208.63,151.28,109.41,92.01,80.31,74.47,-1.27,79.57,351.390927720454,377.186388685366,377.186388685366,377.186388685366,377.186388685366,377.186388685366,377.186388685366,377.186388685366,377.186388685366,377.186388685366,406.780810961413
