Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
274,352.58,353.61,358.23,361.01,362.14,365.49,364.56,366.24,367.44,353.25,333.673581357184,357.334968591849,357.335054464985,355.08031426257,343.619251512723,332.342353697952,324.305225706785,321.564850348163,321.564850348163,321.564850348163,327.196390453231
275,352.56,353.6,358.22,361.02,362.14,365.5,364.58,366.27,367.45,353.28,333.728470980834,357.396284713441,357.396374544114,355.142098079182,343.672645892666,332.383461759204,324.337297593742,321.594326280289,321.594326280289,321.594326280289,327.225866385357
276,352.55,353.6,358.23,361.02,362.15,365.51,364.6,366.29,367.47,353.32,333.783340824969,357.457579979138,357.457673852621,355.203866057581,343.726036397222,332.424572328547,324.36937460656,321.623808190185,321.623808190185,321.623808190185,327.255348295253
277,352.55,353.58,358.22,361.03,362.16,365.53,364.61,366.31,367.48,353.36,333.838190897467,357.518854396359,357.518952397662,355.26561819819,343.779423018168,332.465685402341,324.401456743842,321.6532960757,321.6532960757,321.6532960757,327.284836180768
278,352.53,353.57,358.22,361.03,362.17,365.55,364.64,366.33,367.5,353.4,333.893021206191,357.580107972527,357.580210186421,355.327354501456,343.832805747301,332.50680097694,324.433544004187,321.682789934689,321.682789934689,321.682789934689,327.314330039757
279,352.52,353.57,358.23,361.03,362.18,365.56,364.67,366.34,367.52,353.43,333.947831759017,357.641340715049,357.641447226036,355.389074967804,343.886184576423,332.547919048693,324.465636386191,321.712289765007,321.712289765007,321.712289765007,327.343829870075
280,352.51,353.55,358.23,361.04,362.2,365.58,364.69,366.35,367.55,353.46,334.0026225638,357.702552631352,357.702663523707,355.450779597713,343.939559497357,332.589039613943,324.497733888448,321.741795564511,321.741795564511,321.741795564511,327.37333566958
281,352.49,353.54,358.22,361.05,362.21,365.6,364.71,366.38,367.58,353.48,334.057393628384,357.763743728869,357.763859086663,355.512468391686,343.992930501942,332.630162669031,324.529836509547,321.771307331065,321.771307331065,321.771307331065,327.402847436133
282,352.47,353.52,358.22,361.05,362.22,365.6,364.74,366.39,367.6,353.51,334.112144960706,357.824914014915,357.825033921765,355.574141349987,344.04629758199,332.671288210286,324.561944248076,321.800825062529,321.800825062529,321.800825062529,327.432365167598
283,352.45,353.51,358.21,361.07,362.24,365.62,364.75,366.41,367.61,353.51,334.166876568546,357.88606349699,357.886188036459,355.635798473286,344.099660729387,332.71241623404,324.594057102618,321.83034875677,321.83034875677,321.83034875677,327.461888861839
284,352.44,353.5,358.21,361.08,362.25,365.64,364.76,366.43,367.6,353.51,334.221588459777,357.947192182477,357.947321437827,355.697439762013,344.153019935995,332.753546736616,324.626175071754,321.859878411656,321.859878411656,321.859878411656,327.491418516725
285,352.43,353.5,358.21,361.08,362.26,365.66,364.77,366.45,367.6,353.52,334.27628064226,358.008300078766,358.008434132984,355.759065216628,344.206375193691,332.794679714332,324.658298154061,321.889414025058,321.889414025058,321.889414025058,327.520954130126
286,352.41,353.48,358.2,361.1,362.26,365.68,364.78,366.48,367.59,353.5,334.330953123837,358.069387193265,358.0695261291,355.82067483764,344.25972649437,332.835815163501,324.690426348114,321.918955594848,321.918955594848,321.918955594848,327.550495699916
287,352.4,353.46,358.2,361.11,362.28,365.68,364.79,366.49,367.6,353.5,334.385605912354,358.130453533373,358.130597433322,355.882268625548,344.313073829939,332.876953080433,324.722559652483,321.948503118901,321.948503118901,321.948503118901,327.580043223969
288,352.38,353.46,358.2,361.11,362.29,365.69,364.8,366.49,367.6,353.48,334.440239015659,358.19149910648,358.191648052778,355.943846580847,344.366417192314,332.91809346143,324.754698065738,321.978056595095,321.978056595095,321.978056595095,327.609596700163
289,352.37,353.45,358.2,361.11,362.3,365.71,364.82,366.5,367.61,353.46,334.494852441591,358.252523919981,358.252677994609,356.00540870405,344.419756573426,332.959236302791,324.786841586442,322.00761602131,322.00761602131,322.00761602131,327.639156126378
290,352.35,353.43,358.2,361.12,362.32,365.73,364.84,366.51,367.6,353.45,334.549446197984,358.313527981273,358.31368726597,356.066954995687,344.473091965219,333.000381600811,324.818990213157,322.037181395428,322.037181395428,322.037181395428,327.668721500497
291,352.34,353.41,358.2,361.11,362.34,365.74,364.88,366.51,367.59,353.44,334.604020292678,358.374511297739,358.374675873984,356.128485456277,344.526423359647,333.041529351778,324.851143944443,322.066752715334,322.066752715334,322.066752715334,327.698292820402
292,352.32,353.4,358.19,361.12,362.35,365.75,364.89,366.5,367.57,353.42,334.658574733508,358.435473876763,358.435643825771,356.190000086341,344.579750748676,333.082679551976,324.883302778855,322.096329978914,322.096329978914,322.096329978914,327.727870083982
293,352.31,353.39,358.19,361.12,362.36,365.77,364.91,366.51,367.57,353.39,334.713109528296,358.49641572574,358.496591128494,356.251498886441,344.63307412429,333.123832197684,324.915466714945,322.125913184057,322.125913184057,322.125913184057,327.757453289126
294,352.3,353.38,358.18,361.13,362.37,365.78,364.93,366.51,367.6,353.36,334.767624684873,358.557336852047,358.557517789267,356.312981857112,344.686393478478,333.164987285177,324.947635751262,322.155502328656,322.155502328656,322.155502328656,327.787042433724
295,352.28,353.37,358.18,361.12,362.37,365.79,364.96,366.52,367.62,353.35,334.822120211059,358.618237263068,358.618423815227,356.374448998916,344.739708803247,333.206144810725,324.979809886353,322.185097410602,322.185097410602,322.185097410602,327.81663751567
296,352.27,353.37,358.17,361.13,362.39,365.81,364.96,366.56,367.62,353.35,334.876596114687,358.67911696617,358.679309213468,356.435900312388,344.79302009061,333.247304770592,325.011989118761,322.214698427792,322.214698427792,322.214698427792,327.846238532861
297,352.26,353.35,358.17,361.14,362.4,365.83,364.96,366.59,367.63,353.38,334.931052403567,358.739975968739,358.740173991137,356.497335798115,344.846327332599,333.288467161038,325.044173447025,322.244305378125,322.244305378125,322.244305378125,327.875845483193
298,352.25,353.35,358.17,361.14,362.41,365.84,364.97,366.63,367.63,353.4,334.985489085513,358.800814278153,358.801018155371,356.558755456678,344.899630521256,333.32963197832,325.076362869684,322.273918259499,322.273918259499,322.273918259499,327.905458364568
299,352.24,353.35,358.17,361.16,362.42,365.87,364.97,366.67,367.65,353.44,335.039906168345,358.861631901773,358.861841713256,356.620159288636,344.952929648631,333.370799218687,325.10855738527,322.303537069818,322.303537069818,322.303537069818,327.935077174886
