Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
83,359.0,359.26,360.27,361.53,361.36,363.84,362.32,363.63,361.01,335.55,334.0026225638,357.702552631352,357.702663523707,355.450779597713,343.939559497357,332.589039613943,324.497733888448,321.741795564511,321.741795564511,321.741795564511,327.37333566958
84,358.99,359.25,360.28,361.53,361.37,363.85,362.34,363.67,361.05,335.62,334.057393628384,357.763743728869,357.763859086663,355.512468391686,343.992930501942,332.630162669031,324.529836509547,321.771307331065,321.771307331065,321.771307331065,327.402847436133
85,358.97,359.25,360.28,361.55,361.38,363.86,362.36,363.7,361.09,335.7,334.112144960706,357.824914014915,357.825033921765,355.574141349987,344.04629758199,332.671288210286,324.561944248076,321.800825062529,321.800825062529,321.800825062529,327.432365167598
86,358.95,359.23,360.28,361.55,361.4,363.88,362.37,363.75,361.11,335.76,334.166876568546,357.88606349699,357.886188036459,355.635798473286,344.099660729387,332.71241623404,324.594057102618,321.83034875677,321.83034875677,321.83034875677,327.461888861839
87,358.92,359.23,360.29,361.57,361.43,363.88,362.39,363.8,361.15,335.87,334.221588459777,357.947192182477,357.947321437827,355.697439762013,344.153019935995,332.753546736616,324.626175071754,321.859878411656,321.859878411656,321.859878411656,327.491418516725
88,358.89,359.21,360.3,361.58,361.44,363.9,362.41,363.85,361.12,335.95,334.27628064226,358.008300078766,358.008434132984,355.759065216628,344.206375193691,332.794679714332,324.658298154061,321.889414025058,321.889414025058,321.889414025058,327.520954130126
89,358.86,359.21,360.29,361.59,361.45,363.93,362.43,363.89,361.11,336.03,334.330953123837,358.069387193265,358.0695261291,355.82067483764,344.25972649437,332.835815163501,324.690426348114,321.918955594848,321.918955594848,321.918955594848,327.550495699916
90,358.85,359.21,360.31,361.61,361.47,363.95,362.44,363.93,361.11,336.09,334.385605912354,358.130453533373,358.130597433322,355.882268625548,344.313073829939,332.876953080433,324.722559652483,321.948503118901,321.948503118901,321.948503118901,327.580043223969
91,358.83,359.2,360.31,361.62,361.47,363.97,362.44,363.96,361.14,336.15,334.440239015659,358.19149910648,358.191648052778,355.943846580847,344.366417192314,332.91809346143,324.754698065738,321.978056595095,321.978056595095,321.978056595095,327.609596700163
92,358.8,359.19,360.31,361.64,361.48,363.99,362.46,363.99,361.2,336.2,334.494852441591,358.252523919981,358.252677994609,356.00540870405,344.419756573426,332.959236302791,324.786841586442,322.00761602131,322.00761602131,322.00761602131,327.639156126378
93,358.78,359.18,360.32,361.66,361.49,364.02,362.45,364.01,361.27,336.23,334.549446197984,358.313527981273,358.31368726597,356.066954995687,344.473091965219,333.000381600811,324.818990213157,322.037181395428,322.037181395428,322.037181395428,327.668721500497
94,358.75,359.17,360.33,361.66,361.51,364.05,362.46,364.04,361.3,336.26,334.604020292678,358.374511297739,358.374675873984,356.128485456277,344.526423359647,333.041529351778,324.851143944443,322.066752715334,322.066752715334,322.066752715334,327.698292820402
95,358.73,359.16,360.33,361.68,361.53,364.07,362.48,364.06,361.33,336.3,334.658574733508,358.435473876763,358.435643825771,356.190000086341,344.579750748676,333.082679551976,324.883302778855,322.096329978914,322.096329978914,322.096329978914,327.727870083982
96,358.71,359.15,360.33,361.68,361.54,364.09,362.51,364.08,361.4,336.36,334.713109528296,358.49641572574,358.496591128494,356.251498886441,344.63307412429,333.123832197684,324.915466714945,322.125913184057,322.125913184057,322.125913184057,327.757453289126
97,358.68,359.14,360.34,361.7,361.57,364.12,362.56,364.1,361.46,336.46,334.767624684873,358.557336852047,358.557517789267,356.312981857112,344.686393478478,333.164987285177,324.947635751262,322.155502328656,322.155502328656,322.155502328656,327.787042433724
98,358.67,359.13,360.35,361.72,361.59,364.14,362.6,364.13,361.5,336.53,334.822120211059,358.618237263068,358.618423815227,356.374448998916,344.739708803247,333.206144810725,324.979809886353,322.185097410602,322.185097410602,322.185097410602,327.81663751567
99,358.65,359.13,360.34,361.72,361.6,364.16,362.64,364.14,361.51,336.59,334.876596114687,358.67911696617,358.679309213468,356.435900312388,344.79302009061,333.247304770592,325.011989118761,322.214698427792,322.214698427792,322.214698427792,327.846238532861
100,358.62,359.11,360.34,361.74,361.61,364.19,362.66,364.16,361.54,336.65,334.931052403567,358.739975968739,358.740173991137,356.497335798115,344.846327332599,333.288467161038,325.044173447025,322.244305378125,322.244305378125,322.244305378125,327.875845483193
101,358.59,359.1,360.34,361.74,361.64,364.2,362.69,364.19,361.55,336.69,334.985489085513,358.800814278153,358.801018155371,356.558755456678,344.899630521256,333.32963197832,325.076362869684,322.273918259499,322.273918259499,322.273918259499,327.905458364568
102,358.58,359.09,360.36,361.76,361.65,364.23,362.72,364.21,361.59,336.71,335.039906168345,358.861631901773,358.861841713256,356.620159288636,344.952929648631,333.370799218687,325.10855738527,322.303537069818,322.303537069818,322.303537069818,327.935077174886
103,358.56,359.09,360.36,361.77,361.68,364.24,362.75,364.25,361.61,336.72,335.094303659811,358.922428847045,358.92264467215,356.681547294742,345.006224706816,333.411968878389,325.140756992315,322.333161806985,322.333161806985,322.333161806985,327.964701912054
104,358.54,359.08,360.36,361.79,361.69,364.28,362.78,364.29,361.63,336.75,335.148681567898,358.983205121122,358.983427038486,356.742919475122,345.059515687814,333.453140953659,325.172961689345,322.362792468908,322.362792468908,322.362792468908,327.994332573977
105,358.53,359.07,360.37,361.8,361.72,364.3,362.82,364.32,361.66,336.78,335.203039900232,359.043960731585,359.044188820062,356.804275830847,345.112802583792,333.494315440742,325.205171474886,322.392429053495,322.392429053495,322.392429053495,328.023969158564
106,358.5,359.06,360.37,361.81,361.74,364.31,362.83,364.34,361.74,336.85,335.257378664678,359.104695685717,359.104930023739,356.865616362348,345.16608538682,333.535492335866,325.237386347458,322.422071558657,322.422071558657,322.422071558657,328.053611663725
107,358.49,359.05,360.39,361.82,361.76,364.33,362.85,364.36,361.81,336.9,335.31169786903,359.165409990897,359.165650656666,356.926941070276,345.219364089024,333.576671635262,325.269606305581,322.451719982306,322.451719982306,322.451719982306,328.083260087375
108,358.47,359.04,360.38,361.81,361.78,364.34,362.85,364.38,361.88,336.93,335.365997521095,359.226103654462,359.226350725894,356.988249955206,345.272638682519,333.617853335149,325.30183134777,322.481374322358,322.481374322358,322.481374322358,328.112914427427
109,358.44,359.03,360.38,361.83,361.8,364.37,362.89,364.41,361.96,336.97,335.420277628659,359.286776683781,359.287030238564,357.049543017792,345.325909159448,333.659037431748,325.334061472535,322.51103457673,322.51103457673,322.51103457673,328.142574681798
110,358.43,359.02,360.39,361.86,361.81,364.4,362.91,364.43,362.02,336.97,335.474538199515,359.347429086207,359.347689201769,357.110820258663,345.379175511962,333.700223921273,325.366296678388,322.540700743341,322.540700743341,322.540700743341,328.172240848409
111,358.42,359.02,360.41,361.86,361.84,364.42,362.93,364.45,362.04,336.97,335.528779241451,359.408060869095,359.408327622618,357.172081678463,345.432437732224,333.741412799932,325.398536963833,322.57037282011,322.57037282011,322.57037282011,328.201912925179
112,358.4,359.01,360.41,361.87,361.85,364.44,362.94,364.49,362.07,336.98,335.583000762261,359.468672039785,359.468945508178,357.233327277818,345.485695812404,333.782604063931,325.430782327373,322.600050804964,322.600050804964,322.600050804964,328.231590910032
