Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
253,370.71,369.95,333.1,206.84,158.52,120.53,106.43,98.41,115.93,2.64,151.68,407.525796554514,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,495.864438070989
254,370.65,369.99,333.19,206.46,158.52,120.51,106.43,98.47,116.04,6.88,151.82,407.642838414781,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,495.998714478831
255,370.59,370.0,333.25,206.51,158.52,120.53,106.42,98.47,116.15,7.7,151.96,407.759806450509,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,496.132912114028
256,370.54,370.0,333.26,206.36,158.5,120.6,106.29,98.33,116.17,8.08,152.09,407.876700678518,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,496.267030985685
257,370.51,370.02,333.3,206.58,158.48,120.68,106.19,98.59,116.16,11.03,152.21,407.993521115665,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,496.401071102957
258,370.43,370.03,333.32,206.55,158.47,120.69,106.19,98.36,116.17,6.92,152.32,408.110267778849,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,496.53503247505
259,370.4,370.0,333.33,206.2,158.43,120.46,106.18,98.26,116.16,6.86,152.41,408.226940685006,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,496.668915111223
260,370.46,370.02,333.37,206.13,158.39,120.45,106.04,98.28,116.16,4.86,152.56,408.34353985111,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,496.802719020785
261,370.55,370.07,333.42,206.2,158.39,120.48,106.05,98.4,116.25,5.26,152.69,408.460065294178,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,496.936444213098
262,370.6,370.1,333.49,206.54,158.41,120.57,106.17,98.81,116.43,15.12,152.79,408.576517031261,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,497.070090697574
263,370.59,370.14,333.53,206.68,158.42,120.69,106.19,99.01,116.66,7.08,152.9,408.692895079452,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,497.203658483677
264,370.54,370.15,333.59,206.66,158.42,120.48,106.19,99.21,116.89,7.14,152.98,408.809199455883,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,497.33714758092
265,370.54,370.07,333.57,206.85,158.47,120.62,106.17,99.32,117.13,4.76,153.08,408.925430177722,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,497.470557998872
266,370.59,369.97,333.6,207.12,158.5,120.72,106.21,99.72,117.35,8.78,153.16,409.041587262178,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,497.603889747148
267,370.66,369.84,333.72,207.25,158.51,121.02,106.32,99.96,117.55,12.94,153.26,409.157670726499,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,497.737142835417
268,370.73,369.71,333.93,207.35,158.54,120.92,106.41,99.98,117.73,9.31,153.38,409.273680587971,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,497.870317273398
269,370.8,369.52,334.15,207.28,158.61,120.94,106.46,99.96,117.9,10.35,153.58,409.389616863916,443.061760909914,443.061760909914,443.061760909914,443.061760909914,443.061760909914,443.061760909914,443.061760909914,443.061760909914,443.061760909914,498.003413070863
270,370.87,369.39,334.21,207.54,158.67,120.99,106.52,100.16,118.1,10.65,153.76,409.505479571697,443.194778076682,443.194778076682,443.194778076682,443.194778076682,443.194778076682,443.194778076682,443.194778076682,443.194778076682,443.194778076682,498.136430237631
271,370.98,369.51,334.14,207.61,158.75,121.06,106.48,100.3,118.23,10.71,153.86,409.621268728718,443.327716622626,443.327716622626,443.327716622626,443.327716622626,443.327716622626,443.327716622626,443.327716622626,443.327716622626,443.327716622626,498.269368783575
272,371.06,369.7,334.09,207.62,158.84,121.09,106.43,100.49,118.37,12.29,153.95,409.736984352415,443.46057655767,443.46057655767,443.46057655767,443.46057655767,443.46057655767,443.46057655767,443.46057655767,443.46057655767,443.46057655767,498.402228718619
273,371.23,369.88,334.13,207.84,158.94,121.27,106.43,100.54,118.48,11.58,154.04,409.852626460268,443.593357891787,443.593357891787,443.593357891787,443.593357891787,443.593357891787,443.593357891787,443.593357891787,443.593357891787,443.593357891787,498.535010052735
274,371.3,369.94,334.18,207.85,159.06,121.17,106.52,100.5,118.59,9.64,154.16,409.968195069793,443.726060635,443.726060635,443.726060635,443.726060635,443.726060635,443.726060635,443.726060635,443.726060635,443.726060635,498.667712795949
275,371.35,369.96,334.15,208.08,159.18,121.3,106.63,100.66,118.71,8.45,154.3,410.083690198542,443.858684797388,443.858684797388,443.858684797388,443.858684797388,443.858684797388,443.858684797388,443.858684797388,443.858684797388,443.858684797388,498.800336958336
276,371.39,369.88,334.06,208.13,159.3,121.37,106.75,100.77,118.9,5.16,154.46,410.19911186411,443.991230389073,443.991230389073,443.991230389073,443.991230389073,443.991230389073,443.991230389073,443.991230389073,443.991230389073,443.991230389073,498.932882550022
277,371.4,369.82,334.01,208.45,159.42,121.59,106.85,100.98,119.07,15.6,154.63,410.314460084127,444.123697420234,444.123697420234,444.123697420234,444.123697420234,444.123697420234,444.123697420234,444.123697420234,444.123697420234,444.123697420234,499.065349581182
278,371.36,370.04,333.82,208.53,159.58,121.71,107.08,101.19,119.32,11.24,154.89,410.429734876261,444.256085901096,444.256085901096,444.256085901096,444.256085901096,444.256085901096,444.256085901096,444.256085901096,444.256085901096,444.256085901096,499.197738062045
279,371.53,370.32,333.63,208.5,159.72,121.67,107.45,101.35,119.59,8.9,155.16,410.54493625822,444.388395841939,444.388395841939,444.388395841939,444.388395841939,444.388395841939,444.388395841939,444.388395841939,444.388395841939,444.388395841939,499.330048002888
280,371.68,370.35,333.49,208.5,159.75,121.86,107.69,101.46,119.81,8.68,155.35,410.660064247748,444.520627253089,444.520627253089,444.520627253089,444.520627253089,444.520627253089,444.520627253089,444.520627253089,444.520627253089,444.520627253089,499.462279414038
281,371.91,370.27,333.47,208.25,159.74,121.87,107.85,101.6,119.99,-0.41,155.52,410.775118862626,444.652780144925,444.652780144925,444.652780144925,444.652780144925,444.652780144925,444.652780144925,444.652780144925,444.652780144925,444.652780144925,499.594432305874
282,372.12,370.19,333.55,208.17,159.71,121.96,107.95,101.79,120.18,15.44,155.68,410.890100120677,444.784854527877,444.784854527877,444.784854527877,444.784854527877,444.784854527877,444.784854527877,444.784854527877,444.784854527877,444.784854527877,499.726506688825
283,372.27,370.0,333.57,208.36,159.71,121.99,108.02,101.91,120.36,11.24,155.82,411.005008039757,444.916850412422,444.916850412422,444.916850412422,444.916850412422,444.916850412422,444.916850412422,444.916850412422,444.916850412422,444.916850412422,499.85850257337
284,372.38,369.89,333.57,208.21,159.74,122.07,108.01,102.0,120.52,9.38,155.97,411.119842637762,445.04876780909,445.04876780909,445.04876780909,445.04876780909,445.04876780909,445.04876780909,445.04876780909,445.04876780909,445.04876780909,499.990419970038
285,372.49,369.96,333.59,208.16,159.78,122.12,108.01,102.0,120.63,10.56,156.11,411.234603932628,445.18060672846,445.18060672846,445.18060672846,445.18060672846,445.18060672846,445.18060672846,445.18060672846,445.18060672846,445.18060672846,500.122258889409
286,372.58,370.32,333.63,208.19,159.85,122.16,107.97,101.94,120.74,7.69,156.33,411.349291942324,445.312367181163,445.312367181163,445.312367181163,445.312367181163,445.312367181163,445.312367181163,445.312367181163,445.312367181163,445.312367181163,500.254019342112
287,372.45,370.69,333.64,208.24,159.92,122.34,108.0,102.07,120.93,11.41,156.56,411.463906684859,445.444049177878,445.444049177878,445.444049177878,445.444049177878,445.444049177878,445.444049177878,445.444049177878,445.444049177878,445.444049177878,500.385701338826
288,372.3,370.82,333.62,208.4,159.93,122.5,108.12,102.19,121.11,9.17,156.7,411.57844817828,445.575652729334,445.575652729334,445.575652729334,445.575652729334,445.575652729334,445.575652729334,445.575652729334,445.575652729334,445.575652729334,500.517304890283
