Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
74,362.74,361.43,361.55,362.04,361.71,363.56,361.73,362.51,360.35,336.43,317.04683191974,335.036519722926,335.036519722926,335.036519722926,335.036519722926,335.036519722926,335.036519722926,335.036519722926,335.036519722926,335.036519722926,371.194048507814
75,362.7,361.42,361.55,362.05,361.71,363.56,361.71,362.47,360.36,336.54,317.080414307464,335.073173923037,335.073173923037,335.073173923037,335.073173923037,335.073173923037,335.073173923037,335.073173923037,335.073173923037,335.073173923037,371.230702707926
76,362.67,361.38,361.55,362.08,361.69,363.58,361.72,362.44,360.38,336.66,317.113993882763,335.109825403087,335.109825403087,335.109825403087,335.109825403087,335.109825403087,335.109825403087,335.109825403087,335.109825403087,335.109825403087,371.267354187976
77,362.66,361.32,361.53,362.08,361.68,363.58,361.7,362.43,360.36,336.8,317.147570645483,335.14647416284,335.14647416284,335.14647416284,335.14647416284,335.14647416284,335.14647416284,335.14647416284,335.14647416284,335.14647416284,371.304002947729
78,362.7,361.28,361.52,362.1,361.69,363.62,361.66,362.4,360.36,336.94,317.181144595469,335.18312020206,335.18312020206,335.18312020206,335.18312020206,335.18312020206,335.18312020206,335.18312020206,335.18312020206,335.18312020206,371.340648986948
79,362.74,361.2,361.5,362.12,361.69,363.65,361.57,362.38,360.34,337.12,317.214715732568,335.219763520509,335.219763520509,335.219763520509,335.219763520509,335.219763520509,335.219763520509,335.219763520509,335.219763520509,335.219763520509,371.377292305398
80,362.78,361.14,361.51,362.15,361.69,363.68,361.44,362.41,360.35,337.29,317.248284056624,335.256404117952,335.256404117952,335.256404117952,335.256404117952,335.256404117952,335.256404117952,335.256404117952,335.256404117952,335.256404117952,371.41393290284
81,362.82,361.1,361.51,362.17,361.68,363.67,361.34,362.44,360.38,337.4,317.281849567484,335.293041994152,335.293041994152,335.293041994152,335.293041994152,335.293041994152,335.293041994152,335.293041994152,335.293041994152,335.293041994152,371.45057077904
82,362.88,361.11,361.53,362.18,361.69,363.66,361.29,362.43,360.46,337.52,317.315412264993,335.329677148873,335.329677148873,335.329677148873,335.329677148873,335.329677148873,335.329677148873,335.329677148873,335.329677148873,335.329677148873,371.487205933761
83,362.91,361.1,361.52,362.19,361.68,363.64,361.22,362.38,360.55,337.63,317.348972148998,335.366309581879,335.366309581879,335.366309581879,335.366309581879,335.366309581879,335.366309581879,335.366309581879,335.366309581879,335.366309581879,371.523838366768
84,362.93,361.13,361.52,362.19,361.66,363.62,361.19,362.35,360.63,337.73,317.382529219345,335.402939292934,335.402939292934,335.402939292934,335.402939292934,335.402939292934,335.402939292934,335.402939292934,335.402939292934,335.402939292934,371.560468077823
85,362.94,361.14,361.52,362.18,361.64,363.58,361.16,362.31,360.7,337.84,317.41608347588,335.439566281803,335.439566281803,335.439566281803,335.439566281803,335.439566281803,335.439566281803,335.439566281803,335.439566281803,335.439566281803,371.597095066691
86,362.94,361.2,361.52,362.15,361.62,363.55,361.13,362.3,360.76,337.94,317.449634918448,335.476190548248,335.476190548248,335.476190548248,335.476190548248,335.476190548248,335.476190548248,335.476190548248,335.476190548248,335.476190548248,371.633719333137
87,362.92,361.23,361.52,362.11,361.6,363.53,361.12,362.27,360.8,338.04,317.483183546898,335.512812092035,335.512812092035,335.512812092035,335.512812092035,335.512812092035,335.512812092035,335.512812092035,335.512812092035,335.512812092035,371.670340876924
88,362.88,361.3,361.53,362.05,361.57,363.51,361.11,362.24,360.78,338.18,317.516729361074,335.549430912928,335.549430912928,335.549430912928,335.549430912928,335.549430912928,335.549430912928,335.549430912928,335.549430912928,335.549430912928,371.706959697817
89,362.85,361.31,361.55,362.01,361.55,363.49,361.08,362.22,360.72,338.3,317.550272360824,335.586047010691,335.586047010691,335.586047010691,335.586047010691,335.586047010691,335.586047010691,335.586047010691,335.586047010691,335.586047010691,371.74357579558
90,362.81,361.29,361.55,361.96,361.52,363.47,361.06,362.22,360.69,338.38,317.583812545993,335.622660385089,335.622660385089,335.622660385089,335.622660385089,335.622660385089,335.622660385089,335.622660385089,335.622660385089,335.622660385089,371.780189169978
91,362.81,361.29,361.56,361.93,361.49,363.46,361.05,362.23,360.66,338.45,317.617349916429,335.659271035886,335.659271035886,335.659271035886,335.659271035886,335.659271035886,335.659271035886,335.659271035886,335.659271035886,335.659271035886,371.816799820774
92,362.78,361.28,361.57,361.88,361.48,363.44,361.0,362.29,360.66,338.5,317.650884471978,335.695878962846,335.695878962846,335.695878962846,335.695878962846,335.695878962846,335.695878962846,335.695878962846,335.695878962846,335.695878962846,371.853407747735
