Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
107,357.85,362.57,360.65,211.9,149.49,106.01,88.42,76.04,65.51,391.11,65.82,365.729623099109,393.343580581814,393.148673753382,384.766212877411,370.404772950921,355.994641497004,344.926466126216,339.255642634661,338.845854851795,338.845854851795,342.436850904278
108,357.83,362.63,360.9,212.11,149.73,106.12,88.43,76.08,65.62,391.22,66.01,365.915006085835,393.553065684453,393.360087026736,384.979931771102,370.607499438583,356.179719853492,345.094996283014,339.415190175525,339.0047667496,339.0047667496,342.595762802083
109,357.81,362.68,361.08,212.27,149.88,106.22,88.43,76.08,65.68,391.25,66.13,366.100057989574,393.762195254136,393.571158264937,385.193386584844,370.810081161339,356.364779906091,345.263608582699,339.574870497292,339.163814904706,339.163814904706,342.754810957189
110,357.8,362.72,361.26,212.3,150.01,106.28,88.43,76.09,65.75,391.31,66.25,366.284779762674,393.970970235493,393.78188829239,385.406577747136,371.012518056499,356.549821148375,345.432302221431,339.734682666122,339.32299837492,339.32299837492,342.913994427404
111,357.79,362.76,361.43,212.35,150.13,106.38,88.42,76.11,65.82,391.34,66.38,366.469172354574,394.179391570339,393.992277930827,385.619505685525,371.214810062445,356.734843076142,345.601076397602,339.894625750046,339.482316219889,339.482316219889,343.073312272372
112,357.78,362.81,361.58,212.39,150.23,106.46,88.43,76.18,65.88,391.56,66.5,366.653236710245,394.387460197771,394.202328001917,385.832170828142,371.416957119442,356.919845187811,345.769930312024,340.054698819098,339.641767501219,339.641767501219,343.232763553703
113,357.76,362.85,361.73,212.47,150.33,106.55,88.5,76.25,65.97,391.88,66.62,366.836973773567,394.595177053926,394.412039321581,386.044573600351,371.618959167878,357.104826983596,345.938863167585,340.214900945141,339.801351282325,339.801351282325,343.392347334809
114,357.75,362.91,361.89,212.62,150.44,106.66,88.59,76.4,66.06,392.17,66.74,367.020384484551,394.802543072257,394.621412704842,386.256714427591,371.820816149688,357.289787966105,346.107874169471,340.375231201977,339.961066628523,339.961066628523,343.552062681007
115,357.74,362.95,362.03,212.84,150.55,106.77,88.7,76.61,66.21,392.59,66.86,367.203469780179,395.009559183389,394.830431551416,386.468593734424,372.0225280079,357.474727640197,346.276962525159,340.535688665381,340.120912607071,340.120912607071,343.711908659554
116,357.72,363.01,362.27,213.02,150.74,106.91,88.78,76.79,66.42,393.03,67.02,367.386230594664,395.216226315214,395.038916203329,386.680211944442,372.224094686521,357.659645512847,346.446127444318,340.696272413026,340.280888287099,340.280888287099,343.871884339583
117,357.69,363.08,362.48,213.13,150.91,106.98,89.02,76.94,66.69,393.31,67.2,367.568667858807,395.422545392813,395.247064723113,386.891569480697,372.425516130811,357.844541093346,346.615368138953,340.856981524616,340.440992739736,340.440992739736,344.03198879222
118,357.69,363.13,362.61,213.39,151.01,107.11,89.21,77.12,66.85,393.62,67.34,367.750782502285,395.628517338506,395.454877918101,387.102666763753,372.626792286155,358.029413892659,346.784683823051,341.017815081649,340.601225037885,340.601225037885,344.192221090368
119,357.68,363.17,362.72,213.66,151.14,107.23,89.35,77.2,66.97,393.69,67.48,367.932575448033,395.834143071942,395.66235659917,387.313504216805,372.827923100872,358.214263424882,346.954073713335,341.1787721679,340.761584256683,340.761584256683,344.352580309167
120,357.66,363.2,362.84,213.92,151.31,107.37,89.5,77.33,67.1,393.5,67.61,368.114047620126,396.039423509992,395.869501568407,387.524082258499,373.028908682079,358.399089205179,347.123537028214,341.339851868782,340.922069472899,340.922069472899,344.513065525383
121,357.66,363.26,363.0,214.16,151.48,107.53,89.68,77.53,67.22,393.51,67.75,368.295199936807,396.244359566789,396.076313629901,387.734401309185,373.229749256117,358.583890751599,347.293072988741,341.501053271959,341.082679765512,341.082679765512,344.673675817996
122,357.65,363.31,363.16,214.41,151.65,107.68,89.85,77.67,67.36,393.81,67.9,368.476033316346,396.448952153731,396.282793580756,387.944461785694,373.430444257814,358.768667583517,347.462680817792,341.662375466837,341.243414215231,341.243414215231,344.834410267715
123,357.63,363.35,363.32,214.66,151.85,107.83,89.96,77.76,67.43,394.04,68.03,368.656548670489,396.653202179628,396.488942221507,388.15426410742,373.630993639442,358.953419223339,347.632359740931,341.823817545096,341.404271905005,341.404271905005,344.995267957489
124,357.62,363.4,363.49,214.83,152.03,107.94,90.09,77.87,67.5,394.02,68.16,368.836746909968,396.857110550457,396.694760347068,388.363808690996,373.831397353228,359.138145195061,347.802108985731,341.985378600314,341.565251919664,341.565251919664,345.156247972148
125,357.6,363.46,363.73,215.09,152.32,108.09,90.27,78.04,67.64,394.0,68.35,369.016628944366,397.060678169548,396.900248747377,388.57309595069,374.031655351486,359.322845024271,347.971927781723,342.147057727909,341.726353345862,341.726353345862,345.317349398345
126,357.59,363.53,363.97,215.34,152.6,108.23,90.46,78.2,67.83,394.08,68.54,369.196195675564,397.263905937658,397.105408217679,388.782126304419,374.231767589936,359.507518239871,348.141815361294,342.308854025716,341.887575272632,341.887575272632,345.478571325116
