Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
372,359.92,358.33,360.84,361.13,361.09,362.99,361.47,362.27,361.31,345.13,319.552002605009,337.771801898602,337.771801898602,337.771801898602,337.771801898602,337.771801898602,337.771801898602,337.771801898602,337.771801898602,337.771801898602,371.541784530338
373,359.94,358.32,360.85,361.11,361.07,362.98,361.43,362.22,361.31,345.16,319.581500411874,337.80402083816,337.80402083816,337.80402083816,337.80402083816,337.80402083816,337.80402083816,337.80402083816,337.80402083816,337.80402083816,371.574003469896
374,359.96,358.3,360.86,361.09,361.05,362.97,361.41,362.2,361.33,345.18,319.610995755361,337.836237357985,337.836237357985,337.836237357985,337.836237357985,337.836237357985,337.836237357985,337.836237357985,337.836237357985,337.836237357985,371.606219989721
375,359.99,358.27,360.86,361.05,361.03,362.97,361.42,362.19,361.33,345.19,319.640488635375,337.868451457917,337.868451457917,337.868451457917,337.868451457917,337.868451457917,337.868451457917,337.868451457917,337.868451457917,337.868451457917,371.638434089653
376,360.01,358.25,360.88,361.03,361.0,362.96,361.45,362.2,361.33,345.21,319.669979051821,337.900663137798,337.900663137798,337.900663137798,337.900663137798,337.900663137798,337.900663137798,337.900663137798,337.900663137798,337.900663137798,371.670645769534
377,360.04,358.23,360.88,360.98,360.96,362.96,361.48,362.22,361.31,345.2,319.6994670046,337.932872397468,337.932872397468,337.932872397468,337.932872397468,337.932872397468,337.932872397468,337.932872397468,337.932872397468,337.932872397468,371.702855029204
378,360.09,358.2,360.89,360.95,360.92,362.96,361.51,362.24,361.3,345.2,319.72895249362,337.965079236768,337.965079236768,337.965079236768,337.965079236768,337.965079236768,337.965079236768,337.965079236768,337.965079236768,337.965079236768,371.735061868504
379,360.13,358.15,360.9,360.91,360.84,362.96,361.55,362.25,361.26,345.17,319.758435518783,337.99728365554,337.99728365554,337.99728365554,337.99728365554,337.99728365554,337.99728365554,337.99728365554,337.99728365554,337.99728365554,371.767266287276
380,360.15,358.13,360.91,360.88,360.78,362.94,361.57,362.25,361.24,345.16,319.787916079993,338.029485653625,338.029485653625,338.029485653625,338.029485653625,338.029485653625,338.029485653625,338.029485653625,338.029485653625,338.029485653625,371.799468285361
381,360.13,358.13,360.92,360.86,360.74,362.92,361.56,362.23,361.24,345.13,319.817394177156,338.061685230863,338.061685230863,338.061685230863,338.061685230863,338.061685230863,338.061685230863,338.061685230863,338.061685230863,338.061685230863,371.831667862598
382,360.13,358.13,360.92,360.89,360.69,362.89,361.52,362.19,361.23,345.11,319.846869810176,338.093882387095,338.093882387095,338.093882387095,338.093882387095,338.093882387095,338.093882387095,338.093882387095,338.093882387095,338.093882387095,371.863865018831
383,360.13,358.14,360.9,360.92,360.65,362.86,361.52,362.16,361.23,345.11,319.876342978956,338.126077122164,338.126077122164,338.126077122164,338.126077122164,338.126077122164,338.126077122164,338.126077122164,338.126077122164,338.126077122164,371.8960597539
384,360.17,358.14,360.9,360.96,360.62,362.84,361.51,362.14,361.2,345.1,319.905813683403,338.15826943591,338.15826943591,338.15826943591,338.15826943591,338.15826943591,338.15826943591,338.15826943591,338.15826943591,338.15826943591,371.928252067646
385,360.23,358.15,360.9,360.99,360.6,362.82,361.49,362.15,361.18,345.1,319.93528192342,338.190459328175,338.190459328175,338.190459328175,338.190459328175,338.190459328175,338.190459328175,338.190459328175,338.190459328175,338.190459328175,371.960441959911
386,360.23,358.16,360.9,361.03,360.58,362.82,361.46,362.17,361.18,345.09,319.964747698912,338.2226467988,338.2226467988,338.2226467988,338.2226467988,338.2226467988,338.2226467988,338.2226467988,338.2226467988,338.2226467988,371.992629430536
387,360.21,358.16,360.89,361.08,360.57,362.83,361.44,362.18,361.18,345.07,319.994211009783,338.254831847627,338.254831847627,338.254831847627,338.254831847627,338.254831847627,338.254831847627,338.254831847627,338.254831847627,338.254831847627,372.024814479363
388,360.19,358.15,360.89,361.11,360.57,362.83,361.38,362.19,361.17,345.04,320.02367185594,338.287014474497,338.287014474497,338.287014474497,338.287014474497,338.287014474497,338.287014474497,338.287014474497,338.287014474497,338.287014474497,372.056997106233
389,360.18,358.14,360.89,361.14,360.57,362.81,361.35,362.16,361.17,345.0,320.053130237286,338.319194679253,338.319194679253,338.319194679253,338.319194679253,338.319194679253,338.319194679253,338.319194679253,338.319194679253,338.319194679253,372.089177310989
390,360.18,358.14,360.9,361.18,360.6,362.82,361.37,362.14,361.13,344.98,320.082586153727,338.351372461735,338.351372461735,338.351372461735,338.351372461735,338.351372461735,338.351372461735,338.351372461735,338.351372461735,338.351372461735,372.121355093471
391,360.17,358.14,360.93,361.21,360.61,362.81,361.41,362.1,361.09,344.96,320.112039605166,338.383547821785,338.383547821785,338.383547821785,338.383547821785,338.383547821785,338.383547821785,338.383547821785,338.383547821785,338.383547821785,372.153530453521
392,360.15,358.14,360.93,361.22,360.63,362.81,361.43,362.07,361.02,344.92,320.141490591511,338.415720759247,338.415720759247,338.415720759247,338.415720759247,338.415720759247,338.415720759247,338.415720759247,338.415720759247,338.415720759247,372.185703390983
393,360.16,358.14,360.93,361.24,360.63,362.8,361.48,362.03,360.96,344.89,320.170939112665,338.44789127396,338.44789127396,338.44789127396,338.44789127396,338.44789127396,338.44789127396,338.44789127396,338.44789127396,338.44789127396,372.217873905696
394,360.15,358.11,360.93,361.25,360.62,362.8,361.5,361.99,360.89,344.85,320.200385168534,338.480059365767,338.480059365767,338.480059365767,338.480059365767,338.480059365767,338.480059365767,338.480059365767,338.480059365767,338.480059365767,372.250041997503
395,360.12,358.09,360.93,361.27,360.6,362.81,361.51,361.99,360.85,344.82,320.229828759023,338.512225034511,338.512225034511,338.512225034511,338.512225034511,338.512225034511,338.512225034511,338.512225034511,338.512225034511,338.512225034511,372.282207666247
396,360.1,358.11,360.94,361.27,360.6,362.83,361.53,362.0,360.83,344.82,320.259269884038,338.544388280033,338.544388280033,338.544388280033,338.544388280033,338.544388280033,338.544388280033,338.544388280033,338.544388280033,338.544388280033,372.314370911769
397,360.08,358.14,360.97,361.27,360.6,362.85,361.62,362.04,360.86,344.82,320.288708543483,338.576549102176,338.576549102176,338.576549102176,338.576549102176,338.576549102176,338.576549102176,338.576549102176,338.576549102176,338.576549102176,372.346531733912
398,360.04,358.15,360.97,361.27,360.59,362.87,361.66,362.07,360.92,344.82,320.318144737265,338.608707500781,338.608707500781,338.608707500781,338.608707500781,338.608707500781,338.608707500781,338.608707500781,338.608707500781,338.608707500781,372.378690132517
399,360.02,358.13,360.99,361.27,360.6,362.9,361.64,362.12,360.95,344.82,320.347578465288,338.640863475692,338.640863475692,338.640863475692,338.640863475692,338.640863475692,338.640863475692,338.640863475692,338.640863475692,338.640863475692,372.410846107428
400,360.01,358.11,360.99,361.27,360.63,362.9,361.64,362.19,360.99,344.82,320.377009727459,338.67301702675,338.67301702675,338.67301702675,338.67301702675,338.67301702675,338.67301702675,338.67301702675,338.67301702675,338.67301702675,372.442999658486
401,360.01,358.1,361.0,361.25,360.65,362.91,361.65,362.24,361.01,344.82,320.406438523682,338.705168153797,338.705168153797,338.705168153797,338.705168153797,338.705168153797,338.705168153797,338.705168153797,338.705168153797,338.705168153797,372.475150785533
402,360.01,358.09,361.0,361.24,360.67,362.91,361.6,362.23,361.04,344.82,320.435864853864,338.737316856676,338.737316856676,338.737316856676,338.737316856676,338.737316856676,338.737316856676,338.737316856676,338.737316856676,338.737316856676,372.507299488412
403,360.02,358.08,361.01,361.23,360.68,362.91,361.55,362.26,361.08,344.83,320.465288717911,338.769463135231,338.769463135231,338.769463135231,338.769463135231,338.769463135231,338.769463135231,338.769463135231,338.769463135231,338.769463135231,372.539445766967
404,360.03,358.09,361.03,361.21,360.7,362.9,361.57,362.32,361.1,344.83,320.494710115727,338.801606989302,338.801606989302,338.801606989302,338.801606989302,338.801606989302,338.801606989302,338.801606989302,338.801606989302,338.801606989302,372.571589621038
405,360.03,358.12,361.04,361.2,360.7,362.9,361.62,362.32,361.06,344.81,320.524129047219,338.833748418734,338.833748418734,338.833748418734,338.833748418734,338.833748418734,338.833748418734,338.833748418734,338.833748418734,338.833748418734,372.60373105047
406,360.05,358.17,361.03,361.19,360.7,362.89,361.69,362.31,360.96,344.75,320.553545512293,338.865887423368,338.865887423368,338.865887423368,338.865887423368,338.865887423368,338.865887423368,338.865887423368,338.865887423368,338.865887423368,372.635870055104
407,360.05,358.23,361.01,361.19,360.69,362.88,361.71,362.29,360.88,344.7,320.582959510856,338.898024003048,338.898024003048,338.898024003048,338.898024003048,338.898024003048,338.898024003048,338.898024003048,338.898024003048,338.898024003048,372.668006634784
408,360.06,358.27,361.01,361.18,360.7,362.88,361.71,362.27,360.84,344.68,320.612371042812,338.930158157616,338.930158157616,338.930158157616,338.930158157616,338.930158157616,338.930158157616,338.930158157616,338.930158157616,338.930158157616,372.700140789352
409,360.06,358.29,361.0,361.18,360.72,362.87,361.71,362.27,360.8,344.66,320.641780108068,338.962289886915,338.962289886915,338.962289886915,338.962289886915,338.962289886915,338.962289886915,338.962289886915,338.962289886915,338.962289886915,372.732272518651
410,360.08,358.31,361.0,361.15,360.75,362.85,361.71,362.26,360.76,344.65,320.671186706531,338.994419190789,338.994419190789,338.994419190789,338.994419190789,338.994419190789,338.994419190789,338.994419190789,338.994419190789,338.994419190789,372.764401822525
411,360.09,358.32,361.0,361.13,360.77,362.84,361.69,362.29,360.72,344.65,320.700590838105,339.026546069079,339.026546069079,339.026546069079,339.026546069079,339.026546069079,339.026546069079,339.026546069079,339.026546069079,339.026546069079,372.796528700815
