Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
378,368.14,366.5,366.69,367.39,360.25,269.96,198.33,341.295409419119,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,415.344170097161,0.084,25900,3,0.98
379,368.16,366.58,366.68,367.39,360.24,269.98,198.11,341.364276730328,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,415.421299902215,0.084,25900,3,0.98
380,368.22,366.65,366.71,367.44,360.22,270.08,198.13,341.433128798597,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,415.498414487491,0.084,25900,3,0.98
381,368.29,366.65,366.76,367.49,360.22,270.16,197.94,341.501965623279,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,415.575513851244,0.084,25900,3,0.98
382,368.34,366.67,366.79,367.51,360.24,270.22,197.71,341.570787203729,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,415.652597991727,0.084,25900,3,0.98
383,368.34,366.7,366.81,367.53,360.27,270.34,197.59,341.639593539304,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,415.729666907198,0.084,25900,3,0.98
384,368.31,366.69,366.84,367.53,360.29,270.42,197.44,341.708384629363,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,415.806720595916,0.084,25900,3,0.98
385,368.25,366.66,366.89,367.54,360.33,270.52,197.4,341.777160473268,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,415.883759056145,0.084,25900,3,0.98
386,368.22,366.7,366.95,367.57,360.39,270.65,197.48,341.845921070383,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,415.960782286149,0.084,25900,3,0.98
387,368.21,366.77,367.03,367.61,360.43,270.75,197.55,341.914666420073,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,416.037790284194,0.084,25900,3,0.98
388,368.16,366.87,367.13,367.7,360.5,270.8,197.96,341.983396521707,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,416.11478304855,0.084,25900,3,0.98
