Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
318,372.67,370.86,335.13,208.08,6.27,414.980723173509,449.487337481373,449.487337481373,449.487337481373,449.487337481373,449.487337481373,449.487337481373,449.487337481373,449.487337481373,449.487337481373,504.428989642322,0.0375,25900,3,0.98
319,372.73,371.03,335.38,207.84,5.98,415.093003097656,449.616514822488,449.616514822488,449.616514822488,449.616514822488,449.616514822488,449.616514822488,449.616514822488,449.616514822488,449.616514822488,504.558166983436,0.0375,25900,3,0.98
320,372.68,371.22,335.5,207.84,6.39,415.205210369666,449.745614087817,449.745614087817,449.745614087817,449.745614087817,449.745614087817,449.745614087817,449.745614087817,449.745614087817,449.745614087817,504.687266248765,0.0375,25900,3,0.98
321,372.62,371.39,335.55,207.86,5.79,415.317345008794,449.874635289713,449.874635289713,449.874635289713,449.874635289713,449.874635289713,449.874635289713,449.874635289713,449.874635289713,449.874635289713,504.816287450661,0.0375,25900,3,0.98
322,372.59,371.56,335.64,208.03,9.05,415.429407034332,450.003578440577,450.003578440577,450.003578440577,450.003578440577,450.003578440577,450.003578440577,450.003578440577,450.003578440577,450.003578440577,504.945230601525,0.0375,25900,3,0.98
323,372.55,371.49,335.72,208.27,5.66,415.541396465603,450.132443552857,450.132443552857,450.132443552857,450.132443552857,450.132443552857,450.132443552857,450.132443552857,450.132443552857,450.132443552857,505.074095713806,0.0375,25900,3,0.98
324,372.54,371.5,335.81,208.2,5.9,415.653313321972,450.261230639053,450.261230639053,450.261230639053,450.261230639053,450.261230639053,450.261230639053,450.261230639053,450.261230639053,450.261230639053,505.202882800001,0.0375,25900,3,0.98
325,372.47,371.64,335.89,208.24,6.11,415.765157622833,450.389939711708,450.389939711708,450.389939711708,450.389939711708,450.389939711708,450.389939711708,450.389939711708,450.389939711708,450.389939711708,505.331591872656,0.0375,25900,3,0.98
326,372.39,371.74,336.0,208.23,5.25,415.876929387621,450.518570783417,450.518570783417,450.518570783417,450.518570783417,450.518570783417,450.518570783417,450.518570783417,450.518570783417,450.518570783417,505.460222944365,0.0375,25900,3,0.98
327,372.36,371.78,336.1,208.46,11.01,415.988628635802,450.64712386682,450.64712386682,450.64712386682,450.64712386682,450.64712386682,450.64712386682,450.64712386682,450.64712386682,450.64712386682,505.588776027769,0.0375,25900,3,0.98
328,372.45,371.83,336.18,208.49,4.22,416.100255386881,450.775598974609,450.775598974609,450.775598974609,450.775598974609,450.775598974609,450.775598974609,450.775598974609,450.775598974609,450.775598974609,505.717251135557,0.0375,25900,3,0.98
329,372.6,371.89,336.26,208.31,6.29,416.211809660396,450.90399611952,450.90399611952,450.90399611952,450.90399611952,450.90399611952,450.90399611952,450.90399611952,450.90399611952,450.90399611952,505.845648280468,0.0375,25900,3,0.98
330,372.75,372.0,336.33,208.24,4.96,416.323291475922,451.032315314338,451.032315314338,451.032315314338,451.032315314338,451.032315314338,451.032315314338,451.032315314338,451.032315314338,451.032315314338,505.973967475286,0.0375,25900,3,0.98
331,372.82,372.13,336.34,208.35,7.31,416.434700853067,451.160556571897,451.160556571897,451.160556571897,451.160556571897,451.160556571897,451.160556571897,451.160556571897,451.160556571897,451.160556571897,506.102208732845,0.0375,25900,3,0.98
332,372.88,372.26,336.51,208.41,14.55,416.546037811475,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,506.230372066026,0.0375,25900,3,0.98
333,372.99,372.35,336.72,208.66,7.23,416.657302370827,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,506.358457487756,0.0375,25900,3,0.98
334,373.07,372.39,336.75,208.68,5.72,416.768494550836,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,506.486465011014,0.0375,25900,3,0.98
335,373.13,372.41,336.64,208.69,4.04,416.879614371253,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,506.614394648822,0.0375,25900,3,0.98
336,373.15,372.4,336.51,209.02,7.59,416.990661851861,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,506.742246414252,0.0375,25900,3,0.98
337,373.14,372.4,336.37,209.28,13.54,417.10163701248,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,506.870020320423,0.0375,25900,3,0.98
338,373.12,372.46,336.32,209.37,12.48,417.212539872963,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,506.997716380501,0.0375,25900,3,0.98
339,373.13,372.49,336.25,209.7,9.66,417.323370453201,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,507.1253346077,0.0375,25900,3,0.98
