Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
308,351.97,353.43,358.27,370.11,381.51,283.27,210.67,411.242846480995,445.199888323906,421.113538080539,378.305967740441,344.022879682646,322.711222418076,311.168481006038,305.461839395392,303.002460246143,302.556844747176,302.763072503804,0.084,25900,90,0.98
309,351.95,353.41,358.28,370.14,381.54,283.31,210.88,411.341061641058,445.312903645358,421.238899823022,378.412549335952,344.097080448615,322.755660951607,311.192485826659,305.47434739544,303.009817976925,302.563289403882,302.769517160511,0.084,25900,90,0.98
310,351.93,353.41,358.28,370.18,381.59,283.47,211.06,411.439137070192,445.425763845688,421.364136896335,378.519074004917,344.17127979806,322.800121708791,311.216513566567,305.486871775406,303.017187225404,302.569744577436,302.775972334065,0.084,25900,90,0.98
311,351.91,353.4,358.29,370.21,381.64,283.71,211.27,411.537073036973,445.538469184743,421.489249419821,378.625541701262,344.2454776231,322.844604615018,311.240564202547,305.499412539486,303.024568003152,302.576210280106,302.782438036735,0.084,25900,90,0.98
312,351.91,353.4,358.31,370.26,381.69,283.96,211.48,411.634869797009,445.651019942152,421.614237523417,378.731952383295,344.319673817444,322.889109596051,311.264637711371,305.511969691821,303.031960321723,302.582686524152,302.788914280781,0.084,25900,90,0.98
313,351.87,353.39,358.31,370.29,381.77,284.2,211.84,411.732527618053,445.763416376072,421.739101326118,378.838368403584,344.393868273895,322.933636577398,311.288734069655,305.52454323647,303.039364192643,302.589173321816,302.795401078444,0.084,25900,90,0.98
314,351.83,353.37,358.31,370.33,381.84,284.4,212.24,411.830046743371,445.87565878365,421.863840967667,378.944743207512,344.468060888016,322.978185485231,311.312853254055,305.537133177449,303.046779627418,302.595670685329,302.801898441958,0.084,25900,90,0.98
315,351.83,353.37,358.32,370.37,381.92,284.55,212.55,411.927427445333,445.987747412314,421.988456561989,379.051060707413,344.54225155275,323.022756245053,311.336995241001,305.549739518681,303.054206637532,302.602178626913,302.808406383542,0.084,25900,90,0.98
316,351.8,353.36,358.32,370.41,381.98,284.63,212.74,412.024669974915,446.099682543209,422.112948240972,379.157320863846,344.616440163498,323.067348782956,311.361160006947,305.562362264042,303.061645234445,302.608697158777,302.814924915405,0.084,25900,90,0.98
317,351.78,353.35,358.33,370.45,382.05,284.73,212.86,412.121774590579,446.211464443759,422.237316129604,379.263523635223,344.690626615202,323.111963024894,311.385347528224,305.575001417334,303.069095429596,302.615226293115,302.821454049743,0.084,25900,90,0.98
318,351.77,353.35,358.34,370.48,382.11,284.83,212.98,412.218741552242,446.323093377496,422.361560351103,379.369668979763,344.764810802983,323.156598896849,311.409557781073,305.587656982286,303.076557234397,302.621766042107,302.827993798736,0.084,25900,90,0.98
319,351.76,353.33,358.35,370.52,382.17,284.87,213.07,412.315571114967,446.434569614196,422.485681032191,379.47575685737,344.838992622703,323.201256324968,311.433790741683,305.600328962574,303.084030660241,302.628316417926,302.834544174554,0.084,25900,90,0.98
320,351.72,353.31,358.34,370.56,382.22,284.91,213.21,412.412263527984,446.545893432227,422.609678304555,379.581787230262,344.913171971177,323.245935235615,311.458046386185,305.613017361806,303.091515718496,302.634877432725,302.841105189354,0.084,25900,90,0.98
