Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
523,363.14,379.48,370.63,221.99,374.0,422.628982058422,458.299306771538,458.299375471208,454.640320284775,442.161934813626,427.348536291814,415.032434427883,408.50597652535,408.032264622984,408.032264622984,411.623260675468,0.0375,25900,100,0.98
524,363.15,379.41,370.03,221.42,372.97,422.731035645326,458.417056653075,458.41711690271,454.77082038419,442.305336124579,427.500298254128,415.188947817034,408.664455840185,408.19087208518,408.19087208518,411.781868137663,0.0375,25900,100,0.98
525,363.17,379.32,369.44,220.82,371.98,422.832970753718,458.534674738461,458.534727042145,454.901049319758,442.448608225798,427.651948503936,415.345366489819,408.822849801074,408.349394860389,408.349394860389,411.940390912872,0.0375,25900,100,0.98
526,363.19,379.24,368.86,220.21,371.0,422.934787611868,458.652161283804,458.652206158454,455.031141022918,442.591736852692,427.803487008192,415.50169031594,408.981158228345,408.507832765524,408.507832765524,412.098828818008,0.0375,25900,100,0.98
527,363.19,379.15,368.27,219.58,370.03,423.036486450068,458.769516545012,458.769554516189,455.161095697068,442.73472208975,427.954913732432,415.657919164451,409.139380942041,408.666185617236,408.666185617236,412.257181669719,0.0375,25900,100,0.98
528,363.2,379.06,367.68,219.02,369.23,423.138067495183,458.886740776448,458.886772382161,455.290913548395,442.877578380101,428.106228644486,415.814052906703,409.297517764521,408.82445323449,408.82445323449,412.415449286973,0.0375,25900,100,0.98
529,363.22,378.92,366.82,218.48,368.78,423.239530976632,459.003834232465,459.003860018298,455.420594778456,443.020305809906,428.257442103556,415.97009141336,409.455568517871,408.98263543601,408.98263543601,412.573631488494,0.0375,25900,100,0.98
530,363.22,378.78,365.95,218.07,368.59,423.340877119467,459.120797165823,459.120817690413,455.55013959331,443.162904468961,428.408557530144,416.126034557978,409.613533026971,409.140732043307,409.140732043307,412.73172809579,0.0375,25900,100,0.98
531,363.24,378.68,365.4,217.51,368.2,423.442106150957,459.237629828991,459.237645659335,455.679548194251,443.305374444039,428.559561020321,416.281882213371,409.771411116389,409.298742877608,409.298742877608,412.889738930091,0.0375,25900,100,0.98
532,363.24,378.59,364.85,216.98,367.63,423.56465636168,459.379069926425,459.379069926425,455.777426169207,443.425064095648,428.694080839978,416.425201059553,409.918541830857,409.446125643698,409.446125643698,413.037121696182,0.0375,25900,100,0.98
