Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
92,362.2,361.78,363.18,364.85,358.11,341.277675293556,365.840463195184,365.841157515157,365.841851835129,365.842546155101,365.220281518294,365.13330678379,365.13330678379,365.13330678379,365.13330678379,377.509828980407,0.084,25900,25,0.98
93,362.21,361.75,363.19,364.87,358.13,341.345680347294,365.91659685912,365.917254103288,365.917911347455,365.918568591622,365.298943734876,365.212106033329,365.212106033329,365.212106033329,365.212106033329,377.588628229946,0.084,25900,25,0.98
94,362.23,361.72,363.2,364.88,358.13,341.413658630425,365.992703145111,365.993324303978,365.993945462846,365.994566621714,365.377574944406,365.290874490018,365.290874490018,365.290874490018,365.290874490018,377.667396686635,0.084,25900,25,0.98
95,362.25,361.67,363.21,364.89,358.14,341.481610147024,366.068782057854,366.069368124406,366.069954190958,366.07054025751,365.456175161165,365.369612167065,365.369612167065,365.369612167065,365.369612167065,377.746134363682,0.084,25900,25,0.98
96,362.27,361.64,363.22,364.9,358.14,341.549534901204,366.144833602046,366.145385571691,366.145937541336,366.14648951098,365.534744399416,365.448319077663,365.448319077663,365.448319077663,365.448319077663,377.824841274279,0.084,25900,25,0.98
97,362.29,361.63,363.24,364.9,358.12,341.617432897064,366.220857782399,366.221376653,366.2218955236,366.2224143942,365.613282673622,365.526995235197,365.526995235197,365.526995235197,365.526995235197,377.903517431814,0.084,25900,25,0.98
98,362.32,361.65,363.28,364.92,358.07,341.685304138747,366.296854603619,366.297341375429,366.29782814724,366.29831491905,365.691789998206,365.605640653015,365.605640653015,365.605640653015,365.605640653015,377.982162849632,0.084,25900,25,0.98
99,362.34,361.71,363.3,364.92,358.04,341.753148630404,366.37282407042,366.373279746083,366.373735421747,366.37419109741,365.770266387701,365.684255344573,365.684255344573,365.684255344573,365.684255344573,378.06077754119,0.084,25900,25,0.98
100,362.34,361.77,363.32,364.94,358.02,341.820966376199,366.448766187522,366.449191772055,366.449617356588,366.450042941121,365.848712922022,365.762839323408,365.762839323408,365.762839323408,365.762839323408,378.139361520025,0.084,25900,25,0.98
101,362.34,361.79,363.34,364.95,357.99,341.888757380318,366.524680959648,366.525077460416,366.525473961184,366.525870461953,365.927129660194,365.84139260311,365.84139260311,365.84139260311,365.84139260311,378.217914799727,0.084,25900,25,0.98
102,362.36,361.81,363.38,364.96,357.99,341.956521647009,366.600568391514,366.600936818132,366.601305244751,366.601673671369,366.005515496139,365.919915197134,365.919915197134,365.919915197134,365.919915197134,378.296437393751,0.084,25900,25,0.98
103,362.38,361.81,363.42,364.98,358.01,342.024259180362,366.676428487889,366.676769852511,366.677111217132,366.677452581753,366.083870445256,365.998407119778,365.998407119778,365.998407119778,365.998407119778,378.374929316395,0.084,25900,25,0.98
104,362.41,361.81,363.46,365.0,358.02,342.091969984742,366.752261253476,366.752576570323,366.75289188717,366.753207204016,366.162194521859,366.07686838427,366.07686838427,366.07686838427,366.07686838427,378.453390580887,0.084,25900,25,0.98
105,362.41,361.83,363.5,365.02,358.04,342.159654064362,366.82806669303,366.828356978668,366.828647264307,366.828937549945,366.240487741083,366.155299004647,366.155299004647,366.155299004647,366.155299004647,378.531821201264,0.084,25900,25,0.98
106,362.42,361.85,363.54,365.05,358.06,342.227311423497,366.903844811298,366.904111084545,366.904377357792,366.904643631039,366.318750117937,366.233698994822,366.233698994822,366.233698994822,366.233698994822,378.610221191439,0.084,25900,25,0.98
107,362.42,361.85,363.56,365.08,358.13,342.294942066435,366.979595613033,366.97983889494,366.980082176848,366.980325458756,366.396981667503,366.312068368779,366.312068368779,366.312068368779,366.312068368779,378.688590565396,0.084,25900,25,0.98
108,362.43,361.83,363.59,365.1,358.21,342.362545997484,367.055319102995,367.055540416832,367.05576173067,367.055983044507,366.475182404935,366.39040714057,366.39040714057,366.39040714057,366.39040714057,378.766929337187,0.084,25900,25,0.98
109,362.45,361.81,363.61,365.12,358.28,342.43012322097,367.131015285948,367.131215657177,367.131416028406,367.131616399635,366.553352345435,366.468715324297,366.468715324297,366.468715324297,366.468715324297,378.845237520914,0.084,25900,25,0.98
110,362.47,361.8,363.63,365.17,358.35,342.497673741237,367.20668416666,367.206864622919,367.207045079179,367.207225535438,366.631491504273,366.546992934127,366.546992934127,366.546992934127,366.546992934127,378.923515130744,0.084,25900,25,0.98
111,362.5,361.78,363.65,365.2,358.44,342.565197562643,367.282325749907,367.282487320996,367.282648892085,367.282810463174,366.709599896793,366.625239984299,366.625239984299,366.625239984299,366.625239984299,379.001762180916,0.084,25900,25,0.98
112,362.51,361.8,363.66,365.23,358.52,342.632694689567,367.35794004047,367.358083758329,367.358227476189,367.358371194048,366.787679645661,366.703456489111,366.703456489111,366.703456489111,366.703456489111,379.079978685728,0.084,25900,25,0.98
113,362.55,361.83,363.68,365.27,358.61,342.700165126405,367.433527043135,367.433653941823,367.43378084051,367.433907739198,366.865728669992,366.781642462909,366.781642462909,366.781642462909,366.781642462909,379.158164659526,0.084,25900,25,0.98
114,362.57,361.87,363.69,365.31,358.68,342.767608877571,367.509086762694,367.50919787837,367.509308994046,367.509420109723,366.94374696342,366.859797920106,366.859797920106,366.859797920106,366.859797920106,379.236320116723,0.084,25900,25,0.98
115,362.6,361.89,363.71,365.32,358.73,342.835025947496,367.584619203944,367.584715574857,367.584811945769,367.584908316682,367.021734541547,366.937922875184,366.937922875184,366.937922875184,366.937922875184,379.314445071801,0.084,25900,25,0.98
116,362.62,361.93,363.73,365.36,358.82,342.902416340628,367.66012437169,367.660207038151,367.660289704612,367.660372371074,367.099691420026,367.016017342675,367.016017342675,367.016017342675,367.016017342675,379.392539539292,0.084,25900,25,0.98
117,362.63,361.96,363.76,365.38,358.92,342.969780061434,367.73560227074,367.735672275111,367.735742279482,367.735812283852,367.177617614576,367.094081337173,367.094081337173,367.094081337173,367.094081337173,379.47060353379,0.084,25900,25,0.98
118,362.6,361.99,363.81,365.41,358.99,343.037117114396,367.811052905913,367.811111292584,367.811169679256,367.811228065927,367.255513140977,367.172114873333,367.172114873333,367.172114873333,367.172114873333,379.54863706995,0.084,25900,25,0.98
119,362.6,362.03,363.84,365.42,359.07,343.104427504018,367.886476282028,367.886524097402,367.886571912775,367.886619728149,367.333378015062,367.25011796586,367.25011796586,367.25011796586,367.25011796586,379.626640162477,0.084,25900,25,0.98
120,362.6,362.07,363.89,365.44,359.13,343.180772614921,367.971996516216,367.971996516216,367.971996516216,367.971996516216,367.369260024185,367.286787390686,367.286787390686,367.286787390686,367.286787390686,379.663309587303,0.084,25900,25,0.98
121,362.59,362.11,363.91,365.46,359.18,343.246931853813,368.046142102727,368.046142102727,368.046142102727,368.046142102727,367.452111520203,367.369697488137,367.369697488137,367.369697488137,367.369697488137,379.746219684754,0.084,25900,25,0.98
122,362.61,362.15,363.95,365.47,359.24,343.31306235538,368.120257196784,368.120257196784,368.120257196784,368.120257196784,367.534952140858,367.452596731041,367.452596731041,367.452596731041,367.452596731041,379.829118927658,0.084,25900,25,0.98
123,362.62,362.18,363.97,365.48,359.27,343.379164131244,368.194341809361,368.194341809361,368.194341809361,368.194341809361,367.617781897056,367.535485132618,367.535485132618,367.535485132618,367.535485132618,379.912007329235,0.084,25900,25,0.98
124,362.63,362.2,363.99,365.49,359.29,343.445237193021,368.268395951432,368.268395951432,368.268395951432,368.268395951432,367.700600792627,367.618362696604,367.618362696604,367.618362696604,367.618362696604,379.994884893221,0.084,25900,25,0.98
125,362.66,362.17,363.98,365.51,359.31,343.511281552332,368.342419633971,368.342419633971,368.342419633971,368.342419633971,367.783408831395,367.701229426733,367.701229426733,367.701229426733,367.701229426733,380.07775162335,0.084,25900,25,0.98
126,362.71,362.15,363.97,365.54,359.34,343.57729722079,368.416412867951,368.416412867951,368.416412867951,368.416412867951,367.866206017183,367.78408532674,367.78408532674,367.78408532674,367.78408532674,380.160607523357,0.084,25900,25,0.98
127,362.74,362.14,363.96,365.57,359.36,343.64328421001,368.490375664347,368.490375664347,368.490375664347,368.490375664347,367.948992353812,367.866930400353,367.866930400353,367.866930400353,367.866930400353,380.24345259697,0.084,25900,25,0.98
128,362.75,362.16,363.93,365.61,359.36,343.709242531606,368.564308034132,368.564308034132,368.564308034132,368.564308034132,368.031767845099,367.949764651301,367.949764651301,367.949764651301,367.949764651301,380.326286847918,0.084,25900,25,0.98
129,362.77,362.17,363.93,365.63,359.35,343.775172197189,368.639473647592,368.641035727538,368.642597807485,368.644159887431,368.114532494862,368.032588083311,368.032588083311,368.032588083311,368.032588083311,380.409110279928,0.084,25900,25,0.98
130,362.79,362.19,363.94,365.67,359.32,343.84201538426,368.714649176822,368.716517589461,368.7183860021,368.720254414738,368.192886047473,368.111067548245,368.111067548245,368.111067548245,368.111067548245,380.487589744862,0.084,25900,25,0.98
