Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
405,365.36,363.97,365.97,366.43,366.31,368.57,367.77,368.79,369.36,355.63,324.521436621255,343.203491767905,343.203491767905,343.203491767905,343.203491767905,343.203491767905,343.203491767905,343.203491767905,343.203491767905,343.203491767905,385.145996566195,0.1575,25900,3,0.76
406,365.38,364.02,366.0,366.44,366.33,368.56,367.78,368.84,369.39,355.66,324.564106114286,343.250163849126,343.250163849126,343.250163849126,343.250163849126,343.250163849126,343.250163849126,343.250163849126,343.250163849126,343.250163849126,385.192668647417,0.1575,25900,3,0.76
407,365.38,364.01,366.02,366.46,366.35,368.58,367.83,368.85,369.4,355.69,324.606771803322,343.296832341101,343.296832341101,343.296832341101,343.296832341101,343.296832341101,343.296832341101,343.296832341101,343.296832341101,343.296832341101,385.239337139392,0.1575,25900,3,0.76
408,365.38,364.01,366.05,366.49,366.38,368.61,367.86,368.87,369.41,355.71,324.649433688056,343.343497243381,343.343497243381,343.343497243381,343.343497243381,343.343497243381,343.343497243381,343.343497243381,343.343497243381,343.343497243381,385.286002041672,0.1575,25900,3,0.76
409,365.38,364.0,366.05,366.49,366.39,368.62,367.87,368.89,369.43,355.72,324.69209176818,343.390158555517,343.390158555517,343.390158555517,343.390158555517,343.390158555517,343.390158555517,343.390158555517,343.390158555517,343.390158555517,385.332663353808,0.1575,25900,3,0.76
410,365.42,363.99,366.07,366.51,366.41,368.63,367.9,368.92,369.45,355.73,324.734746043387,343.436816277062,343.436816277062,343.436816277062,343.436816277062,343.436816277062,343.436816277062,343.436816277062,343.436816277062,343.436816277062,385.379321075352,0.1575,25900,3,0.76
411,365.47,363.97,366.08,366.53,366.42,368.65,367.9,368.93,369.49,355.76,324.777396513368,343.483470407565,343.483470407565,343.483470407565,343.483470407565,343.483470407565,343.483470407565,343.483470407565,343.483470407565,343.483470407565,385.425975205855,0.1575,25900,3,0.76
412,365.52,363.94,366.1,366.58,366.42,368.67,367.87,368.98,369.51,355.77,324.820043177818,343.530120946579,343.530120946579,343.530120946579,343.530120946579,343.530120946579,343.530120946579,343.530120946579,343.530120946579,343.530120946579,385.47262574487,0.1575,25900,3,0.76
413,365.55,363.92,366.11,366.59,366.42,368.68,367.87,369.0,369.55,355.8,324.862686036428,343.576767893657,343.576767893657,343.576767893657,343.576767893657,343.576767893657,343.576767893657,343.576767893657,343.576767893657,343.576767893657,385.519272691947,0.1575,25900,3,0.76
414,365.57,363.93,366.12,366.6,366.43,368.69,367.88,369.0,369.57,355.83,324.905325088892,343.623411248349,343.623411248349,343.623411248349,343.623411248349,343.623411248349,343.623411248349,343.623411248349,343.623411248349,343.623411248349,385.56591604664,0.1575,25900,3,0.76
