Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
446,366.1,363.44,366.88,366.94,360.81,372.407667206048,400.89658168624,400.89658168624,400.89658168624,400.89658168624,400.89658168624,400.89658168624,400.89658168624,400.89658168624,400.89658168624,450.380988212684,0.084,25900,3,0.98
447,366.02,363.35,366.89,366.93,360.8,372.46922931661,400.966296806537,400.966296806537,400.966296806537,400.966296806537,400.966296806537,400.966296806537,400.966296806537,400.966296806537,400.966296806537,450.450703332981,0.084,25900,3,0.98
448,366.05,363.32,366.89,366.92,360.8,372.530776121443,401.03599614885,401.03599614885,401.03599614885,401.03599614885,401.03599614885,401.03599614885,401.03599614885,401.03599614885,401.03599614885,450.520402675294,0.084,25900,3,0.98
449,366.1,363.29,366.86,366.9,360.78,372.59230762092,401.105679712589,401.105679712589,401.105679712589,401.105679712589,401.105679712589,401.105679712589,401.105679712589,401.105679712589,401.105679712589,450.590086239033,0.084,25900,3,0.98
450,366.15,363.26,366.86,366.88,360.79,372.653823815416,401.175347497169,401.175347497169,401.175347497169,401.175347497169,401.175347497169,401.175347497169,401.175347497169,401.175347497169,401.175347497169,450.659754023613,0.084,25900,3,0.98
451,366.13,363.27,366.84,366.85,360.77,372.715324705307,401.244999502003,401.244999502003,401.244999502003,401.244999502003,401.244999502003,401.244999502003,401.244999502003,401.244999502003,401.244999502003,450.729406028447,0.084,25900,3,0.98
452,366.1,363.31,366.81,366.83,360.77,372.776810290972,401.31463572651,401.31463572651,401.31463572651,401.31463572651,401.31463572651,401.31463572651,401.31463572651,401.31463572651,401.31463572651,450.799042252954,0.084,25900,3,0.98
453,366.1,363.35,366.79,366.81,360.77,372.838280572793,401.38425617011,401.38425617011,401.38425617011,401.38425617011,401.38425617011,401.38425617011,401.38425617011,401.38425617011,401.38425617011,450.868662696554,0.084,25900,3,0.98
454,366.12,363.42,366.78,366.8,360.77,372.899735551151,401.453860832225,401.453860832225,401.453860832225,401.453860832225,401.453860832225,401.453860832225,401.453860832225,401.453860832225,401.453860832225,450.938267358669,0.084,25900,3,0.98
455,366.13,363.48,366.8,366.77,360.78,372.961175226433,401.523449712281,401.523449712281,401.523449712281,401.523449712281,401.523449712281,401.523449712281,401.523449712281,401.523449712281,401.523449712281,451.007856238725,0.084,25900,3,0.98
456,366.11,363.58,366.85,366.76,360.77,373.022599599025,401.593022809704,401.593022809704,401.593022809704,401.593022809704,401.593022809704,401.593022809704,401.593022809704,401.593022809704,401.593022809704,451.077429336148,0.084,25900,3,0.98
457,366.05,363.66,366.88,366.77,360.73,373.084008669316,401.662580123925,401.662580123925,401.662580123925,401.662580123925,401.662580123925,401.662580123925,401.662580123925,401.662580123925,401.662580123925,451.146986650369,0.084,25900,3,0.98
458,366.0,363.67,366.89,366.79,360.71,373.145402437696,401.732121654375,401.732121654375,401.732121654375,401.732121654375,401.732121654375,401.732121654375,401.732121654375,401.732121654375,401.732121654375,451.216528180819,0.084,25900,3,0.98
459,366.09,363.7,366.91,366.81,360.69,373.20678090456,401.80164740049,401.80164740049,401.80164740049,401.80164740049,401.80164740049,401.80164740049,401.80164740049,401.80164740049,401.80164740049,451.286053926934,0.084,25900,3,0.98
460,366.11,363.71,366.92,366.82,360.69,373.268144070302,401.871157361706,401.871157361706,401.871157361706,401.871157361706,401.871157361706,401.871157361706,401.871157361706,401.871157361706,401.871157361706,451.35556388815,0.084,25900,3,0.98
461,366.15,363.75,366.93,366.85,360.68,373.329491935319,401.940651537463,401.940651537463,401.940651537463,401.940651537463,401.940651537463,401.940651537463,401.940651537463,401.940651537463,401.940651537463,451.425058063907,0.084,25900,3,0.98
462,366.16,363.8,366.95,366.88,360.67,373.390824500011,402.010129927202,402.010129927202,402.010129927202,402.010129927202,402.010129927202,402.010129927202,402.010129927202,402.010129927202,402.010129927202,451.494536453646,0.084,25900,3,0.98
463,366.23,363.81,366.94,366.87,360.66,373.452141764779,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,451.563999056812,0.084,25900,3,0.98
464,366.32,363.81,366.95,366.86,360.67,373.513443730025,402.149039346408,402.149039346408,402.149039346408,402.149039346408,402.149039346408,402.149039346408,402.149039346408,402.149039346408,402.149039346408,451.633445872852,0.084,25900,3,0.98
465,366.46,363.75,366.99,366.91,360.75,373.574730396156,402.21847037477,402.21847037477,402.21847037477,402.21847037477,402.21847037477,402.21847037477,402.21847037477,402.21847037477,402.21847037477,451.702876901214,0.084,25900,3,0.98
466,366.54,363.68,367.03,366.95,360.88,373.636001763577,402.287885614906,402.287885614906,402.287885614906,402.287885614906,402.287885614906,402.287885614906,402.287885614906,402.287885614906,402.287885614906,451.77229214135,0.084,25900,3,0.98
467,366.52,363.68,367.06,366.94,360.99,373.6972578327,402.35728506627,402.35728506627,402.35728506627,402.35728506627,402.35728506627,402.35728506627,402.35728506627,402.35728506627,402.35728506627,451.841691592714,0.084,25900,3,0.98
468,366.51,363.7,367.09,366.89,361.07,373.758498603935,402.426668728318,402.426668728318,402.426668728318,402.426668728318,402.426668728318,402.426668728318,402.426668728318,402.426668728318,402.426668728318,451.911075254762,0.084,25900,3,0.98
