time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
183,353.72,353.14,356.54,357.69,357.46,359.6,358.09,359.49,374.0,387.31,377.2
184,353.71,353.11,356.53,357.68,357.45,359.59,358.08,359.49,374.07,387.65,377.29
185,353.67,353.08,356.51,357.66,357.44,359.58,358.08,359.5,374.15,388.06,377.38
186,353.66,353.06,356.5,357.64,357.43,359.57,358.08,359.51,374.21,388.32,377.46
187,353.62,353.01,356.48,357.64,357.42,359.57,358.07,359.51,374.32,388.46,377.6
188,353.57,352.96,356.44,357.63,357.4,359.57,358.06,359.52,374.4,388.78,377.76
189,353.54,352.92,356.41,357.61,357.38,359.55,358.05,359.52,374.46,389.17,377.87
190,353.52,352.89,356.4,357.6,357.37,359.54,358.05,359.53,374.52,389.45,378.01
191,353.5,352.86,356.39,357.58,357.37,359.53,358.05,359.53,374.59,389.84,378.13
192,353.47,352.85,356.38,357.57,357.37,359.53,358.05,359.54,374.67,390.2,378.26
193,353.45,352.81,356.36,357.55,357.35,359.51,358.05,359.54,374.75,390.25,378.39
194,353.43,352.77,356.34,357.53,357.34,359.5,358.05,359.55,374.81,390.2,378.53
195,353.4,352.75,356.33,357.52,357.34,359.5,358.04,359.55,374.87,390.08,378.66
196,353.36,352.71,356.3,357.51,357.31,359.49,358.04,359.56,374.97,390.02,378.83
197,353.32,352.66,356.28,357.49,357.3,359.48,358.04,359.56,375.08,390.11,378.99
198,353.31,352.64,356.27,357.47,357.29,359.46,358.04,359.57,375.15,390.27,379.09
199,353.29,352.6,356.26,357.46,357.29,359.46,358.04,359.58,375.21,390.23,379.2
200,353.26,352.58,356.24,357.45,357.27,359.45,358.03,359.58,375.27,390.43,379.31
201,353.23,352.54,356.22,357.43,357.27,359.44,358.04,359.59,375.35,390.83,379.43
202,353.21,352.52,356.2,357.41,357.26,359.43,358.04,359.61,375.41,391.16,379.54
203,353.19,352.49,356.19,357.4,357.25,359.42,358.04,359.61,375.48,391.13,379.66
204,353.17,352.46,356.17,357.39,357.24,359.42,358.03,359.62,375.53,390.91,379.74
205,353.13,352.42,356.14,357.38,357.22,359.41,358.03,359.63,375.64,391.12,379.88
206,353.09,352.36,356.12,357.36,357.21,359.39,358.02,359.63,375.74,391.31,380.01
207,353.07,352.33,356.1,357.34,357.19,359.38,358.01,359.63,375.8,391.42,380.11
208,353.05,352.31,356.09,357.33,357.18,359.37,358.01,359.63,375.86,391.49,380.21
209,353.02,352.27,356.06,357.31,357.17,359.36,358.0,359.65,375.92,391.49,380.32
210,353.0,352.25,356.05,357.3,357.16,359.34,357.99,359.66,375.99,391.33,380.4
211,352.97,352.22,356.03,357.29,357.15,359.34,357.99,359.66,376.05,391.01,380.47
212,352.95,352.2,356.01,357.28,357.14,359.33,357.98,359.67,376.11,390.87,380.55
213,352.93,352.17,356.0,357.27,357.14,359.32,357.98,359.68,376.18,391.22,380.61
214,352.89,352.13,355.97,357.25,357.12,359.31,357.98,359.68,376.28,391.38,380.74
215,352.84,352.09,355.95,357.24,357.1,359.3,357.96,359.69,376.35,391.3,380.88
216,352.83,352.06,355.92,357.23,357.09,359.29,357.96,359.69,376.42,391.29,381.0
217,352.8,352.03,355.91,357.22,357.08,359.28,357.95,359.71,376.48,391.45,381.1
218,352.77,352.01,355.89,357.22,357.06,359.27,357.94,359.73,376.54,391.42,381.19
219,352.75,351.97,355.87,357.19,357.06,359.26,357.94,359.73,376.6,391.23,381.27
220,352.7,351.94,355.85,357.19,357.04,359.26,357.92,359.74,376.66,391.26,381.35
221,352.69,351.9,355.83,357.17,357.02,359.25,357.91,359.75,376.72,391.59,381.44
222,352.67,351.88,355.81,357.16,357.01,359.24,357.91,359.76,376.79,391.71,381.54
223,352.63,351.83,355.8,357.15,357.0,359.23,357.91,359.76,376.89,391.63,381.69
224,352.59,351.8,355.77,357.13,356.98,359.23,357.9,359.78,376.98,391.51,381.79
225,352.57,351.77,355.76,357.12,356.97,359.22,357.91,359.79,377.05,391.04,381.85
226,352.56,351.75,355.76,357.1,356.98,359.22,357.92,359.81,377.12,390.82,381.91
227,352.53,351.71,355.73,357.09,356.95,359.22,357.91,359.83,377.17,390.9,381.95
228,352.51,351.68,355.71,357.08,356.94,359.21,357.9,359.83,377.24,391.08,382.01
229,352.47,351.66,355.69,357.06,356.93,359.2,357.9,359.84,377.3,391.41,382.06
230,352.45,351.62,355.67,357.04,356.92,359.19,357.9,359.85,377.36,391.69,382.11
231,352.43,351.6,355.66,357.03,356.91,359.18,357.89,359.86,377.41,391.93,382.19
232,352.39,351.56,355.63,357.02,356.89,359.18,357.9,359.87,377.51,392.13,382.33
233,352.35,351.5,355.6,357.01,356.88,359.16,357.88,359.87,377.6,392.43,382.48
234,352.34,351.48,355.59,356.99,356.87,359.15,357.9,359.89,377.66,392.71,382.59
235,352.31,351.46,355.58,356.97,356.87,359.15,357.9,359.89,377.73,392.92,382.71
236,352.29,351.43,355.56,356.96,356.85,359.14,357.89,359.9,377.78,393.17,382.83
237,352.26,351.4,355.54,356.95,356.84,359.13,357.89,359.92,377.85,393.27,382.94
238,352.23,351.35,355.52,356.93,356.81,359.12,357.88,359.94,377.91,393.11,383.06
239,352.22,351.34,355.5,356.91,356.81,359.11,357.88,359.94,377.98,392.97,383.19
240,352.17,351.31,355.48,356.9,356.79,359.11,357.86,359.95,378.02,392.99,383.27
241,352.14,351.27,355.45,356.88,356.77,359.1,357.86,359.96,378.11,393.01,383.37
242,352.09,351.22,355.42,356.88,356.75,359.08,357.86,359.98,378.21,393.14,383.46
243,352.08,351.19,355.4,356.85,356.75,359.08,357.86,359.98,378.27,393.56,383.52
244,352.05,351.16,355.38,356.84,356.73,359.07,357.85,359.99,378.33,393.76,383.61
245,352.03,351.13,355.37,356.83,356.72,359.06,357.85,360.01,378.39,393.56,383.7
246,352.01,351.11,355.35,356.82,356.72,359.05,357.85,360.03,378.44,393.15,383.79
247,351.99,351.09,355.34,356.81,356.71,359.04,357.85,360.04,378.5,393.03,383.83
248,351.98,351.06,355.34,356.8,356.71,359.03,357.85,360.05,378.56,393.08,383.86
249,351.95,351.04,355.32,356.78,356.7,359.03,357.85,360.06,378.63,393.2,383.86
250,351.91,351.0,355.29,356.76,356.68,359.01,357.84,360.08,378.72,393.28,383.88
251,351.87,350.95,355.26,356.75,356.67,359.01,357.84,360.08,378.79,393.35,383.92
252,351.85,350.93,355.25,356.74,356.65,359.0,357.85,360.09,378.85,393.53,383.98
253,351.83,350.9,355.23,356.72,356.65,358.99,357.84,360.12,378.9,393.83,384.03
254,351.79,350.87,355.2,356.71,356.63,358.98,357.83,360.12,378.96,394.03,384.09
255,351.78,350.84,355.19,356.7,356.62,358.98,357.84,360.14,379.02,393.89,384.16
256,351.76,350.82,355.18,356.69,356.62,358.97,357.84,360.15,379.09,393.69,384.23
257,351.73,350.8,355.17,356.67,356.61,358.96,357.84,360.16,379.14,393.37,384.28
258,351.71,350.77,355.15,356.65,356.61,358.95,357.83,360.18,379.19,393.05,384.33
259,351.68,350.72,355.13,356.65,356.58,358.96,357.83,360.19,379.27,393.03,384.36
260,351.65,350.69,355.1,356.63,356.57,358.95,357.84,360.21,379.35,393.09,384.37
261,351.62,350.67,355.09,356.62,356.56,358.94,357.84,360.23,379.41,393.01,384.38
262,351.6,350.64,355.08,356.6,356.56,358.94,357.84,360.24,379.46,393.2,384.4
263,351.58,350.62,355.07,356.59,356.55,358.92,357.85,360.24,379.53,393.36,384.43
264,351.56,350.59,355.04,356.57,356.54,358.92,357.84,360.26,379.57,393.44,384.44
265,351.53,350.56,355.03,356.56,356.52,358.92,357.84,360.28,379.63,393.9,384.47
266,351.51,350.54,355.01,356.56,356.51,358.91,357.84,360.31,379.68,394.54,384.51
267,351.49,350.5,355.0,356.54,356.5,358.9,357.84,360.31,379.75,394.79,384.56
268,351.45,350.47,354.97,356.54,356.5,358.9,357.84,360.33,379.83,394.94,384.67
269,351.42,350.44,354.95,356.52,356.48,358.89,357.84,360.34,379.92,395.11,384.8
270,351.4,350.39,354.93,356.5,356.47,358.88,357.84,360.36,379.96,395.28,384.9
271,351.37,350.37,354.91,356.49,356.46,358.88,357.84,360.37,380.02,394.92,384.98
272,351.35,350.35,354.9,356.49,356.44,358.87,357.84,360.38,380.07,394.64,385.06
273,351.33,350.32,354.88,356.46,356.44,358.86,357.84,360.4,380.14,394.84,385.12
274,351.31,350.3,354.87,356.44,356.44,358.85,357.84,360.42,380.21,395.31,385.19
275,351.29,350.27,354.85,356.43,356.43,358.85,357.85,360.44,380.26,395.61,385.26
276,351.26,350.25,354.83,356.43,356.42,358.85,357.85,360.45,380.32,395.69,385.36
277,351.22,350.21,354.8,356.42,356.4,358.84,357.84,360.47,380.4,395.42,385.48
278,351.19,350.16,354.77,356.39,356.38,358.82,357.85,360.48,380.48,395.51,385.6
279,351.17,350.14,354.76,356.38,356.37,358.83,357.85,360.5,380.55,395.62,385.69
280,351.14,350.11,354.74,356.39,356.36,358.82,357.85,360.52,380.61,395.7,385.77
281,351.13,350.09,354.72,356.36,356.36,358.82,357.85,360.53,380.67,395.8,385.85
282,351.1,350.07,354.71,356.34,356.35,358.81,357.87,360.55,380.72,395.94,385.9
283,351.07,350.04,354.69,356.33,356.34,358.82,357.86,360.57,380.77,395.96,385.94
284,351.06,350.01,354.68,356.31,356.32,358.8,357.86,360.58,380.84,395.95,385.98
285,351.02,349.99,354.66,356.3,356.31,358.8,357.87,360.6,380.89,395.96,386.0
286,351.0,349.95,354.64,356.29,356.31,358.8,357.88,360.62,380.97,396.06,386.06
287,350.97,349.91,354.63,356.27,356.3,358.79,357.89,360.64,381.05,396.31,386.13
288,350.94,349.89,354.61,356.27,356.28,358.79,357.89,360.65,381.1,396.27,386.2
289,350.91,349.87,354.58,356.25,356.28,358.78,357.88,360.67,381.15,396.39,386.26
290,350.89,349.83,354.58,356.24,356.26,358.77,357.88,360.69,381.2,396.76,386.32
291,350.87,349.82,354.56,356.23,356.26,358.77,357.89,360.7,381.26,396.89,386.41
292,350.85,349.79,354.53,356.21,356.25,358.76,357.89,360.72,381.32,397.07,386.49
293,350.82,349.76,354.52,356.2,356.24,358.76,357.89,360.73,381.37,397.31,386.56
294,350.8,349.73,354.5,356.19,356.22,358.76,357.88,360.76,381.42,397.27,386.64
295,350.76,349.69,354.48,356.17,356.21,358.75,357.89,360.76,381.5,397.04,386.76
296,350.73,349.67,354.46,356.17,356.19,358.74,357.88,360.78,381.58,397.06,386.85
297,350.72,349.64,354.45,356.15,356.2,358.74,357.89,360.81,381.64,397.23,386.92
298,350.7,349.62,354.43,356.13,356.19,358.73,357.9,360.83,381.7,397.27,387.0
299,350.68,349.61,354.42,356.12,356.18,358.72,357.91,360.84,381.77,397.4,387.07
300,350.66,349.58,354.41,356.12,356.17,358.72,357.91,360.86,381.82,397.29,387.15
301,350.63,349.55,354.38,356.1,356.16,358.71,357.89,360.88,381.87,397.08,387.23
