time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
140,364.76,360.53,361.42,361.58,361.37,362.92,360.88,362.07,361.09,342.12
141,364.77,360.5,361.41,361.59,361.4,362.94,360.91,362.06,361.11,342.17
142,364.79,360.44,361.4,361.63,361.42,362.96,360.95,362.07,361.14,342.22
143,364.79,360.37,361.37,361.68,361.42,362.98,360.97,362.09,361.14,342.26
144,364.8,360.34,361.36,361.69,361.41,362.97,360.98,362.1,361.13,342.27
145,364.81,360.29,361.31,361.69,361.38,362.95,360.98,362.07,361.11,342.27
146,364.83,360.25,361.27,361.67,361.35,362.94,361.01,361.99,361.12,342.3
147,364.83,360.22,361.24,361.65,361.32,362.91,361.06,361.98,361.14,342.33
148,364.85,360.19,361.22,361.63,361.29,362.9,361.13,362.03,361.16,342.33
149,364.86,360.19,361.21,361.61,361.26,362.89,361.18,362.09,361.19,342.36
150,364.88,360.2,361.21,361.58,361.22,362.86,361.18,362.15,361.21,342.39
151,364.89,360.21,361.22,361.56,361.19,362.84,361.18,362.2,361.22,342.42
152,364.92,360.24,361.24,361.55,361.14,362.82,361.18,362.22,361.21,342.5
153,364.95,360.23,361.24,361.53,361.09,362.82,361.22,362.21,361.19,342.58
154,364.96,360.23,361.26,361.52,361.06,362.82,361.27,362.2,361.17,342.61
155,364.97,360.23,361.26,361.49,361.04,362.82,361.33,362.21,361.14,342.65
156,364.97,360.22,361.27,361.45,361.02,362.83,361.39,362.24,361.13,342.68
157,364.98,360.21,361.28,361.42,360.99,362.85,361.44,362.27,361.11,342.7
158,364.99,360.18,361.29,361.38,360.96,362.87,361.5,362.32,361.1,342.71
159,364.99,360.13,361.27,361.33,360.94,362.9,361.56,362.37,361.11,342.72
160,365.01,360.08,361.27,361.29,360.93,362.94,361.62,362.43,361.13,342.75
161,365.04,360.03,361.29,361.27,360.93,362.98,361.62,362.5,361.19,342.78
162,365.05,359.98,361.29,361.26,360.94,363.0,361.55,362.5,361.2,342.79
163,365.07,359.95,361.29,361.24,360.95,363.02,361.51,362.49,361.16,342.82
164,365.08,359.94,361.29,361.23,360.97,363.05,361.5,362.43,361.1,342.86
165,365.11,359.94,361.3,361.22,360.99,363.07,361.47,362.37,361.09,342.93
166,365.13,359.94,361.31,361.19,361.01,363.08,361.45,362.34,361.1,342.98
167,365.15,359.97,361.31,361.18,361.04,363.1,361.46,362.36,361.12,343.05
168,365.18,360.02,361.33,361.17,361.06,363.11,361.49,362.37,361.15,343.11
169,365.19,360.08,361.33,361.17,361.06,363.11,361.53,362.37,361.18,343.2
170,365.23,360.13,361.31,361.17,361.06,363.11,361.56,362.37,361.22,343.27
171,365.24,360.17,361.32,361.19,361.07,363.1,361.61,362.39,361.25,343.3
172,365.24,360.19,361.32,361.19,361.06,363.08,361.66,362.41,361.3,343.31
173,365.25,360.19,361.31,361.21,361.07,363.07,361.68,362.45,361.36,343.33
174,365.27,360.16,361.29,361.22,361.08,363.06,361.68,362.43,361.41,343.36
175,365.29,360.13,361.29,361.23,361.11,363.05,361.67,362.38,361.46,343.39
176,365.31,360.09,361.27,361.25,361.12,363.06,361.65,362.33,361.5,343.42
177,365.32,360.05,361.25,361.24,361.12,363.06,361.61,362.28,361.5,343.45
178,365.34,360.02,361.23,361.22,361.13,363.07,361.58,362.21,361.48,343.51
179,365.37,359.96,361.25,361.18,361.14,363.08,361.53,362.17,361.46,343.59
180,365.41,359.91,361.26,361.16,361.15,363.09,361.48,362.19,361.45,343.67
181,365.43,359.94,361.26,361.16,361.14,363.1,361.45,362.23,361.44,343.72
182,365.45,359.99,361.27,361.16,361.13,363.1,361.41,362.26,361.42,343.76
183,365.48,360.05,361.28,361.18,361.11,363.1,361.37,362.26,361.42,343.78
184,365.5,360.16,361.29,361.2,361.1,363.1,361.33,362.25,361.44,343.83
185,365.51,360.24,361.31,361.23,361.1,363.09,361.29,362.23,361.47,343.85
186,365.53,360.28,361.34,361.24,361.1,363.09,361.24,362.19,361.5,343.87
187,365.54,360.3,361.37,361.23,361.1,363.09,361.19,362.15,361.51,343.89
188,365.56,360.26,361.41,361.23,361.11,363.09,361.12,362.08,361.51,343.92
189,365.59,360.23,361.45,361.24,361.12,363.1,361.07,362.05,361.47,343.99
190,365.61,360.21,361.47,361.24,361.11,363.1,361.04,362.05,361.43,344.04
191,365.62,360.17,361.5,361.27,361.1,363.11,361.02,362.07,361.4,344.08
192,365.64,360.12,361.51,361.28,361.08,363.09,361.02,362.09,361.37,344.13
193,365.66,360.1,361.51,361.31,361.06,363.08,361.03,362.12,361.35,344.18
194,365.66,360.06,361.51,361.32,361.05,363.06,361.03,362.13,361.33,344.22
195,365.66,359.98,361.49,361.32,361.03,363.05,361.05,362.13,361.33,344.24
196,365.67,359.9,361.47,361.33,361.04,363.04,361.09,362.12,361.33,344.27
197,365.66,359.83,361.46,361.33,361.05,363.03,361.17,362.14,361.36,344.29
198,365.65,359.77,361.44,361.36,361.05,363.02,361.27,362.16,361.4,344.32
199,365.66,359.73,361.42,361.41,361.07,363.01,361.38,362.21,361.45,344.34
200,365.66,359.68,361.4,361.43,361.08,362.98,361.45,362.26,361.5,344.34
201,365.66,359.63,361.39,361.46,361.09,362.98,361.5,362.32,361.57,344.34
202,365.68,359.59,361.38,361.48,361.11,362.97,361.58,362.39,361.64,344.35
203,365.68,359.57,361.36,361.52,361.13,362.97,361.62,362.44,361.69,344.36
204,365.67,359.54,361.34,361.54,361.15,362.97,361.65,362.44,361.74,344.37
205,365.69,359.48,361.31,361.57,361.18,362.96,361.65,362.43,361.78,344.38
206,365.69,359.45,361.28,361.6,361.23,362.94,361.64,362.41,361.81,344.41
207,365.7,359.44,361.26,361.62,361.26,362.92,361.63,362.39,361.81,344.44
208,365.72,359.44,361.24,361.65,361.28,362.92,361.66,362.37,361.81,344.49
209,365.73,359.45,361.25,361.65,361.3,362.91,361.69,362.32,361.82,344.56
210,365.73,359.46,361.24,361.66,361.31,362.91,361.74,362.27,361.83,344.63
211,365.74,359.47,361.23,361.67,361.31,362.92,361.78,362.26,361.84,344.69
