Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
554,363.98,362.47,336.9,199.39,136.97,94.72,78.45,67.93,55.96,23.61,51.34,370.551203783548,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,428.389408758789
555,364.08,362.62,336.91,199.74,137.21,94.94,78.67,68.19,56.16,23.65,51.55,370.690111923293,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517503,398.952187517503,398.952187517503,398.952187517503,428.54660979355
556,364.19,362.81,336.92,200.0,137.58,95.16,79.08,68.46,56.49,23.73,51.89,370.828943215549,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,428.703731751087
557,364.29,362.98,336.98,200.22,137.94,95.36,79.47,68.69,56.82,23.76,52.27,370.967697663859,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,428.860774624008
558,364.35,363.07,337.0,200.39,138.16,95.58,79.65,68.79,56.99,23.8,52.51,371.106375271816,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,429.017738404985
559,364.4,363.13,337.03,200.53,138.37,95.8,79.89,68.89,57.14,23.83,52.76,371.244976043064,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,429.174623086748
560,364.43,363.17,337.05,200.61,138.59,95.94,80.15,68.99,57.3,23.8,53.0,371.383499981302,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,429.331428662089
561,364.45,363.2,337.1,200.75,138.82,96.17,80.37,69.2,57.49,23.65,53.25,371.521947090276,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,429.488155123863
562,364.51,363.25,337.14,200.98,139.09,96.43,80.59,69.44,57.69,23.42,53.5,371.660317373787,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,429.644802464982
563,364.55,363.28,337.17,201.22,139.35,96.65,80.82,69.68,57.89,23.23,53.75,371.798610835687,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,429.801370678422
564,364.58,363.34,337.26,201.44,139.58,96.88,81.06,69.86,58.11,23.01,54.01,371.936827479876,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,429.957859757218
565,364.6,363.45,337.45,201.68,139.96,97.1,81.33,70.0,58.37,23.06,54.4,372.074967310312,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,430.114269694466
566,364.6,363.55,337.6,201.91,140.33,97.33,81.6,70.12,58.61,23.07,54.79,372.213030330998,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,430.270600483323
567,364.59,363.6,337.69,201.99,140.53,97.47,81.77,70.25,58.74,23.11,55.05,372.351016545992,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,430.426852117007
568,364.59,363.61,337.78,202.0,140.71,97.66,81.93,70.33,58.88,23.26,55.31,372.488925959402,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,430.583024588797
569,364.6,363.63,337.85,202.04,140.89,97.84,82.05,70.4,59.02,23.44,55.55,372.626758575387,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,430.739117892031
570,364.63,363.67,337.91,202.15,141.03,98.03,82.2,70.52,59.13,23.36,55.8,372.764514398159,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,430.89513202011
571,364.67,363.7,338.0,202.27,141.21,98.21,82.35,70.63,59.27,23.24,56.06,372.902193431979,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,431.051066966494
572,364.73,363.73,338.07,202.31,141.36,98.38,82.45,70.74,59.4,23.39,56.3,373.039795681161,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,431.206922724704
573,364.78,363.78,338.13,202.43,141.52,98.56,82.52,70.82,59.53,23.33,56.54,373.17732115007,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,431.362699288323
574,364.86,363.83,338.21,202.55,141.81,98.67,82.58,70.86,59.68,23.25,56.89,373.31476984312,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,431.518396650992
575,364.96,363.85,338.33,202.81,142.12,98.85,82.68,70.93,59.8,23.32,57.24,373.452141764779,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,431.674014806415
576,365.02,363.87,338.39,203.04,142.32,99.03,82.74,71.02,59.88,23.26,57.46,373.589436919563,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,431.829553748356
577,365.07,363.9,338.47,203.16,142.49,99.21,82.87,71.16,59.99,23.21,57.67,373.726655312044,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,431.98501347064
578,365.11,363.94,338.5,203.27,142.67,99.39,83.01,71.38,60.14,23.26,57.9,373.863796946839,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,402.545971691102,432.140393967149
579,365.15,363.98,338.55,203.48,142.84,99.59,83.18,71.55,60.32,23.19,58.12,374.00086182862,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,432.295695231832
580,365.22,364.01,338.61,203.73,143.01,99.78,83.3,71.72,60.49,23.1,58.35,374.137849962109,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,432.450917258693
581,365.3,364.04,338.65,203.82,143.17,99.9,83.43,71.81,60.69,23.23,58.59,374.274761352077,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,432.606060041799
