Condition,RMSE,MAE,R2
h6_flux88_abs0_surf0_689s - Sheet3,1.2684869766235352,1.0915496349334717,0.8739385175596397
h6_flux88_abs0_surf0_689s - Sheet3,1.2604995965957642,1.080194115638733,0.8746283111583337
h6_flux88_abs0_surf0_689s - Sheet3,1.2569458484649658,1.071478247642517,0.8744269216450901
h6_flux88_abs0_surf0_689s - Sheet3,1.2593849897384644,1.064581274986267,0.87245383859259
h6_flux88_abs0_surf0_689s - Sheet3,1.2585872411727905,1.0574615001678467,0.8726557449133794
h6_flux88_abs0_surf0_689s - Sheet3,1.2305995225906372,1.028173804283142,0.8811192885919688
h6_flux88_abs0_surf0_689s - Sheet3,1.2409001588821411,1.0418121814727783,0.8772648387937679
h6_flux88_abs0_surf0_689s - Sheet3,1.2552393674850464,1.0589812994003296,0.8722208624149538
h6_flux88_abs0_surf0_689s - Sheet3,1.2666934728622437,1.0756133794784546,0.867880504690136
h6_flux88_abs0_surf0_689s - Sheet3,1.2535251379013062,1.0725586414337158,0.8715230162881527
h6_flux88_abs0_surf0_689s - Sheet3,1.2356696128845215,1.0586334466934204,0.877990051314236
h6_flux88_abs0_surf0_689s - Sheet3,1.231610655784607,1.0504181385040283,0.8795463536874519
h6_flux88_abs0_surf0_689s - Sheet3,1.2284365892410278,1.0428130626678467,0.8822396523181004
h6_flux88_abs0_surf0_689s - Sheet3,1.2381855249404907,1.0420379638671875,0.8829291448117532
h6_flux88_abs0_surf0_689s - Sheet3,1.263444185256958,1.0666077136993408,0.8763584205861604
h6_flux88_abs0_surf0_689s - Sheet3,1.2793843746185303,1.080328345298767,0.8704469391716179
h6_flux88_abs0_surf0_689s - Sheet3,1.2829492092132568,1.0878814458847046,0.8687417210428112
h6_flux88_abs0_surf0_689s - Sheet3,1.3037097454071045,1.1079285144805908,0.8612296006539735
h6_flux88_abs0_surf0_689s - Sheet3,1.3065224885940552,1.112951636314392,0.8603992211322498
h6_flux88_abs0_surf0_689s - Sheet3,1.3080366849899292,1.110894799232483,0.8609936896555972
h6_flux88_abs0_surf0_689s - Sheet3,1.309578776359558,1.101782202720642,0.8607307299072802
h6_flux88_abs0_surf0_689s - Sheet3,1.3111995458602905,1.0917541980743408,0.86077057588883
h6_flux88_abs0_surf0_689s - Sheet3,1.3324158191680908,1.0995361804962158,0.8542568207383646
h6_flux88_abs0_surf0_689s - Sheet3,1.3496745824813843,1.1106903553009033,0.8478112777318761
h6_flux88_abs0_surf0_689s - Sheet3,1.3601711988449097,1.1117035150527954,0.8427216852948525
h6_flux88_abs0_surf0_689s - Sheet3,1.3606599569320679,1.102410912513733,0.839779611072241
h6_flux88_abs0_surf0_689s - Sheet3,1.366261601448059,1.104516625404358,0.8357507467171588
h6_flux88_abs0_surf0_689s - Sheet3,1.3778949975967407,1.1121368408203125,0.8292084295988345
