Condition,RMSE,MAE,R2
h6_flux88_abs0_surf0_689s - Sheet3,1.453726887702942,1.0343841314315796,0.7544021625164138
h6_flux88_abs0_surf0_689s - Sheet3,1.441461205482483,1.0119476318359375,0.7610851837827263
h6_flux88_abs0_surf0_689s - Sheet3,1.424910068511963,0.9953460693359375,0.7704337643968956
h6_flux88_abs0_surf0_689s - Sheet3,1.403384804725647,0.9715545773506165,0.7835230273773353
h6_flux88_abs0_surf0_689s - Sheet3,1.40897536277771,0.9554535150527954,0.7823288947588334
h6_flux88_abs0_surf0_689s - Sheet3,1.4482614994049072,0.96722412109375,0.7646046625791516
h6_flux88_abs0_surf0_689s - Sheet3,1.4630990028381348,0.9800445437431335,0.7563661802553363
h6_flux88_abs0_surf0_689s - Sheet3,1.4389442205429077,0.9699341058731079,0.766617503664086
h6_flux88_abs0_surf0_689s - Sheet3,1.3994309902191162,0.9486480951309204,0.7829910006876895
h6_flux88_abs0_surf0_689s - Sheet3,1.3764206171035767,0.9343658685684204,0.7914706388414043
h6_flux88_abs0_surf0_689s - Sheet3,1.3687294721603394,0.9290008544921875,0.7929562374585413
h6_flux88_abs0_surf0_689s - Sheet3,1.3528132438659668,0.927594006061554,0.7997497700109896
h6_flux88_abs0_surf0_689s - Sheet3,1.3470466136932373,0.9315582513809204,0.8037066391679171
h6_flux88_abs0_surf0_689s - Sheet3,1.3309288024902344,0.9250549077987671,0.8121198026438082
h6_flux88_abs0_surf0_689s - Sheet3,1.3179548978805542,0.921459972858429,0.8211778970950208
h6_flux88_abs0_surf0_689s - Sheet3,1.3030688762664795,0.9124084711074829,0.827701031448132
h6_flux88_abs0_surf0_689s - Sheet3,1.2954542636871338,0.9080413579940796,0.8311027569015311
h6_flux88_abs0_surf0_689s - Sheet3,1.292979121208191,0.9070373773574829,0.8320888460214043
h6_flux88_abs0_surf0_689s - Sheet3,1.305565357208252,0.919506847858429,0.8267810254762864
h6_flux88_abs0_surf0_689s - Sheet3,1.304593563079834,0.917889416217804,0.8247667011165891
h6_flux88_abs0_surf0_689s - Sheet3,1.3078449964523315,0.9203765988349915,0.822206715304066
h6_flux88_abs0_surf0_689s - Sheet3,1.3177236318588257,0.924243152141571,0.8186272029391073
h6_flux88_abs0_surf0_689s - Sheet3,1.3112667798995972,0.9163177609443665,0.8225192106816633
h6_flux88_abs0_surf0_689s - Sheet3,1.3171690702438354,0.917572021484375,0.8215348729564658
h6_flux88_abs0_surf0_689s - Sheet3,1.3424732685089111,0.925952136516571,0.8112603453565022
h6_flux88_abs0_surf0_689s - Sheet3,1.329999566078186,0.914520263671875,0.8158003014559514
h6_flux88_abs0_surf0_689s - Sheet3,1.3079222440719604,0.893176257610321,0.8226027725836433
h6_flux88_abs0_surf0_689s - Sheet3,1.2914286851882935,0.8767486810684204,0.8263572218041648
h6_flux88_abs0_surf0_689s - Sheet3,1.2748615741729736,0.8643096685409546,0.8321712703843052
h6_flux88_abs0_surf0_689s - Sheet3,1.2649708986282349,0.8576599359512329,0.8347381526164341
h6_flux88_abs0_surf0_689s - Sheet3,1.2513340711593628,0.850872814655304,0.838034457040528
h6_flux88_abs0_surf0_689s - Sheet3,1.2410516738891602,0.8520416021347046,0.8412681202173777
h6_flux88_abs0_surf0_689s - Sheet3,1.230343222618103,0.854290783405304,0.844612862964401
h6_flux88_abs0_surf0_689s - Sheet3,1.2426550388336182,0.8592193722724915,0.8410282133841619
h6_flux88_abs0_surf0_689s - Sheet3,1.2771960496902466,0.8751617670059204,0.8278805037784761
h6_flux88_abs0_surf0_689s - Sheet3,1.2819087505340576,0.879467785358429,0.8270992312057099
h6_flux88_abs0_surf0_689s - Sheet3,1.2967326641082764,0.884295642375946,0.8234974775254258
h6_flux88_abs0_surf0_689s - Sheet3,1.3032208681106567,0.8942535519599915,0.8225283148054063
h6_flux88_abs0_surf0_689s - Sheet3,1.2921693325042725,0.8941497802734375,0.8284833262687905
h6_flux88_abs0_surf0_689s - Sheet3,1.287672996520996,0.8959258794784546,0.8311808763901452
h6_flux88_abs0_surf0_689s - Sheet3,1.2690593004226685,0.8865966796875,0.8386125269143426
h6_flux88_abs0_surf0_689s - Sheet3,1.2582727670669556,0.8835784792900085,0.8459945134893618
h6_flux88_abs0_surf0_689s - Sheet3,1.255315899848938,0.8837432861328125,0.8490431908772543
h6_flux88_abs0_surf0_689s - Sheet3,1.2568126916885376,0.8852996826171875,0.8502626606852476
h6_flux88_abs0_surf0_689s - Sheet3,1.2777997255325317,0.897845447063446,0.8430550538364378
h6_flux88_abs0_surf0_689s - Sheet3,1.278167486190796,0.892498791217804,0.8412527350253765
h6_flux88_abs0_surf0_689s - Sheet3,1.2850769758224487,0.8933044672012329,0.8357245844730876
h6_flux88_abs0_surf0_689s - Sheet3,1.2841945886611938,0.8879607915878296,0.8344295690870381
h6_flux88_abs0_surf0_689s - Sheet3,1.2677888870239258,0.8733062744140625,0.840154646027687
h6_flux88_abs0_surf0_689s - Sheet3,1.2622064352035522,0.871508777141571,0.8413798576689089
h6_flux88_abs0_surf0_689s - Sheet3,1.2439247369766235,0.8625213503837585,0.8457682643879083
h6_flux88_abs0_surf0_689s - Sheet3,1.2396185398101807,0.8634673953056335,0.8453181979893785
h6_flux88_abs0_surf0_689s - Sheet3,1.2496248483657837,0.8733550906181335,0.8395816743849235
h6_flux88_abs0_surf0_689s - Sheet3,1.2652347087860107,0.8852203488349915,0.8322842566369959
h6_flux88_abs0_surf0_689s - Sheet3,1.2690082788467407,0.8900085687637329,0.8292470248289634
h6_flux88_abs0_surf0_689s - Sheet3,1.2571643590927124,0.883831799030304,0.8331821213153084
h6_flux88_abs0_surf0_689s - Sheet3,1.2379200458526611,0.869152843952179,0.8393511638167773
