Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
23,367.11,364.54,340.04,197.9,134.26,87.01,71.35,58.03,46.89,-1.54,43.55,365.215720746171,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,422.35725240468,0.0375,25900,25,0.98
24,367.18,364.6,340.3,198.47,134.57,87.1,71.62,58.35,47.22,-2.65,43.95,365.357551201714,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,422.517452295191,0.0375,25900,25,0.98
25,367.23,364.7,340.62,198.9,135.07,87.31,72.11,58.75,47.73,-3.45,44.59,365.499304713743,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,422.677573434528,0.0375,25900,25,0.98
26,367.27,364.8,340.87,199.27,135.51,87.64,72.64,59.11,48.25,-3.82,45.28,365.640981283814,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,422.837615812978,0.0375,25900,25,0.98
27,367.33,364.86,341.01,199.67,135.8,87.96,72.93,59.48,48.57,-3.55,45.76,365.782580913537,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,422.997579420892,0.0375,25900,25,0.98
28,367.37,364.9,341.17,199.92,136.08,88.2,73.21,59.66,48.85,-3.76,46.23,365.924103604575,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,423.157464248679,0.0375,25900,25,0.98
29,367.42,364.96,341.39,200.17,136.38,88.44,73.49,59.9,49.13,-5.48,46.74,366.065549358644,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,423.317270286813,0.0375,25900,25,0.98
30,367.48,365.03,341.62,200.3,136.68,88.53,73.74,60.03,49.4,-4.47,47.25,366.206918177511,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.882575249781,393.882575249781,423.476997525828,0.0375,25900,25,0.98
31,367.53,365.13,341.82,200.62,136.98,88.94,73.96,60.17,49.66,-3.95,47.77,366.348210062999,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,423.636645956316,0.0375,25900,25,0.98
32,367.56,365.26,342.01,200.86,137.26,89.15,74.22,60.47,49.92,-5.32,48.28,366.48942501698,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,423.796215568934,0.0375,25900,25,0.98
