Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
356,378.06,378.01,356.24,223.93,167.18,126.97,110.6,103.75,119.11,23.44,151.23,366.912608309407,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,424.274451407048,0.0375,25900,25,0.98
357,378.09,378.03,356.26,224.03,167.18,127.0,110.74,103.88,119.33,23.32,151.34,367.053515557147,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,424.433705655969,0.0375,25900,25,0.98
358,378.12,378.04,356.27,224.02,167.12,127.01,110.91,103.96,119.51,23.31,151.42,367.194345883537,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,424.592881041218,0.0375,25900,25,0.98
359,378.15,378.07,356.3,224.01,167.05,127.01,111.07,104.1,119.71,23.3,151.52,367.335099290764,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,424.751977553817,0.0375,25900,25,0.98
360,378.18,378.13,356.31,224.06,166.98,127.0,111.2,104.27,119.93,23.28,151.61,367.475775781069,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,424.910995184851,0.0375,25900,25,0.98
361,378.22,378.16,356.3,224.2,166.91,127.0,111.31,104.52,120.15,23.22,151.7,367.616375356747,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,425.069933925464,0.0375,25900,25,0.98
362,378.26,378.19,356.28,224.3,166.84,127.03,111.28,104.74,120.49,23.21,151.84,367.756898020142,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,425.228793766864,0.0375,25900,25,0.98
363,378.32,378.23,356.25,224.42,166.8,127.08,111.21,104.87,120.78,23.39,151.98,367.897343773652,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,425.387574700316,0.0375,25900,25,0.98
364,378.35,378.28,356.23,224.46,166.75,127.11,111.23,104.96,120.95,23.41,152.07,368.037712619729,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,425.546276717152,0.0375,25900,25,0.98
365,378.39,378.3,356.23,224.4,166.73,127.16,111.28,104.96,121.08,23.31,152.18,368.178004560874,396.110477532712,396.110477532712,396.110477532712,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,425.70489980876,0.0375,25900,25,0.98
366,378.42,378.32,356.27,224.28,166.75,127.2,111.38,104.95,121.18,23.12,152.3,368.318219599642,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,425.86344396659,0.0375,25900,25,0.98
367,378.47,378.33,356.32,224.3,166.76,127.26,111.52,105.11,121.34,23.14,152.43,368.458357738642,396.427486906108,396.427486906108,396.427486906108,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,426.021909182156,0.0375,25900,25,0.98
368,378.53,378.35,356.36,224.37,166.78,127.31,111.69,105.3,121.49,23.23,152.59,368.59841898053,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,426.180295447029,0.0375,25900,25,0.98
369,378.6,378.39,356.42,224.5,166.82,127.38,111.83,105.46,121.65,23.08,152.74,368.73840332802,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,426.338602752844,0.0375,25900,25,0.98
370,378.65,378.43,356.44,224.64,166.91,127.44,111.84,105.47,121.77,23.22,152.89,368.878310783875,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,426.496831091297,0.0375,25900,25,0.98
371,378.67,378.47,356.47,224.7,167.01,127.49,111.86,105.45,121.84,23.16,153.04,369.018141350911,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,426.654980454143,0.0375,25900,25,0.98
372,378.69,378.54,356.51,224.71,167.18,127.53,111.87,105.34,121.87,23.25,153.25,369.157895031995,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,426.813050833201,0.0375,25900,25,0.98
373,378.72,378.63,356.55,224.75,167.36,127.56,111.93,105.14,121.77,23.15,153.45,369.297571830046,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,426.971042220347,0.0375,25900,25,0.98
374,378.74,378.68,356.58,224.89,167.49,127.61,111.99,105.01,121.71,23.06,153.55,369.437171748037,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,427.128954607522,0.0375,25900,25,0.98
375,378.76,378.73,356.6,224.94,167.59,127.64,112.01,104.89,121.67,23.2,153.65,369.576694788991,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710678,397.692365710679,427.286787986725,0.0375,25900,25,0.98
376,378.78,378.74,356.63,224.85,167.6,127.62,112.02,104.77,121.63,23.18,153.75,369.716140955985,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,427.444542350019,0.0375,25900,25,0.98
377,378.83,378.78,356.68,224.72,167.58,127.58,111.98,104.64,121.57,23.16,153.85,369.855510252146,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,427.602217689525,0.0375,25900,25,0.98
378,378.86,378.82,356.71,224.61,167.52,127.56,111.97,104.6,121.51,23.3,153.92,369.994802680653,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,427.759813997427,0.0375,25900,25,0.98
379,378.9,378.87,356.74,224.47,167.43,127.5,111.92,104.46,121.44,23.33,154.0,370.134018244737,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,427.917331265969,0.0375,25900,25,0.98
380,378.96,378.91,356.81,224.3,167.34,127.42,111.84,104.32,121.36,23.24,154.06,370.273156947683,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,428.074769487455,0.0375,25900,25,0.98
381,379.03,378.92,356.9,224.1,167.2,127.37,111.65,104.29,121.24,23.15,154.12,370.412218792824,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,428.232128654253,0.0375,25900,25,0.98
382,379.07,378.94,356.94,223.89,167.12,127.31,111.49,104.29,121.18,23.15,154.17,370.551203783548,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,428.389408758789,0.0375,25900,25,0.98
383,379.1,378.97,356.95,223.88,167.13,127.3,111.51,104.54,121.25,23.2,154.21,370.690111923293,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517503,398.952187517503,398.952187517503,398.952187517503,428.54660979355,0.0375,25900,25,0.98
384,379.14,379.0,356.97,223.99,167.14,127.33,111.53,104.85,121.37,23.07,154.26,370.828943215549,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,428.703731751087,0.0375,25900,25,0.98
