Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
554,373.03,367.46,339.79,191.94,138.86,103.86,84.84,75.21,68.56,13.14,72.33,416.546037811475,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,451.288719905077,506.230372066026,0.0375,25900,3,0.98
555,372.87,367.43,339.6,191.64,138.54,103.51,84.57,74.98,68.37,9.13,72.11,416.657302370827,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,451.416805326808,506.358457487756,0.0375,25900,3,0.98
556,372.72,367.47,339.24,191.53,138.06,103.29,84.33,74.94,68.19,15.8,71.8,416.768494550836,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,451.544812850065,506.486465011014,0.0375,25900,3,0.98
557,372.6,367.39,338.9,191.32,137.64,101.7,84.02,75.24,67.96,5.1,71.47,416.879614371253,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,451.672742487873,506.614394648822,0.0375,25900,3,0.98
558,372.51,367.17,338.73,191.09,137.38,102.78,83.86,74.75,67.81,14.01,71.27,416.990661851861,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,451.800594253303,506.742246414252,0.0375,25900,3,0.98
559,372.46,367.03,338.6,190.73,137.13,102.57,83.72,74.59,67.65,9.69,71.06,417.10163701248,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,451.928368159474,506.870020320423,0.0375,25900,3,0.98
560,372.38,366.98,338.47,190.79,136.87,102.25,83.58,74.33,67.48,8.76,70.85,417.212539872963,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,452.056064219553,506.997716380501,0.0375,25900,3,0.98
561,372.28,366.91,338.39,190.34,136.63,102.05,83.42,74.0,67.29,2.88,70.63,417.323370453201,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,452.183682446752,507.1253346077,0.0375,25900,3,0.98
562,372.18,366.87,338.36,190.17,136.38,101.75,83.24,73.72,67.09,8.26,70.42,417.434128773116,452.311222854333,452.311222854333,452.311222854333,452.311222854333,452.311222854333,452.311222854333,452.311222854333,452.311222854333,452.311222854333,507.252875015282,0.0375,25900,3,0.98
563,372.11,366.83,338.35,189.8,136.15,101.29,83.01,73.35,66.88,11.33,70.22,417.544814852666,452.438685455605,452.438685455605,452.438685455605,452.438685455605,452.438685455605,452.438685455605,452.438685455605,452.438685455605,452.438685455605,507.380337616554,0.0375,25900,3,0.98
564,372.02,366.72,338.22,189.79,135.9,101.33,82.78,73.37,66.64,1.72,69.99,417.655428711845,452.566070263924,452.566070263924,452.566070263924,452.566070263924,452.566070263924,452.566070263924,452.566070263924,452.566070263924,452.566070263924,507.507722424872,0.0375,25900,3,0.98
565,371.9,366.59,338.05,188.96,135.54,100.69,82.42,72.74,66.28,0.76,69.67,417.765970370679,452.693377292691,452.693377292691,452.693377292691,452.693377292691,452.693377292691,452.693377292691,452.693377292691,452.693377292691,452.693377292691,507.63502945364,0.0375,25900,3,0.98
566,371.79,366.53,337.92,188.87,135.16,100.41,82.06,72.31,65.91,-1.81,69.33,417.876439849232,452.820606555357,452.820606555357,452.820606555357,452.820606555357,452.820606555357,452.820606555357,452.820606555357,452.820606555357,452.820606555357,507.762258716306,0.0375,25900,3,0.98
567,371.7,366.53,337.75,188.67,134.92,100.17,81.83,72.12,65.68,0.71,69.1,417.986837167598,452.94775806542,452.94775806542,452.94775806542,452.94775806542,452.94775806542,452.94775806542,452.94775806542,452.94775806542,452.94775806542,507.889410226369,0.0375,25900,3,0.98
568,371.58,366.51,337.53,188.5,134.65,99.14,81.59,71.9,65.45,0.21,68.87,418.097162345909,453.074831836422,453.074831836422,453.074831836422,453.074831836422,453.074831836422,453.074831836422,453.074831836422,453.074831836422,453.074831836422,508.016483997371,0.0375,25900,3,0.98
569,371.48,366.48,337.38,188.1,134.38,99.57,81.37,71.73,65.24,3.5,68.63,418.20741540433,453.201827881955,453.201827881955,453.201827881955,453.201827881955,453.201827881955,453.201827881955,453.201827881955,453.201827881955,453.201827881955,508.143480042904,0.0375,25900,3,0.98
570,371.41,366.42,337.32,187.99,134.08,99.3,81.17,71.83,65.04,4.51,68.39,418.31759636306,453.328746215657,453.328746215657,453.328746215657,453.328746215657,453.328746215657,453.328746215657,453.328746215657,453.328746215657,453.328746215657,508.270398376606,0.0375,25900,3,0.98
571,371.37,366.36,337.22,187.77,133.81,99.32,80.97,71.67,64.85,9.82,68.16,418.427705242332,453.455586851212,453.455586851212,453.455586851212,453.455586851212,453.455586851212,453.455586851212,453.455586851212,453.455586851212,453.455586851212,508.397239012161,0.0375,25900,3,0.98
572,371.31,366.32,337.1,187.41,133.53,98.84,80.8,71.4,64.7,4.97,67.93,418.537742062415,453.582349802352,453.582349802352,453.582349802352,453.582349802352,453.582349802352,453.582349802352,453.582349802352,453.582349802352,453.582349802352,508.5240019633,0.0375,25900,3,0.98
573,371.18,366.27,336.9,187.17,133.25,98.6,80.6,71.18,64.56,3.2,67.7,418.64770684361,453.709035082855,453.709035082855,453.709035082855,453.709035082855,453.709035082855,453.709035082855,453.709035082855,453.709035082855,453.709035082855,508.650687243803,0.0375,25900,3,0.98
574,370.92,366.22,336.58,186.8,132.86,98.2,80.26,70.89,64.31,5.03,67.38,418.757599606252,453.835642706546,453.835642706546,453.835642706546,453.835642706546,453.835642706546,453.835642706546,453.835642706546,453.835642706546,453.835642706546,508.777294867494,0.0375,25900,3,0.98
575,370.71,366.2,336.4,186.58,132.47,97.9,80.04,70.74,64.13,2.27,67.06,418.867420370713,453.962172687296,453.962172687296,453.962172687296,453.962172687296,453.962172687296,453.962172687296,453.962172687296,453.962172687296,453.962172687296,508.903824848244,0.0375,25900,3,0.98
576,370.64,366.2,336.34,186.27,132.22,97.8,79.89,70.7,64.0,2.92,66.85,418.977169157395,454.088625039024,454.088625039024,454.088625039024,454.088625039024,454.088625039024,454.088625039024,454.088625039024,454.088625039024,454.088625039024,509.030277199972,0.0375,25900,3,0.98
577,370.59,366.17,336.3,185.95,131.95,97.33,79.71,70.5,63.86,7.73,66.65,419.086845986737,454.214999775693,454.214999775693,454.214999775693,454.214999775693,454.214999775693,454.214999775693,454.214999775693,454.214999775693,454.214999775693,509.156651936642,0.0375,25900,3,0.98
578,370.57,366.03,336.21,185.75,131.69,97.31,79.53,70.33,63.68,2.07,66.44,419.196450879208,454.341296911316,454.341296911316,454.341296911316,454.341296911316,454.341296911316,454.341296911316,454.341296911316,454.341296911316,454.341296911316,509.282949072265,0.0375,25900,3,0.98
579,370.55,365.89,336.07,185.41,131.43,97.1,79.39,70.16,63.49,1.52,66.21,419.305983855316,454.46751645995,454.46751645995,454.46751645995,454.46751645995,454.46751645995,454.46751645995,454.46751645995,454.46751645995,454.46751645995,509.409168620899,0.0375,25900,3,0.98
580,370.52,365.82,335.91,185.04,131.19,96.74,79.24,70.02,63.31,-1.94,65.99,419.415444935599,454.593658435698,454.593658435698,454.593658435698,454.593658435698,454.593658435698,454.593658435698,454.593658435698,454.593658435698,454.593658435698,509.535310596646,0.0375,25900,3,0.98
581,370.49,365.78,335.82,184.49,130.99,96.4,79.1,69.62,63.15,-6.06,65.79,419.524834140631,454.719722852711,454.719722852711,454.719722852711,454.719722852711,454.719722852711,454.719722852711,454.719722852711,454.719722852711,454.719722852711,509.661375013659,0.0375,25900,3,0.98
582,370.43,365.72,335.79,184.11,130.77,95.91,78.89,69.29,62.94,-7.24,65.57,419.634151491016,454.845709725184,454.845709725184,454.845709725184,454.845709725184,454.845709725184,454.845709725184,454.845709725184,454.845709725184,454.845709725184,509.787361886133,0.0375,25900,3,0.98
583,370.35,365.52,335.81,183.89,130.48,95.71,78.69,69.28,62.71,-4.04,65.24,419.743397007395,454.971619067361,454.971619067361,454.971619067361,454.971619067361,454.971619067361,454.971619067361,454.971619067361,454.971619067361,454.971619067361,509.913271228309,0.0375,25900,3,0.98
584,370.29,364.97,335.75,183.73,130.25,95.64,78.62,69.28,62.57,-9.39,64.93,419.852570710441,455.09745089353,455.09745089353,455.09745089353,455.09745089353,455.09745089353,455.09745089353,455.09745089353,455.09745089353,455.09745089353,510.039103054479,0.0375,25900,3,0.98
585,370.25,364.55,335.67,183.74,130.1,95.45,78.56,69.23,62.47,-9.14,64.74,419.961672620861,455.223205218027,455.223205218027,455.223205218027,455.223205218027,455.223205218027,455.223205218027,455.223205218027,455.223205218027,455.223205218027,510.164857378975,0.0375,25900,3,0.98
586,370.19,364.32,335.54,183.67,129.94,95.23,78.41,69.0,62.33,-7.2,64.54,420.070702759396,455.348882055231,455.348882055231,455.348882055231,455.348882055231,455.348882055231,455.348882055231,455.348882055231,455.348882055231,455.348882055231,510.290534216179,0.0375,25900,3,0.98
587,370.08,364.35,335.37,183.51,129.76,94.97,78.23,68.79,62.17,-5.73,64.36,420.179661146818,455.474481419569,455.474481419569,455.474481419569,455.474481419569,455.474481419569,455.474481419569,455.474481419569,455.474481419569,455.474481419569,510.416133580518,0.0375,25900,3,0.98
588,369.96,364.37,335.22,183.29,129.58,94.81,78.04,68.58,62.01,-11.71,64.17,420.288547803935,455.600003325514,455.600003325514,455.600003325514,455.600003325514,455.600003325514,455.600003325514,455.600003325514,455.600003325514,455.600003325514,510.541655486463,0.0375,25900,3,0.98
589,369.84,364.24,335.07,183.16,129.44,94.52,77.95,68.32,61.84,-14.31,63.97,420.397362751587,455.725447787586,455.725447787586,455.725447787586,455.725447787586,455.725447787586,455.725447787586,455.725447787586,455.725447787586,455.725447787586,510.667099948534,0.0375,25900,3,0.98
