Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
2306,375.12,373.72,376.84,376.88,376.44,378.39,377.79,378.56,377.46,368.69,387.696279723703,418.258093463655,418.258093463655,418.258093463655,418.258093463655,418.258093463655,418.258093463655,418.258093463655,418.258093463655,418.258093463655,460.200598261945,0.1575,25900,3,0.98
2307,375.05,373.75,376.85,376.91,376.44,378.42,377.89,378.58,377.47,368.74,387.727030654655,418.2931119287,418.2931119287,418.2931119287,418.2931119287,418.2931119287,418.2931119287,418.2931119287,418.2931119287,418.2931119287,460.23561672699,0.1575,25900,3,0.98
2308,375.0,373.75,376.84,376.92,376.44,378.45,378.01,378.6,377.45,368.77,387.757777277534,418.328125884974,418.328125884974,418.328125884974,418.328125884974,418.328125884974,418.328125884974,418.328125884974,418.328125884974,418.328125884974,460.270630683264,0.1575,25900,3,0.98
2309,374.99,373.73,376.85,376.94,376.45,378.49,378.09,378.65,377.45,368.8,387.78851959247,418.363135332479,418.363135332479,418.363135332479,418.363135332479,418.363135332479,418.363135332479,418.363135332479,418.363135332479,418.363135332479,460.30564013077,0.1575,25900,3,0.98
2310,375.02,373.71,376.85,376.95,376.46,378.52,378.16,378.67,377.48,368.81,387.819257599598,418.398140271218,418.398140271218,418.398140271218,418.398140271218,418.398140271218,418.398140271218,418.398140271218,418.398140271218,418.398140271218,460.340645069509,0.1575,25900,3,0.98
2311,375.04,373.71,376.82,376.96,376.48,378.54,378.19,378.6,377.48,368.8,387.84999129905,418.433140701194,418.433140701194,418.433140701194,418.433140701194,418.433140701194,418.433140701194,418.433140701194,418.433140701194,418.433140701194,460.375645499485,0.1575,25900,3,0.98
2312,375.04,373.77,376.84,376.97,376.52,378.57,378.22,378.58,377.42,368.76,387.880720690959,418.46813662241,418.46813662241,418.46813662241,418.46813662241,418.46813662241,418.46813662241,418.46813662241,418.46813662241,418.46813662241,460.4106414207,0.1575,25900,3,0.98
2313,375.03,373.83,376.85,376.99,376.54,378.58,378.28,378.59,377.29,368.69,387.911445775458,418.503128034868,418.503128034868,418.503128034868,418.503128034868,418.503128034868,418.503128034868,418.503128034868,418.503128034868,418.503128034868,460.445632833158,0.1575,25900,3,0.98
2314,375.03,373.86,376.86,377.0,376.55,378.57,378.29,378.62,377.18,368.65,387.942166552679,418.538114938571,418.538114938571,418.538114938571,418.538114938571,418.538114938571,418.538114938571,418.538114938571,418.538114938571,418.538114938571,460.480619736862,0.1575,25900,3,0.98
2315,375.04,373.89,376.87,377.0,376.54,378.54,378.29,378.6,377.06,368.62,387.972883022757,418.573097333524,418.573097333524,418.573097333524,418.573097333524,418.573097333524,418.573097333524,418.573097333524,418.573097333524,418.573097333524,460.515602131815,0.1575,25900,3,0.98
2316,375.02,373.9,376.85,376.99,376.53,378.52,378.32,378.52,376.96,368.58,388.003595185825,418.60807521973,418.60807521973,418.60807521973,418.60807521973,418.60807521973,418.60807521973,418.60807521973,418.60807521973,418.60807521973,460.550580018021,0.1575,25900,3,0.98
2317,374.98,373.9,376.86,376.96,376.55,378.5,378.39,378.48,376.96,368.53,388.034303042015,418.643048597193,418.643048597193,418.643048597193,418.643048597193,418.643048597193,418.643048597193,418.643048597193,418.643048597193,418.643048597193,460.585553395483,0.1575,25900,3,0.98
2318,374.95,373.9,376.88,376.94,376.56,378.48,378.48,378.47,376.99,368.5,388.065006591463,418.678017465916,418.678017465916,418.678017465916,418.678017465916,418.678017465916,418.678017465916,418.678017465916,418.678017465916,418.678017465916,460.620522264206,0.1575,25900,3,0.98
2319,374.92,373.9,376.88,376.93,376.57,378.47,378.54,378.52,377.01,368.46,388.095705834301,418.712981825904,418.712981825904,418.712981825904,418.712981825904,418.712981825904,418.712981825904,418.712981825904,418.712981825904,418.712981825904,460.655486624194,0.1575,25900,3,0.98
2320,374.89,373.88,376.9,376.91,376.57,378.47,378.5,378.59,377.06,368.4,388.126400770665,418.747941677161,418.747941677161,418.747941677161,418.747941677161,418.747941677161,418.747941677161,418.747941677161,418.747941677161,418.747941677161,460.690446475451,0.1575,25900,3,0.98
2321,374.91,373.91,376.91,376.82,376.56,378.49,378.43,378.73,377.08,368.34,388.157091400688,418.782897019692,418.782897019692,418.782897019692,418.782897019692,418.782897019692,418.782897019692,418.782897019692,418.782897019692,418.782897019692,460.725401817982,0.1575,25900,3,0.98
2322,374.95,373.93,376.9,376.73,376.54,378.51,378.4,378.84,377.12,368.31,388.187777724504,418.817847853501,418.817847853501,418.817847853501,418.817847853501,418.817847853501,418.817847853501,418.817847853501,418.817847853501,418.817847853501,460.760352651791,0.1575,25900,3,0.98
2323,375.01,373.91,376.9,376.73,376.54,378.52,378.39,378.9,377.17,368.29,388.218459742248,418.852794178593,418.852794178593,418.852794178593,418.852794178593,418.852794178593,418.852794178593,418.852794178593,418.852794178593,418.852794178593,460.795298976884,0.1575,25900,3,0.98
2324,375.11,373.91,376.89,376.77,376.52,378.51,378.4,378.94,377.24,368.27,388.249137454056,418.887735994974,418.887735994974,418.887735994974,418.887735994974,418.887735994974,418.887735994974,418.887735994974,418.887735994974,418.887735994974,460.830240793265,0.1575,25900,3,0.98
2325,375.2,373.86,376.87,376.79,376.51,378.49,378.42,378.92,377.3,368.28,388.27981086006,418.922673302649,418.922673302649,418.922673302649,418.922673302649,418.922673302649,418.922673302649,418.922673302649,418.922673302649,418.922673302649,460.86517810094,0.1575,25900,3,0.98
2326,375.33,373.82,376.85,376.82,376.49,378.49,378.46,378.9,377.34,368.3,388.310479960397,418.957606101623,418.957606101623,418.957606101623,418.957606101623,418.957606101623,418.957606101623,418.957606101623,418.957606101623,418.957606101623,460.900110899914,0.1575,25900,3,0.98
2327,375.43,373.79,376.82,376.85,376.47,378.49,378.47,378.86,377.37,368.31,388.341144755202,418.992534391902,418.992534391902,418.992534391902,418.992534391902,418.992534391902,418.992534391902,418.992534391902,418.992534391902,418.992534391902,460.935039190193,0.1575,25900,3,0.98
2328,375.51,373.77,376.8,376.9,376.44,378.49,378.44,378.83,377.42,368.31,388.371805244609,419.027458173492,419.027458173492,419.027458173492,419.027458173492,419.027458173492,419.027458173492,419.027458173492,419.027458173492,419.027458173492,460.969962971783,0.1575,25900,3,0.98
2329,375.59,373.71,376.76,376.92,376.41,378.49,378.36,378.84,377.54,368.29,388.402461428754,419.062377446399,419.062377446399,419.062377446399,419.062377446399,419.062377446399,419.062377446399,419.062377446399,419.062377446399,419.062377446399,461.004882244689,0.1575,25900,3,0.98
2330,375.62,373.7,376.71,376.93,376.41,378.49,378.28,378.87,377.7,368.28,388.433113307774,419.097292210628,419.097292210628,419.097292210628,419.097292210628,419.097292210628,419.097292210628,419.097292210628,419.097292210628,419.097292210628,461.039797008919,0.1575,25900,3,0.98
