Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
77,356.7,357.01,358.48,359.12,358.63,360.67,358.7,359.61,365.91,394.74,358.92,417.117646700581,425.987768472267,346.257806529973,311.600566763832,302.510638666943,300.523150565712,300.108361189909,300.022430301033,300.004658857308,300.001145753344,300.001390813038,0.1575,25900,100,0.98
78,356.65,356.97,358.47,359.12,358.62,360.65,358.69,359.6,366.04,395.17,359.22,417.214373537323,426.114044449184,346.335776137203,311.626730021543,302.516918514669,300.524488507774,300.10863905516,300.022487827452,300.004670858902,300.001148864387,300.001393445541,0.1575,25900,100,0.98
79,356.6,356.93,358.44,359.09,358.6,360.63,358.68,359.6,366.16,395.52,359.5,417.310952760346,426.240184589819,346.413737479139,311.652918129113,302.52320858532,300.525828941357,300.108917450897,300.022545464171,300.004682883712,300.001151981733,300.001396083448,0.1575,25900,100,0.98
80,356.55,356.9,358.43,359.09,358.59,360.63,358.68,359.6,366.23,395.78,359.68,417.407384662988,426.366189059782,346.491690441915,311.679131046285,302.529508886532,300.527171870825,300.109196378201,300.022603211422,300.004694931788,300.001155105396,300.00139872677,0.1575,25900,100,0.98
81,356.5,356.86,358.42,359.08,358.58,360.61,358.66,359.6,366.29,396.26,359.84,417.503669546237,426.492058017602,346.569634911128,311.705368732683,302.535819425894,300.528517300547,300.109475838151,300.022661069434,300.004707003177,300.001158235388,300.001401375519,0.1575,25900,100,0.98
82,356.47,356.84,358.41,359.06,358.56,360.6,358.66,359.6,366.36,396.53,359.99,417.599807713872,426.617791618397,346.647570772393,311.731631147839,302.542140210953,300.529865234892,300.109755831831,300.022719038441,300.004719097929,300.001161371724,300.001404029706,0.1575,25900,100,0.98
83,356.42,356.8,358.38,359.04,358.55,360.58,358.65,359.59,366.42,396.86,360.14,417.695799454341,426.743390030114,346.725497913586,311.757918251301,302.548471249209,300.531215678231,300.110036360325,300.022777118672,300.004731216093,300.001164514415,300.001406689341,0.1575,25900,100,0.98
84,356.39,356.77,358.38,359.02,358.55,360.58,358.65,359.58,366.5,396.8,360.3,417.791645076457,426.868853402372,346.803416220506,311.784230002427,302.55481254812,300.53256863494,300.11031742472,300.02283531036,300.004743357718,300.001167663475,300.001409354436,0.1575,25900,100,0.98
85,356.35,356.74,358.36,359.01,358.54,360.55,358.64,359.58,366.57,397.15,360.46,417.887344861784,426.994181907201,346.881325582601,311.810566360681,302.561164115105,300.533924109396,300.110599026107,300.022893613739,300.004755522853,300.001170818918,300.001412025003,0.1575,25900,100,0.98
86,356.32,356.71,358.35,358.99,358.53,360.55,358.64,359.58,366.63,397.07,360.62,417.982899107895,427.119375702651,346.959225887799,311.836927285344,302.567525957532,300.535282105978,300.110881165576,300.02295202904,300.004767711548,300.001173980756,300.001414701052,0.1575,25900,100,0.98
