Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
52,362.37,361.33,361.63,362.32,361.8,363.7,361.54,362.47,360.21,336.23,307.129513308565,324.227267080459,324.227267080459,324.227267080459,324.227267080459,324.227267080459,324.227267080459,324.227267080459,324.227267080459,324.227267080459,357.997249712195,0.1575,19400,3,0.76
53,362.38,361.33,361.65,362.3,361.81,363.72,361.53,362.47,360.2,336.37,307.160021982048,324.260473378563,324.260473378563,324.260473378563,324.260473378563,324.260473378563,324.260473378563,324.260473378563,324.260473378563,324.260473378563,358.030456010299,0.1575,19400,3,0.76
54,362.36,361.33,361.65,362.31,361.82,363.73,361.51,362.45,360.2,336.5,307.190528237113,324.29367732811,324.29367732811,324.29367732811,324.29367732811,324.29367732811,324.29367732811,324.29367732811,324.29367732811,324.29367732811,358.063659959846,0.1575,19400,3,0.76
55,362.35,361.32,361.67,362.32,361.82,363.75,361.51,362.44,360.21,336.62,307.221032073641,324.326878928916,324.326878928916,324.326878928916,324.326878928916,324.326878928916,324.326878928916,324.326878928916,324.326878928916,324.326878928916,358.096861560652,0.1575,19400,3,0.76
56,362.32,361.32,361.7,362.33,361.83,363.78,361.52,362.44,360.27,336.78,307.251533491511,324.360078180796,324.360078180796,324.360078180796,324.360078180796,324.360078180796,324.360078180796,324.360078180796,324.360078180796,324.360078180796,358.130060812532,0.1575,19400,3,0.76
57,362.26,361.33,361.71,362.34,361.84,363.78,361.52,362.48,360.29,336.95,307.282032490602,324.393275083567,324.393275083567,324.393275083567,324.393275083567,324.393275083567,324.393275083567,324.393275083567,324.393275083567,324.393275083567,358.163257715303,0.1575,19400,3,0.76
58,362.21,361.31,361.67,362.32,361.86,363.79,361.54,362.49,360.29,337.08,307.312529070793,324.426469637043,324.426469637043,324.426469637043,324.426469637043,324.426469637043,324.426469637043,324.426469637043,324.426469637043,324.426469637043,358.196452268779,0.1575,19400,3,0.76
59,362.18,361.28,361.65,362.32,361.86,363.78,361.6,362.5,360.28,337.22,307.343023231963,324.459661841042,324.459661841042,324.459661841042,324.459661841042,324.459661841042,324.459661841042,324.459661841042,324.459661841042,324.459661841042,358.229644472778,0.1575,19400,3,0.76
60,362.14,361.24,361.63,362.29,361.86,363.78,361.66,362.53,360.29,337.35,307.373514973992,324.492851695378,324.492851695378,324.492851695378,324.492851695378,324.492851695378,324.492851695378,324.492851695378,324.492851695378,324.492851695378,358.262834327114,0.1575,19400,3,0.76
61,362.11,361.2,361.6,362.28,361.85,363.76,361.68,362.56,360.32,337.44,307.404004296758,324.526039199869,324.526039199869,324.526039199869,324.526039199869,324.526039199869,324.526039199869,324.526039199869,324.526039199869,324.526039199869,358.296021831605,0.1575,19400,3,0.76
