Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
39,362.88,361.74,361.81,362.56,361.62,363.71,362.11,362.71,360.08,330.35,213.69,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.449889947029,361.765206328735,361.765206328735,361.765206328735,361.765206328735,361.765206328735,361.765206328735,361.765206328735,361.765206328735,361.765206328735,403.707711127026
40,363.01,361.73,361.82,362.56,361.61,363.74,362.14,362.7,360.12,330.62,214.02,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.490998783241,361.81039293387,361.81039293387,361.81039293387,361.81039293387,361.81039293387,361.81039293387,361.81039293387,361.81039293387,361.81039293387,403.752897732161
41,363.16,361.75,361.81,362.54,361.62,363.76,362.16,362.68,360.23,331.1,214.51,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.532103702248,361.855575778791,361.855575778791,361.855575778791,361.855575778791,361.855575778791,361.855575778791,361.855575778791,361.855575778791,361.855575778791,403.798080577081
42,363.28,361.78,361.84,362.51,361.66,363.78,362.21,362.68,360.35,331.57,214.96,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.573204703796,361.900754863099,361.900754863099,361.900754863099,361.900754863099,361.900754863099,361.900754863099,361.900754863099,361.900754863099,361.900754863099,403.84325966139
43,363.3,361.77,361.87,362.46,361.67,363.79,362.2,362.7,360.42,331.88,215.22,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.614301787636,361.945930186401,361.945930186401,361.945930186401,361.945930186401,361.945930186401,361.945930186401,361.945930186401,361.945930186401,361.945930186401,403.888434984691
44,363.32,361.8,361.9,362.43,361.67,363.79,362.17,362.73,360.47,332.17,215.86,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.655394953514,361.991101748299,361.991101748299,361.991101748299,361.991101748299,361.991101748299,361.991101748299,361.991101748299,361.991101748299,361.991101748299,403.93360654659
45,363.33,361.82,361.93,362.39,361.68,363.78,362.11,362.72,360.51,332.43,216.29,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.696484201181,362.036269548399,362.036269548399,362.036269548399,362.036269548399,362.036269548399,362.036269548399,362.036269548399,362.036269548399,362.036269548399,403.978774346689
46,363.32,361.82,361.95,362.37,361.67,363.77,362,362.69,360.56,332.7,216.77,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.737569530385,362.081433586302,362.081433586302,362.081433586302,362.081433586302,362.081433586302,362.081433586302,362.081433586302,362.081433586302,362.081433586302,404.023938384593
47,363.31,361.78,361.96,362.36,361.67,363.75,361.92,362.66,360.61,332.96,217.12,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.778650940874,362.126593861616,362.126593861616,362.126593861616,362.126593861616,362.126593861616,362.126593861616,362.126593861616,362.126593861616,362.126593861616,404.069098659907
48,363.3,361.73,361.97,362.34,361.68,363.72,361.85,362.63,360.68,333.22,217.6,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.819728432398,362.171750373944,362.171750373944,362.171750373944,362.171750373944,362.171750373944,362.171750373944,362.171750373944,362.171750373944,362.171750373944,404.114255172235
49,363.3,361.66,361.97,362.34,361.69,363.69,361.78,362.64,360.71,333.49,217.99,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.860802004706,362.216903122891,362.216903122891,362.216903122891,362.216903122891,362.216903122891,362.216903122891,362.216903122891,362.216903122891,362.216903122891,404.159407921182
50,363.27,361.61,361.97,362.34,361.71,363.67,361.68,362.65,360.77,333.84,218.45,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.901871657548,362.262052108062,362.262052108062,362.262052108062,362.262052108062,362.262052108062,362.262052108062,362.262052108062,362.262052108062,362.262052108062,404.204556906352
