Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
41,361.5,361.16,360.66,361.25,360.62,362.11,360.43,360.84,358.31,334.87,342.84,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.042219823989,361.099870727155,361.099870727155,361.099870727155,361.099870727155,361.099870727155,361.099870727155,361.099870727155,361.099870727155,361.099870727155,394.869853358891
42,361.52,361.14,360.69,361.24,360.62,362.13,360.48,360.74,358.36,335.06,342.85,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.066155976628,361.126638832305,361.126638832305,361.126638832305,361.126638832305,361.126638832305,361.126638832305,361.126638832305,361.126638832305,361.126638832305,394.896621464041
43,361.53,361.12,360.74,361.23,360.61,362.15,360.5,360.63,358.39,335.37,342.8,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.090089460208,361.15340417481,361.15340417481,361.15340417481,361.15340417481,361.15340417481,361.15340417481,361.15340417481,361.15340417481,361.15340417481,394.923386806546
44,361.57,361.14,360.77,361.22,360.59,362.16,360.48,360.61,358.42,335.7,342.87,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.114020274774,361.180166754654,361.180166754654,361.180166754654,361.180166754654,361.180166754654,361.180166754654,361.180166754654,361.180166754654,361.180166754654,394.950149386389
45,361.61,361.16,360.79,361.2,360.58,362.17,360.48,360.64,358.47,335.9,342.9,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.137948420369,361.206926571819,361.206926571819,361.206926571819,361.206926571819,361.206926571819,361.206926571819,361.206926571819,361.206926571819,361.206926571819,394.976909203554
46,361.63,361.17,360.79,361.17,360.56,362.17,360.5,360.65,358.53,336.08,342.88,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.161873897037,361.233683626288,361.233683626288,361.233683626288,361.233683626288,361.233683626288,361.233683626288,361.233683626288,361.233683626288,361.233683626288,395.003666258024
47,361.64,361.22,360.8,361.16,360.56,362.17,360.56,360.68,358.59,336.25,342.87,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.185796704821,361.260437918045,361.260437918045,361.260437918045,361.260437918045,361.260437918045,361.260437918045,361.260437918045,361.260437918045,361.260437918045,395.030420549781
48,361.62,361.23,360.78,361.15,360.56,362.17,360.64,360.73,358.66,336.4,343.03,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.209716843765,361.287189447072,361.287189447072,361.287189447072,361.287189447072,361.287189447072,361.287189447072,361.287189447072,361.287189447072,361.287189447072,395.057172078808
49,361.58,361.21,360.76,361.15,360.55,362.18,360.72,360.78,358.72,336.54,343.04,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.233634313913,361.313938213355,361.313938213355,361.313938213355,361.313938213355,361.313938213355,361.313938213355,361.313938213355,361.313938213355,361.313938213355,395.08392084509
50,361.54,361.16,360.73,361.15,360.53,362.18,360.78,360.87,358.77,336.68,342.91,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.257549115309,361.340684216874,361.340684216874,361.340684216874,361.340684216874,361.340684216874,361.340684216874,361.340684216874,361.340684216874,361.340684216874,395.11066684861
51,361.48,361.07,360.71,361.14,360.51,362.19,360.82,360.99,358.78,336.81,343.01,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.281461247995,361.367427457615,361.367427457615,361.367427457615,361.367427457615,361.367427457615,361.367427457615,361.367427457615,361.367427457615,361.367427457615,395.137410089351
52,361.41,360.9,360.66,361.13,360.51,362.19,360.78,361.08,358.8,336.96,342.94,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.305370712018,361.394167935561,361.394167935561,361.394167935561,361.394167935561,361.394167935561,361.394167935561,361.394167935561,361.394167935561,361.394167935561,395.164150567296
