Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
25,361.95,361.1,361.44,362.54,361.64,363.36,362.07,362.06,361.19,339.75,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.990819188459,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,402.984894289339
26,362.04,361.1,361.44,362.34,361.69,363.44,362.1,362.17,361.18,340.07,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.028054211762,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,403.026534045076
27,362.11,361.03,361.46,362.61,361.75,363.48,362.17,362.23,361.23,340.43,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.065284912055,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,403.068169504064
28,362.11,360.96,361.48,362.63,361.73,363.53,362.21,362.39,361.28,340.61,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.10251128922,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,403.109800666016
29,362.08,360.89,361.5,362.65,361.7,363.58,362.23,362.53,361.37,340.76,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.139733343137,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,403.151427530644
30,362.09,360.87,361.53,362.65,361.69,363.65,362.3,362.52,361.48,340.89,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.176951073687,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,403.193050097661
31,362.15,360.84,361.56,362.63,361.67,363.72,362.33,362.55,361.57,340.99,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.214164480751,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,403.234668366779
32,362.26,360.8,361.61,362.59,361.67,363.79,362.32,362.66,361.66,341.08,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.251373564213,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,403.276282337712
33,362.38,360.76,361.65,362.55,361.67,363.84,362.3,362.66,361.75,341.15,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.288578323952,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,403.317892010172
34,362.45,360.75,361.68,362.55,361.67,363.89,362.25,362.55,361.81,341.23,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.325778759851,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,403.359497383874
