Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
43,360.84,360.81,360.77,362.25,361.14,362.91,360.32,361.55,358.73,333.09,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.660388090732,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,403.733752255837
44,360.81,360.77,360.78,362.27,361.17,362.94,360.41,361.56,358.79,333.16,346.52,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.697545281772,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,403.775314626227
45,360.78,360.75,360.79,362.3,361.24,362.94,360.47,361.54,358.85,333.28,346.53,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.734698147684,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,403.816872694719
46,360.77,360.74,360.82,362.33,361.32,362.94,360.46,361.52,358.81,333.36,346.64,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.771846688352,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,403.858426461026
47,360.76,360.72,360.83,362.33,361.35,362.92,360.44,361.51,358.75,333.42,346.67,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.80899090366,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,403.899975924866
48,360.77,360.71,360.84,362.32,361.39,362.9,360.42,361.52,358.68,333.5,346.64,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.846130793494,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,403.941521085955
49,360.77,360.69,360.85,362.29,361.42,362.88,360.42,361.49,358.64,333.58,346.66,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.883266357736,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,403.983061944008
50,360.82,360.68,360.84,362.25,361.42,362.85,360.41,361.49,358.62,333.67,346.72,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.920397596274,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,404.024598498743
51,360.83,360.6,360.8,362.21,361.43,362.84,360.4,361.54,358.6,333.76,346.72,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.95752450899,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,404.066130749876
52,360.85,360.5,360.78,362.18,361.44,362.82,360.4,361.58,358.61,333.88,346.75,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.99464709577,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,404.107658697123
