Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
29,358.54,357.96,358.71,359.37,358.78,360.74,358.38,359.23,360.36,341.58,359,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,343.95146858221,365.742074892169,361.194171418933,360.247187814951,360.051164931382,360.010591015159,360.002192652712,360.000453928973,360.00009397051,360.000019493212,360.000456486553
30,358.51,357.93,358.68,359.36,358.76,360.73,358.37,359.22,360.47,341.88,360,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,344.213810502709,365.943476136289,361.236581563748,360.255965195085,360.052981576346,360.010967433165,360.00227056676,360.00047005662,360.000097308895,360.000020189694,360.000456979077
31,358.47,357.91,358.67,359.34,358.75,360.72,358.37,359.22,360.58,342.16,360,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,344.478171718781,366.144642742376,361.279089755501,360.26476425399,360.054802884641,360.011344419763,360.002348614902,360.000486214478,360.000100653843,360.000020887997,360.000457474257
32,358.43,357.89,358.65,359.33,358.73,360.72,358.36,359.21,360.68,342.44,361,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,344.742625214687,366.345776983033,361.321686042608,360.273581862416,360.056628072205,360.011722118015,360.002426814122,360.000502404174,360.000104005453,360.000021588138,360.000457972073
33,358.4,357.86,358.64,359.32,358.73,360.7,358.35,359.2,360.79,342.75,361,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,345.006638584815,366.546933058471,361.364367532916,360.282417145556,360.058456923557,360.012100567226,360.002505169186,360.000518626188,360.00010736376,360.00002229013,360.000458472506
34,358.39,357.85,358.63,359.3,358.71,360.69,358.35,359.19,360.87,343.05,362,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,345.257323472443,366.750104858989,361.407049419271,360.29124667133,360.060284587553,360.012480621087,360.00258378035,360.000534889864,360.000110729267,360.000022993987,360.000458975557
35,358.33,357.81,358.59,359.29,358.7,360.68,358.34,359.19,361.02,343.54,362,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,345.516594819633,366.952003066656,361.449873045667,360.300109939783,360.062121415743,360.012860814083,360.002662475815,360.000551179281,360.000114101144,360.000023699722,360.000459481174
36,358.3,357.8,358.58,359.27,358.69,360.67,358.33,359.18,361.16,344.03,363,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,345.776432260199,367.153726726959,361.492593886808,360.308952324104,360.06395299312,360.013239955714,360.002740959411,360.000567425697,360.000117464228,360.000024403011,360.000459983434
37,358.28,357.78,358.57,359.25,358.68,360.65,358.32,359.17,361.26,344.35,363,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,346.038151751803,367.35507355268,361.535295732227,360.317791475295,360.065781848465,360.013618607081,360.002819353365,360.000583655315,360.000120824051,360.000025105413,360.000460484456
38,358.25,357.75,358.55,359.24,358.67,360.64,358.31,359.16,361.37,344.67,363,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,346.299434395609,367.556565827987,361.578377668558,360.326709333085,360.06762695196,360.014000624274,360.00289844445,360.0006000293,360.000124213767,360.000025816155,360.000460996954
