Time,TC_Bottom_rec_groove,TC_botm_Ind,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC_wall_ins_ext,TC_bottom_ins_groove
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
112,365.93,230.27,370.95,373.27,374.31,374.99,374.52,376.61,374.79,375.7,374.66,358.67,23.49,31.14
113,365.92,218.72,370.91,373.24,374.29,375,374.52,376.6,374.78,375.69,374.67,358.73,23.49,31.14
114,365.89,211.13,370.89,373.21,374.29,375,374.51,376.61,374.78,375.7,374.69,358.78,23.5,31.13
115,365.86,325.87,370.85,373.17,374.28,374.98,374.51,376.6,374.78,375.68,374.72,358.8,23.49,31.13
116,365.84,362.7,370.82,373.14,374.27,374.98,374.51,376.6,374.78,375.67,374.76,358.8,23.5,31.13
117,365.83,374.94,370.79,373.11,374.27,374.98,374.51,376.59,374.79,375.66,374.81,358.8,23.49,31.13
118,365.8,378.31,370.76,373.09,374.26,374.97,374.5,376.59,374.79,375.66,374.84,358.78,23.5,31.14
119,365.78,379.38,370.73,373.06,374.26,374.97,374.51,376.59,374.8,375.65,374.86,358.74,23.5,31.13
120,365.75,378.94,370.67,373.01,374.24,374.97,374.5,376.59,374.79,375.63,374.9,358.68,23.49,31.14
121,365.72,378.08,370.62,372.97,374.23,374.97,374.49,376.58,374.79,375.64,375,358.62,23.5,31.13
122,365.7,375.89,370.6,372.95,374.22,374.97,374.49,376.58,374.8,375.63,375.05,358.58,23.5,31.13
123,365.68,369.41,370.58,372.94,374.22,374.97,374.49,376.59,374.79,375.64,375.08,358.55,23.49,31.13
124,365.66,368.64,370.55,372.92,374.21,374.97,374.5,376.58,374.8,375.64,375.07,358.53,23.49,31.13
125,365.64,367.95,370.52,372.91,374.2,374.96,374.49,376.59,374.79,375.66,375.05,358.54,23.5,31.13
126,365.62,367.43,370.49,372.89,374.2,374.96,374.5,376.59,374.81,375.67,375.04,358.58,23.5,31.13
127,365.61,367.32,370.46,372.88,374.18,374.96,374.49,376.59,374.8,375.67,375.04,358.63,23.49,31.13
128,365.58,367.84,370.42,372.87,374.17,374.96,374.48,376.58,374.8,375.66,375.06,358.66,23.5,31.13
129,365.55,367.16,370.38,372.84,374.14,374.96,374.48,376.58,374.8,375.65,375.11,358.7,23.5,31.13
130,365.51,367.01,370.32,372.79,374.12,374.96,374.47,376.6,374.79,375.65,375.15,358.73,23.5,31.14
131,365.49,367.07,370.27,372.78,374.11,374.96,374.46,376.6,374.79,375.66,375.2,358.74,23.5,31.13
132,365.48,367.05,370.22,372.78,374.1,374.95,374.47,376.59,374.79,375.68,375.23,358.73,23.49,31.14
133,365.46,367.17,370.19,372.77,374.1,374.95,374.47,376.59,374.8,375.73,375.21,358.67,23.5,31.14
134,365.44,367,370.18,372.77,374.09,374.95,374.47,376.59,374.81,375.79,375.1,358.62,23.5,31.13
135,365.42,366.95,370.18,372.75,374.09,374.94,374.47,376.59,374.8,375.84,375,358.61,23.5,31.14
136,365.4,366.83,370.16,372.74,374.08,374.94,374.47,376.58,374.81,375.87,374.94,358.64,23.5,31.14
137,365.38,371.05,370.15,372.72,374.08,374.93,374.48,376.58,374.81,375.89,374.95,358.7,23.5,31.14
138,365.35,372.27,370.1,372.68,374.06,374.93,374.47,376.58,374.82,375.91,375.07,358.8,23.5,31.14
139,365.32,377.16,370.03,372.61,374.04,374.93,374.46,376.58,374.82,375.91,375.22,358.85,23.49,31.13
140,365.3,375.56,370,372.58,374.03,374.91,374.46,376.58,374.82,375.91,375.29,358.84,23.5,31.12
141,365.28,381.85,369.96,372.55,374.02,374.91,374.46,376.58,374.82,375.92,375.31,358.8,23.5,31.1
142,365.24,374.79,369.93,372.5,374,374.92,374.44,376.57,374.82,375.92,375.3,358.75,23.5,31.12
143,365.24,375.49,369.9,372.46,373.99,374.91,374.44,376.57,374.83,375.95,375.35,358.71,23.5,31.12
144,365.2,375.75,369.88,372.44,373.96,374.9,374.44,376.56,374.83,375.96,375.4,358.72,23.5,31.11
145,365.17,374.48,369.87,372.41,373.95,374.91,374.43,376.57,374.85,375.99,375.45,358.75,23.49,31.1
146,365.16,373.33,369.86,372.39,373.93,374.89,374.43,376.56,374.88,376.02,375.47,358.79,23.5,31.1
147,365.12,369.25,369.85,372.38,373.9,374.9,374.43,376.57,374.93,376.13,375.38,358.83,23.5,31.09
148,365.08,368.52,369.85,372.36,373.88,374.9,374.42,376.59,374.98,376.23,375.34,358.86,23.5,31.09
149,365.06,367.97,369.83,372.35,373.87,374.89,374.43,376.59,375.01,376.27,375.36,358.85,23.5,31.09
150,365.04,367.61,369.8,372.34,373.85,374.88,374.42,376.6,375.03,376.23,375.38,358.83,23.5,31.09
151,365.02,367.35,369.77,372.32,373.83,374.87,374.42,376.61,375.02,376.17,375.41,358.85,23.49,31.08
152,364.99,367.16,369.74,372.3,373.82,374.88,374.41,376.62,375.03,376.11,375.43,358.87,23.5,31.09
153,364.98,366.95,369.71,372.28,373.82,374.88,374.43,376.62,375.03,376.08,375.47,358.89,23.5,31.1
154,364.95,367.05,369.68,372.26,373.81,374.86,374.43,376.63,375.03,376.05,375.48,358.89,23.5,31.1
155,364.94,374.78,369.65,372.23,373.8,374.85,374.42,376.66,375.05,376.02,375.4,358.91,23.5,31.1
156,364.92,374.93,369.62,372.2,373.78,374.86,374.42,376.68,375.08,376,375.22,358.91,23.5,31.11
157,364.9,373.85,369.6,372.18,373.78,374.86,374.43,376.7,375.16,376.03,375.18,358.9,23.51,31.11
158,364.88,372.29,369.57,372.17,373.78,374.85,374.44,376.71,375.2,376.06,375.19,358.88,23.51,31.11
159,364.87,369.37,369.54,372.14,373.76,374.85,374.43,376.73,375.22,376.09,375.19,358.86,23.51,31.12
160,364.85,366.81,369.52,372.08,373.75,374.84,374.43,376.73,375.25,376.15,375.14,358.84,23.51,31.12
161,364.83,366.53,369.49,372,373.73,374.85,374.44,376.74,375.27,376.18,375.09,358.83,23.51,31.13
162,364.82,366.07,369.45,371.91,373.69,374.83,374.43,376.74,375.26,376.23,375.1,358.86,23.51,31.13
163,364.79,366.2,369.39,371.88,373.67,374.84,374.43,376.75,375.25,376.25,375.13,358.87,23.51,31.13
164,364.77,366.25,369.32,371.85,373.65,374.83,374.43,376.75,375.24,376.25,375.2,358.87,23.51,31.13
165,364.74,366.3,369.23,371.82,373.63,374.82,374.43,376.76,375.24,376.26,375.3,358.84,23.5,31.12
166,364.71,367.69,369.18,371.84,373.61,374.82,374.44,376.76,375.25,376.24,375.33,358.78,23.51,31.12
167,364.69,366.59,369.17,371.9,373.61,374.82,374.44,376.77,375.26,376.24,375.32,358.74,23.51,31.12
168,364.68,366.1,369.16,371.93,373.6,374.81,374.45,376.77,375.28,376.25,375.31,358.7,23.51,31.12
169,364.65,365.83,369.14,371.93,373.6,374.82,374.46,376.78,375.3,376.29,375.31,358.7,23.51,31.13
